Season,League,N,R2,Adj_R2,F_stat,F_pval,BB/K_coef,BB/K_pval,K%_coef,K%_pval,ISO_coef,ISO_pval,wRC+_coef,wRC+_pval,GB/FB_coef,GB/FB_pval,SwStr%_coef,SwStr%_pval,Age_Z_SL_coef,Age_Z_SL_pval
2009,Carolina League,138,0.888,0.882,147.646,0.0,-0.031,0.556,-2.662,0.0,1.591,0.0,0.005,0.0,-0.041,0.019,0.309,0.221,0.001,0.952
2009,Dominican Summer League,565,0.865,0.863,508.589,0.0,-0.0,0.998,-2.356,0.0,1.964,0.0,0.004,0.0,0.003,0.773,0.169,0.366,0.002,0.741
2009,Eastern League,153,0.954,0.951,426.817,0.0,-0.075,0.091,-2.201,0.0,2.057,0.0,0.004,0.0,0.002,0.756,-0.192,0.225,-0.006,0.496
2009,Florida State League,225,0.883,0.879,234.192,0.0,-0.079,0.003,-2.498,0.0,1.304,0.0,0.005,0.0,0.003,0.648,0.164,0.407,-0.007,0.442
2009,Gulf Coast League,311,0.844,0.841,234.444,0.0,-0.068,0.005,-2.206,0.0,1.535,0.0,0.004,0.0,0.005,0.668,-0.132,0.513,-0.019,0.048
2009,International League,79,0.945,0.94,174.799,0.0,0.051,0.439,-2.099,0.0,1.914,0.0,0.004,0.0,-0.006,0.734,0.4,0.373,-0.051,0.001
2009,Midwest League,302,0.891,0.888,343.475,0.0,-0.101,0.002,-2.384,0.0,1.581,0.0,0.005,0.0,0.012,0.161,0.206,0.278,0.007,0.333
2009,Pacific Coast League,109,0.933,0.929,202.294,0.0,-0.039,0.136,-2.508,0.0,1.945,0.0,0.004,0.0,-0.019,0.171,0.189,0.672,0.003,0.804
2009,Pioneer League,153,0.821,0.812,94.727,0.0,-0.075,0.043,-2.484,0.0,1.934,0.0,0.004,0.0,-0.001,0.957,0.21,0.539,0.019,0.185
2009,South Atlantic League,337,0.919,0.917,534.323,0.0,-0.11,0.0,-2.304,0.0,1.715,0.0,0.004,0.0,-0.0,0.951,0.04,0.777,-0.014,0.016
2009,Southern League,134,0.947,0.944,319.244,0.0,-0.032,0.352,-2.6,0.0,1.863,0.0,0.004,0.0,-0.001,0.796,0.945,0.015,0.003,0.748
2009,Texas League,114,0.927,0.922,193.071,0.0,-0.109,0.033,-2.298,0.0,2.186,0.0,0.004,0.0,-0.004,0.605,0.415,0.343,-0.014,0.256
2009,Venezuelan Summer League,113,0.897,0.891,131.298,0.0,-0.021,0.601,-2.062,0.0,2.266,0.0,0.004,0.0,0.026,0.04,-0.263,0.408,0.011,0.403
2010,Appalachian League,179,0.855,0.849,143.541,0.0,-0.078,0.251,-2.477,0.0,2.222,0.0,0.004,0.0,0.021,0.068,0.212,0.5,-0.026,0.036
2010,Arizona League,239,0.805,0.799,136.054,0.0,-0.129,0.006,-2.163,0.0,0.859,0.002,0.005,0.0,-0.02,0.085,-0.192,0.391,-0.007,0.564
2010,California League,187,0.91,0.907,259.075,0.0,-0.173,0.001,-2.589,0.0,1.914,0.0,0.005,0.0,-0.005,0.628,0.029,0.903,0.0,0.961
2010,Carolina League,156,0.897,0.892,184.28,0.0,-0.055,0.351,-2.596,0.0,1.947,0.0,0.004,0.0,0.029,0.04,0.49,0.026,-0.002,0.866
2010,Dominican Summer League,576,0.859,0.858,496.183,0.0,-0.051,0.021,-2.299,0.0,1.842,0.0,0.004,0.0,0.02,0.051,-0.118,0.456,0.003,0.606
2010,Eastern League,154,0.962,0.96,529.389,0.0,-0.067,0.132,-2.187,0.0,1.246,0.0,0.005,0.0,0.014,0.162,0.073,0.635,-0.002,0.802
2010,Florida State League,256,0.903,0.901,331.609,0.0,-0.137,0.0,-2.181,0.0,1.506,0.0,0.004,0.0,-0.01,0.071,-0.05,0.723,-0.004,0.568
2010,Gulf Coast League,313,0.771,0.766,146.965,0.0,-0.089,0.0,-2.328,0.0,1.707,0.0,0.005,0.0,0.005,0.452,0.149,0.447,-0.008,0.491
2010,International League,85,0.952,0.947,217.299,0.0,-0.111,0.05,-2.601,0.0,2.117,0.0,0.004,0.0,0.027,0.065,-0.117,0.807,0.013,0.329
2010,Midwest League,326,0.914,0.912,482.346,0.0,-0.151,0.0,-2.446,0.0,1.591,0.0,0.005,0.0,-0.003,0.797,0.159,0.276,0.0,0.95
2010,Pacific Coast League,106,0.955,0.952,299.508,0.0,-0.177,0.0,-2.425,0.0,1.798,0.0,0.005,0.0,0.012,0.059,0.35,0.375,0.011,0.375
2010,Pioneer League,144,0.874,0.868,134.936,0.0,-0.088,0.192,-2.859,0.0,2.118,0.0,0.004,0.0,0.047,0.0,0.532,0.078,-0.012,0.292
2010,South Atlantic League,289,0.891,0.889,329.675,0.0,-0.112,0.004,-2.327,0.0,1.828,0.0,0.005,0.0,0.018,0.016,0.019,0.908,-0.007,0.295
2010,Southern League,150,0.944,0.941,342.346,0.0,-0.069,0.131,-2.218,0.0,1.584,0.0,0.005,0.0,-0.009,0.112,0.38,0.349,-0.0,0.996
2010,Texas League,122,0.932,0.927,222.122,0.0,-0.079,0.031,-2.057,0.0,2.268,0.0,0.004,0.0,-0.005,0.714,-0.231,0.597,-0.014,0.223
2010,Venezuelan Summer League,105,0.888,0.88,109.542,0.0,-0.046,0.181,-2.003,0.0,1.846,0.0,0.004,0.0,0.005,0.43,-0.257,0.555,0.02,0.096
2011,Appalachian League,174,0.862,0.856,147.616,0.0,-0.196,0.0,-1.819,0.0,1.243,0.0,0.006,0.0,0.013,0.38,-0.572,0.036,-0.002,0.842
2011,Arizona League,259,0.854,0.849,208.921,0.0,-0.028,0.279,-2.742,0.0,1.927,0.0,0.005,0.0,0.001,0.928,0.433,0.101,-0.026,0.057
2011,California League,189,0.915,0.912,278.653,0.0,0.002,0.933,-2.333,0.0,2.195,0.0,0.004,0.0,0.005,0.647,0.183,0.396,-0.018,0.031
2011,Carolina League,147,0.886,0.88,153.857,0.0,-0.047,0.224,-3.196,0.0,2.002,0.0,0.004,0.0,-0.008,0.703,0.587,0.024,-0.003,0.816
2011,Dominican Summer League,559,0.861,0.86,488.874,0.0,-0.073,0.002,-2.64,0.0,1.813,0.0,0.005,0.0,-0.004,0.725,0.148,0.347,0.014,0.014
2011,Eastern League,128,0.956,0.953,368.24,0.0,-0.135,0.004,-2.317,0.0,1.335,0.0,0.005,0.0,-0.003,0.723,0.273,0.092,-0.018,0.044
2011,Florida State League,212,0.898,0.894,255.578,0.0,0.019,0.571,-2.688,0.0,2.314,0.0,0.004,0.0,0.025,0.019,0.471,0.005,-0.01,0.199
2011,Gulf Coast League,297,0.796,0.791,161.431,0.0,-0.031,0.404,-2.119,0.0,1.988,0.0,0.005,0.0,0.005,0.759,-0.038,0.875,-0.003,0.808
2011,International League,80,0.953,0.949,210.369,0.0,-0.086,0.002,-2.167,0.0,1.799,0.0,0.004,0.0,-0.013,0.376,-0.584,0.173,-0.003,0.787
2011,Midwest League,335,0.886,0.884,363.585,0.0,-0.099,0.003,-2.354,0.0,1.682,0.0,0.005,0.0,-0.006,0.442,0.228,0.209,-0.017,0.01
2011,Pacific Coast League,112,0.877,0.869,105.959,0.0,-0.054,0.306,-2.828,0.0,2.395,0.0,0.004,0.0,-0.004,0.692,1.551,0.013,-0.002,0.928
2011,Pioneer League,149,0.866,0.86,130.736,0.0,-0.224,0.0,-2.299,0.0,1.735,0.0,0.005,0.0,0.0,0.983,-0.05,0.847,-0.013,0.247
2011,South Atlantic League,267,0.866,0.862,238.772,0.0,-0.051,0.233,-2.192,0.0,2.136,0.0,0.003,0.0,0.01,0.362,0.017,0.941,-0.006,0.433
2011,Southern League,139,0.959,0.957,435.741,0.0,-0.057,0.163,-2.442,0.0,1.612,0.0,0.004,0.0,-0.001,0.866,0.446,0.167,-0.006,0.549
2011,Texas League,116,0.943,0.94,256.199,0.0,-0.063,0.141,-1.728,0.0,1.888,0.0,0.004,0.0,-0.019,0.019,-0.617,0.085,0.005,0.698
2011,Venezuelan Summer League,97,0.898,0.89,112.454,0.0,-0.003,0.867,-3.256,0.0,1.429,0.001,0.005,0.0,-0.001,0.914,1.11,0.042,-0.013,0.323
2012,Appalachian League,175,0.84,0.833,125.327,0.0,-0.139,0.026,-2.322,0.0,1.783,0.0,0.004,0.0,0.001,0.93,-0.241,0.368,0.009,0.432
2012,Arizona League,261,0.866,0.862,233.469,0.0,-0.11,0.001,-2.705,0.0,1.742,0.0,0.005,0.0,0.012,0.272,0.329,0.196,-0.006,0.665
2012,California League,190,0.915,0.912,281.213,0.0,-0.15,0.0,-2.481,0.0,1.601,0.0,0.005,0.0,-0.003,0.796,0.325,0.088,-0.021,0.026
2012,Carolina League,150,0.907,0.903,198.779,0.0,-0.199,0.0,-2.524,0.0,1.704,0.0,0.004,0.0,-0.015,0.247,0.073,0.666,-0.003,0.776
2012,Dominican Summer League,571,0.864,0.862,509.589,0.0,-0.088,0.0,-2.388,0.0,1.865,0.0,0.005,0.0,0.02,0.051,0.043,0.759,-0.001,0.892
2012,Eastern League,146,0.916,0.912,214.888,0.0,-0.14,0.0,-2.62,0.0,1.466,0.0,0.004,0.0,-0.009,0.316,0.123,0.699,0.009,0.417
2012,Florida State League,228,0.911,0.909,323.647,0.0,-0.067,0.019,-1.997,0.0,1.674,0.0,0.004,0.0,-0.001,0.936,-0.063,0.65,-0.013,0.077
2012,Gulf Coast League,287,0.715,0.708,99.891,0.0,-0.072,0.084,-2.334,0.0,1.309,0.0,0.004,0.0,0.023,0.077,0.244,0.368,0.012,0.441
2012,International League,69,0.934,0.926,122.822,0.0,-0.067,0.142,-1.914,0.0,1.533,0.0,0.005,0.0,0.018,0.205,0.593,0.248,0.032,0.028
2012,Midwest League,336,0.915,0.913,505.393,0.0,-0.13,0.0,-2.381,0.0,1.731,0.0,0.004,0.0,-0.016,0.04,-0.046,0.691,-0.016,0.005
2012,Pacific Coast League,112,0.948,0.944,270.487,0.0,-0.033,0.235,-1.964,0.0,2.382,0.0,0.004,0.0,-0.008,0.374,-0.754,0.114,-0.008,0.533
2012,Pioneer League,155,0.832,0.824,104.008,0.0,-0.009,0.873,-3.219,0.0,1.923,0.0,0.005,0.0,0.02,0.192,0.725,0.058,-0.02,0.141
2012,South Atlantic League,285,0.915,0.913,426.616,0.0,-0.118,0.0,-2.342,0.0,1.721,0.0,0.005,0.0,0.022,0.035,0.089,0.553,-0.02,0.003
2012,Southern League,153,0.952,0.95,411.298,0.0,-0.09,0.013,-2.14,0.0,1.436,0.0,0.004,0.0,-0.014,0.042,0.001,0.998,-0.003,0.774
2012,Texas League,110,0.874,0.865,100.634,0.0,-0.035,0.45,-2.234,0.0,0.956,0.003,0.004,0.0,-0.015,0.169,0.947,0.098,-0.022,0.197
