PlayerId,Archetype,Cluster_ID,Cluster_PA,TOOLS_Disc,TOOLS_Power,TOOLS_Ath,AB_BB,AB_K,AB_SB,AB_Power,Fantasy_Out
49,Contact/Power,2,1456,0.2642864010989011,1.2274052197802197,0.01978777472527475,0.07392520604395603,-0.12704938186813186,-0.23452884615384614,1.4981483516483518,1.6317293956043957
109,Speed,1,2650,-0.1303958490566038,-0.25673018867924524,0.621536603773585,0.48700966037735843,0.4733131320754717,2.649801509433962,-0.09725132075471699,0.4581177358490566
113,Power/K-Risk,3,1573,-0.474347743165925,0.5876052129688494,-0.6483159567705021,0.20299713922441195,0.7196373808010171,-0.49758931977113796,0.7875073108709473,-0.22027018436109347
173,Speed/K-Risk,5,1319,-0.09976194086429115,0.9771463229719485,0.577669446550417,-0.11573404094010611,0.2916962850644428,0.9103517816527672,0.9974874905231237,0.90783093252464
193,Pure Contact,0,1916,0.28642379958246345,-0.6343945720250522,0.024278183716075145,-1.1264596033402923,-0.9967065240083508,-0.03079540709812111,-0.5569305845511483,0.49967223382045933
198,Speed/K-Risk,5,1008,-0.2967261904761904,-0.7907619047619048,0.3640059523809524,-0.061938690476190474,0.5226422619047619,0.20001190476190472,-0.6581666666666667,-0.17188095238095238
209,Speed,1,1407,0.5850277185501066,-0.7717597725657427,0.7192999289267946,1.0264539445628997,-0.21292402274342576,2.7823830845771145,-0.6210689410092396,0.5752864250177683
211,Average,4,1113,0.13637915543575918,-0.22378885893980235,0.14106738544474393,-0.10828930817610063,-0.6729528301886792,0.7837026055705302,-0.03358849955076373,0.661743935309973
447,Speed/K-Risk,5,1515,-1.0379821782178218,1.0384891089108912,0.8449432343234323,0.09596805280528053,1.2589772937293728,0.7060389438943895,0.8302528052805281,0.4928594059405941
616,Power/K-Risk,3,1510,-1.0785629139072848,1.0596119205298014,0.22552185430463578,-0.9979743046357615,0.9250154966887417,0.6647867549668874,1.1359086092715234,0.4293205298013245
629,Speed/K-Risk,5,1381,-1.104982621288921,0.7527559739319334,0.29174293989862415,-0.6939699493120927,0.6640967414916726,-0.1608377986965967,0.6461325126719768,0.26845908761766835
697,Power/K-Risk,3,1037,-0.8247299903567985,0.9076865959498553,-0.596115718418515,-1.1400434908389587,0.532597299903568,-0.6866663452266152,1.3414416586306654,1.6789103182256508
785,Speed/K-Risk,5,1648,0.06126941747572818,0.4542973300970874,-0.07930825242718446,0.15024666262135922,0.11824969660194173,0.0002663834951456268,0.5725285194174757,1.3247093446601943
