BW_Rank,BW_Name,BW_Team,Pos,BW_Age,In_Pool,Combined_Rank,Delta,Pool_Name,Pool_Team,Level,Skill_Score,MLB_Proj_Score,PPPA_Score,Age_Score,Combined_Score
17,Aidan Miller,PHI,SS,21.11,True,117.0,-100.0,Aidan Miller,PHI,AAA,58.73,72.71,63.0,65.66,63.2
18,Sebastian Walcott,TEX,SS,20.2,True,75.0,-57.0,Sebastian Walcott,TEX,AA,59.11,78.81,56.66,76.41,64.86
19,Robby Snelling,MIA,LHP,22.4,False,,,,,,,,,,
20,Charlie Condon,COL,1B,23.1,True,818.0,-798.0,Charlie Condon,COL,AAA,50.77,66.86,52.43,57.14,54.34
21,Braden Montgomery,CHW,OF,23.1,True,576.0,-555.0,Braden Montgomery,CWS,AAA,53.07,62.81,59.27,58.07,56.15
22,Ralphy Velazquez,CLE,1B,20.11,True,18.0,4.0,Ralphy Velazquez,CLE,AAA,63.4,81.11,61.51,75.85,68.58
23,Luis Pena,MIL,SS/2B,19.5,True,8.0,15.0,Luis Peña,MIL,AA,68.21,77.97,72.58,73.82,72.42
24,Emmanuel Rodriguez,MIN,OF,23.2,True,749.0,-725.0,Emmanuel Rodriguez,MIN,AAA,53.63,57.48,57.62,58.07,54.79
25,Ryan Waldschmidt,ARI,OF,23.7,False,,,,,,,,,,
26,Emil Morales,LAD,SS,19.7,True,83.0,-57.0,Emil Morales,LAD,A+,60.55,70.33,64.65,69.11,64.36
27,Josue Briceno,DET,C/1B,21.8,True,19.0,8.0,Josue Briceño,DET,AAA,62.46,86.23,61.73,69.09,68.51
28,Justin Gonzales,BOS,1B/OF,19.4,True,54.0,-26.0,Justin Gonzales,BOS,A+,65.17,74.67,57.53,68.21,66.05
29,Eli Willits,WSH,SS,18.5,True,56.0,-27.0,Eli Willits,WSH,A+,59.29,82.43,63.33,66.06,65.95
30,Luis Hernandez,SFG,SS,17.5,False,,,,,,,,,,
31,Luis Lara,MIL,OF,21.5,True,22.0,9.0,Luis Lara,MIL,AAA,62.66,82.41,61.17,75.85,68.44
32,Pedro Ramirez,CHC,2B/3B,22.1,True,24.0,8.0,Pedro Ramírez,CHC,AAA,63.14,80.94,63.45,69.28,67.97
33,Kaelen Culpepper,MIN,SS,23.4,True,104.0,-71.0,Kaelen Culpepper,MIN,AAA,60.23,75.12,63.16,58.07,63.59
34,Joshua Baez,STL,OF,22.1,True,497.0,-463.0,Joshua Báez,STL,AAA,49.91,70.54,61.64,58.07,56.94
35,Mike Sirota,LAD,OF,22.1,True,94.0,-59.0,Mike Sirota,LAD,AA,62.23,75.74,64.87,49.26,63.98
36,Eric Hartman,ATL,OF,19.11,True,208.0,-172.0,Eric Hartman,ATL,AA,55.5,70.97,60.95,67.24,60.91
37,Josuar Gonzalez,SFG,SS,18.6,True,49.0,-12.0,Josuar Gonzalez,SF,A,63.22,71.68,70.26,61.07,66.22
38,Theo Gillen,TBR,OF,20.8,True,237.0,-199.0,Theo Gillen,TB,AA,54.55,67.06,64.77,67.24,60.33
39,Braylon Payne,MIL,OF,19.9,True,356.0,-317.0,Braylon Payne,MIL,AA,51.51,66.04,60.24,73.82,58.41
40,Ethan Holliday,COL,SS,19.2,True,1842.0,-1802.0,Ethan Holliday,COL,A,40.74,61.51,52.05,61.73,48.51
41,Tyler Bremner,LAA,RHP,22.0,False,,,,,,,,,,
42,Anthony Eyanson,BOS,RHP,21.7,False,,,,,,,,,,
43,Eduardo Quintero,LAD,OF,20.8,True,44.0,-1.0,Eduardo Quintero,LAD,A+,62.16,77.67,66.72,64.6,66.81
44,JoJo Parker,TOR,SS,19.9,True,487.0,-443.0,JoJo Parker,TOR,A+,,66.6,59.85,63.69,57.03
45,Ronny Cruz,WSH,3B/SS,19.9,True,339.0,-294.0,Ronny Cruz,WSH,A+,58.41,61.81,53.27,68.21,58.61
46,Tate Southisene,ATL,SS,19.7,True,2009.0,-1963.0,Tate Southisene,ATL,A+,33.21,68.69,57.17,61.89,47.59
