Rank,Name,Team,Pos,Age,ExactAge,Age_R,PA,PPPA,PPPA_R,Overall,Overall_R,Discipline,Discipline_R,Power,Power_R,Contact,Contact_R,ConPow,ConPow_R,ConDis,ConDis_R,ConDisSpd,ConDisSpd_R,Speed,Speed_R,BB%-2K%,BB%-2K%_R,Chase%,Chase%_R,ZContact%,ZContact%_R,Whiff%,Whiff%_R,MaxEV,MaxEV_R,EV90,EV90_R,HardHit%,HardHit%_R,Barrel%,Barrel%_R,PullAir%,PullAir%_R,xBA,xBA_R,xSLG,xSLG_R,Spd,Spd_R,SB_rate,SB_rate_R,SB_succ,SB_succ_R
126,Kevin Alcántara,CHC,DH,22.0,23.22,89.3,430,0.81,42.8,45.0,33.4,25.1,17.6,74.4,81.3,43.8,42.0,59.1,68.1,34.4,27.6,36.1,19.3,39.3,34.8,-48.4,17.4,30.887,33.1,82.505,54.5,30.47,32.5,112.3,84.1,107.1,89.3,45.0,81.9,6.512,81.3,12.7,27.7,0.216,33.2,0.378,63.8,3.667,26.4,0.023,50.3,0.714,44.7
127,Ryan Lasko,ATH,OF,23.0,23.269,88.4,48,0.73,34.0,44.8,32.6,42.1,37.8,27.6,19.9,87.7,91.7,57.6,63.9,64.9,72.3,65.5,81.6,66.8,70.1,-33.3,56.5,31.111,31.6,89.091,90.0,32.53,22.0,106.2,11.1,101.0,18.6,38.2,51.6,2.083,23.9,17.6,57.6,0.26,85.4,0.341,41.3,4.937,46.6,0.042,72.2,1.0,91.4
128,Maximo Acosta,MIA,SS,22.0,22.921,91.9,465,0.71,31.0,44.1,32.1,44.0,41.7,36.2,30.5,43.8,42.0,40.0,28.3,43.9,42.5,55.7,59.4,79.3,85.6,-42.2,34.1,27.505,54.2,84.381,67.1,27.041,53.2,108.2,30.5,102.2,32.7,36.2,43.1,3.656,46.1,13.9,34.3,0.202,20.4,0.318,27.8,6.86,81.9,0.071,91.4,0.786,58.3
129,Johan Rojas,PHI,CF,24.0,25.128,61.4,161,0.69,28.3,43.5,31.6,51.2,55.0,37.5,32.7,67.1,72.3,52.3,52.5,59.2,63.6,62.8,74.3,70.2,73.3,-31.7,61.0,29.878,37.5,81.313,43.6,28.04,47.1,109.3,45.5,105.1,71.4,39.8,58.6,1.242,10.2,12.9,28.9,0.268,90.6,0.36,52.1,6.02,67.5,0.05,79.4,0.8,61.8
130,Jhonkensy Noel,BAL,RF,23.0,24.211,76.2,252,0.81,42.8,43.3,31.0,18.7,8.8,91.4,97.4,62.9,67.0,77.2,94.3,40.8,38.0,32.0,13.4,14.3,13.9,-44.9,25.6,40.7,1.7,81.752,48.1,31.515,27.0,116.9,99.6,109.4,98.8,46.0,85.2,7.143,85.5,22.8,84.4,0.25,77.7,0.461,91.5,1.212,4.1,0.004,20.1,0.5,22.5
131,Joe Mack,MIA,C,22.0,22.76,93.2,412,0.77,39.0,42.6,30.5,23.7,15.9,68.2,74.1,25.7,19.5,47.0,43.2,24.7,13.9,33.0,16.6,49.6,47.6,-47.3,19.6,31.184,30.9,76.087,13.7,32.274,23.3,109.6,50.0,104.4,64.1,43.0,75.2,5.825,73.5,27.3,95.5,0.22,37.7,0.379,64.4,5.385,56.0,0.019,44.4,0.727,46.8
132,Carson Williams,TBR,SS,22.0,22.267,96.3,451,0.72,32.6,42.4,29.9,13.9,4.8,78.1,85.1,18.2,11.5,48.2,46.3,16.0,5.4,37.4,22.2,80.0,86.9,-55.8,7.3,31.169,31.3,76.792,16.6,38.717,4.1,111.7,77.6,106.9,87.6,38.1,51.3,5.987,76.3,22.8,84.4,0.201,19.9,0.392,69.8,8.061,95.0,0.049,78.3,0.786,58.3
133,Erick Brito,PHI,SS,23.0,23.351,87.6,168,0.62,21.4,41.7,29.4,62.7,68.0,29.1,22.1,57.2,58.4,43.2,33.8,60.0,64.6,60.3,67.9,61.1,62.6,-32.7,58.3,26.316,64.9,85.393,75.3,24.254,70.2,111.5,75.2,102.3,34.1,30.6,18.1,1.19,9.4,14.3,36.1,0.221,39.2,0.291,16.3,5.827,63.0,0.042,72.2,0.7,42.5
134,Mikey Romero,BOS,SS,21.0,21.717,98.3,192,0.8,41.2,41.6,28.9,15.4,6.0,83.3,90.4,49.2,49.2,66.2,81.2,32.3,24.3,27.6,8.6,18.3,17.1,-54.7,8.0,33.502,19.4,81.856,49.2,31.436,27.9,110.6,67.3,106.9,87.6,47.1,87.5,8.854,94.1,18.0,60.5,0.228,49.2,0.438,85.6,2.385,12.6,0.005,21.7,0.5,22.5
135,Jimmy Crooks,STL,C,23.0,24.2,76.4,430,0.84,46.8,41.5,28.3,26.1,18.8,64.3,69.9,44.5,43.4,54.4,57.6,35.3,28.9,26.9,8.0,10.2,10.2,-44.6,26.6,32.707,22.9,79.96,33.6,31.0,29.7,110.9,70.3,104.5,65.5,42.1,71.2,5.116,64.7,16.9,53.2,0.232,55.4,0.377,63.2,2.295,12.2,0.0,8.8,0.0,8.8
