Rank,Name,Team,Pos,Age,ExactAge,Age_R,PA,PPPA,PPPA_R,Overall,Overall_R,Discipline,Discipline_R,Power,Power_R,Contact,Contact_R,ConPow,ConPow_R,ConDis,ConDis_R,ConDisSpd,ConDisSpd_R,Speed,Speed_R,BB%-2K%,BB%-2K%_R,Chase%,Chase%_R,ZContact%,ZContact%_R,Whiff%,Whiff%_R,MaxEV,MaxEV_R,EV90,EV90_R,HardHit%,HardHit%_R,Barrel%,Barrel%_R,PullAir%,PullAir%_R,xBA,xBA_R,xSLG,xSLG_R,Spd,Spd_R,SB_rate,SB_rate_R,SB_succ,SB_succ_R
170,Mitchell Daly,0,2B,24.0,24.375,73.6,94,0.47,11.8,27.2,9.6,24.7,17.2,25.5,18.2,13.8,7.8,19.6,5.4,19.2,8.9,37.9,23.5,75.2,80.7,-54.4,8.6,26.519,63.0,71.312,3.9,36.471,7.6,102.1,0.9,100.4,12.1,31.5,22.7,3.191,40.0,12.5,26.7,0.206,23.7,0.327,32.5,7.618,90.0,0.021,46.8,1.0,91.4
171,Drew Romo,CHW,C,23.0,24.088,78.8,244,0.59,18.4,27.0,9.1,25.2,17.9,16.1,7.4,46.8,46.6,31.4,17.2,36.0,30.7,37.7,23.0,41.1,36.4,-44.2,27.9,36.895,7.0,87.085,83.9,28.194,45.8,105.8,9.0,99.8,7.8,22.6,4.2,1.639,14.6,20.1,70.6,0.185,9.6,0.249,5.2,3.262,21.6,0.008,27.5,1.0,91.4
172,Josh Rivera,TOR,SS,24.0,24.972,64.4,394,0.31,7.0,26.7,8.6,43.1,39.3,49.3,51.2,40.2,38.0,44.8,37.4,41.7,39.7,34.0,17.1,18.6,17.6,-49.5,16.6,20.717,90.4,82.683,55.3,29.076,38.6,111.9,79.8,104.1,59.4,35.8,41.5,3.807,48.1,12.0,23.7,0.207,25.1,0.322,29.3,2.795,16.3,0.003,18.4,0.5,22.5
173,Colby Halter,ATH,2B,23.0,24.101,78.5,133,0.5,12.3,26.1,8.0,14.4,5.0,24.8,17.6,9.1,3.5,17.0,3.3,11.8,2.7,35.8,18.7,83.9,90.9,-62.4,3.9,30.303,35.5,76.216,14.6,35.472,9.2,108.8,37.6,101.5,24.4,28.0,12.6,1.504,12.9,21.3,76.7,0.164,3.6,0.274,9.0,8.495,97.2,0.045,74.9,0.857,75.1
174,Victor Bericoto,SFG,RF,23.0,23.825,82.3,46,0.21,4.8,25.9,7.5,36.3,29.4,59.8,63.4,52.5,52.9,56.2,60.8,44.4,43.0,32.1,14.2,7.4,5.3,-39.2,41.7,33.708,17.6,94.0,99.1,27.5,50.9,108.7,36.7,105.7,78.5,45.9,84.7,8.696,93.1,5.4,2.2,0.174,5.9,0.328,33.0,1.35,5.2,0.0,8.8,0.0,8.8
175,Brock Jones,0,P,24.0,24.296,74.9,77,0.38,8.0,25.5,7.0,5.2,1.3,87.4,92.8,0.6,0.4,44.0,35.5,2.9,0.4,18.2,4.3,48.8,45.5,-103.8,0.2,33.908,16.6,65.741,0.7,47.904,0.4,112.7,86.2,107.0,88.5,53.3,95.9,9.091,95.2,35.5,99.6,0.138,0.4,0.388,67.9,0.0,0.3,0.065,88.2,0.833,71.1
176,Kody Huff,CLE,C,24.0,24.802,67.8,407,0.44,9.9,25.3,6.4,38.1,32.7,36.2,30.5,35.7,33.0,36.0,23.1,36.9,32.8,31.5,12.0,20.8,18.7,-42.1,34.5,31.512,29.2,83.0,58.8,25.668,60.3,110.3,62.6,104.2,61.2,40.5,61.7,2.703,31.8,9.6,14.4,0.191,12.6,0.276,9.8,2.792,16.1,0.007,24.9,0.5,22.5
177,Tanner Schobel,MIN,SS,24.0,24.323,74.2,103,0.24,5.9,23.0,5.9,28.8,21.9,47.3,47.8,57.4,58.8,52.4,53.1,43.1,42.0,31.1,11.2,7.0,4.3,-54.3,9.2,26.697,61.4,82.09,51.6,31.088,29.0,105.6,8.1,102.0,30.5,43.1,75.4,4.854,61.7,17.5,56.4,0.239,63.3,0.382,65.8,1.236,4.4,0.0,8.8,0.0,8.8
178,Brandon Valenzuela,TOR,C,24.0,24.994,64.0,105,0.45,11.0,20.8,5.3,22.7,14.1,50.6,53.3,10.7,5.4,30.6,16.1,16.7,5.9,13.2,1.1,6.1,1.1,-49.6,16.2,30.736,33.7,75.352,11.1,32.394,22.5,109.9,57.6,101.7,26.8,44.3,78.3,4.762,60.6,24.6,90.4,0.186,10.3,0.321,28.6,0.857,2.1,0.0,8.8,0.0,8.8
179,Yordys Valdes,0,SS,23.0,24.123,78.2,337,0.28,6.4,20.6,4.8,8.8,2.4,22.6,14.3,14.0,8.4,18.3,4.6,11.4,2.2,30.5,10.2,68.7,72.2,-60.1,4.4,36.662,8.1,78.431,24.1,32.815,20.7,108.4,32.5,101.4,23.2,32.5,27.1,1.78,19.0,16.9,53.2,0.168,3.9,0.246,4.6,6.503,75.4,0.03,59.4,0.833,71.1
180,Drew Cavanaugh,SFG,C,23.0,23.674,83.6,53,0.19,4.3,20.1,4.3,35.9,29.2,29.2,22.4,27.8,22.2,28.5,14.4,31.8,22.8,23.4,5.9,6.6,3.2,-49.1,16.8,24.771,73.9,80.282,36.5,31.633,26.8,106.7,14.3,103.8,56.0,44.1,78.0,1.887,20.7,17.6,57.6,0.2,19.2,0.301,18.2,1.08,3.4,0.0,8.8,0.0,8.8
181,Ezequiel Tovar,COL,SS,23.0,24.164,77.1,46,0.04,2.1,17.5,3.7,29.2,22.8,29.3,22.9,25.3,18.5,27.3,12.3,27.2,17.0,20.9,5.1,8.3,8.0,-39.1,42.3,40.625,2.0,76.119,14.2,29.245,37.3,107.1,18.2,104.2,61.2,41.2,66.3,2.174,25.3,8.8,11.9,0.219,36.4,0.316,25.9,1.601,7.6,0.0,8.8,0.0,8.8
182,Luis Verdugo,SDP,3B,24.0,24.966,64.6,109,0.11,3.2,15.9,3.2,21.2,11.9,34.0,27.9,14.3,9.0,24.2,8.5,17.8,7.3,15.6,3.2,11.2,11.8,-57.8,5.9,28.378,47.7,74.046,7.4,32.99,19.8,107.7,25.3,104.2,61.2,41.5,69.0,2.752,33.1,14.9,40.7,0.203,21.2,0.286,14.9,2.643,14.7,0.0,8.8,0.0,8.8
183,Dalvy Rosario,0,OF,24.0,25.191,60.5,64,0.23,5.3,15.0,2.4,17.9,8.1,20.4,12.1,17.8,11.2,19.1,4.8,17.8,7.3,17.8,3.7,17.8,16.6,-50.0,15.6,36.424,8.5,80.0,34.0,29.167,37.7,102.5,1.1,98.2,2.6,25.6,7.2,3.125,38.0,17.9,59.3,0.147,1.7,0.234,2.8,4.101,31.2,0.0,8.8,0.0,8.8
184,David Mershon,LAA,SS,22.0,22.355,95.9,57,-0.25,1.1,15.0,2.4,26.0,18.5,3.0,0.2,12.4,6.6,7.7,0.4,19.2,8.9,20.9,5.1,24.2,20.9,-54.3,9.2,26.549,62.7,77.922,21.1,34.579,12.9,102.6,1.3,99.5,6.0,38.7,54.0,0.0,2.4,6.5,4.4,0.164,3.6,0.223,2.2,2.202,11.5,0.018,42.8,0.333,18.4
185,Omar Martinez,LAA,C,23.0,24.238,76.0,88,0.06,2.7,14.8,1.6,21.8,12.2,20.8,12.6,2.0,1.3,11.4,1.0,11.9,3.1,14.2,2.1,18.7,18.2,-71.5,2.0,26.108,66.9,69.065,1.7,39.062,3.9,106.2,11.1,101.6,25.3,38.5,52.6,2.273,26.9,15.4,42.7,0.159,2.4,0.236,3.4,4.268,33.6,0.0,8.8,0.0,8.8
186,Trey Faltine,CIN,SS,24.0,24.726,69.2,57,-0.03,1.6,14.1,1.1,2.7,0.7,38.5,34.5,1.1,0.9,19.8,5.7,1.9,0.2,13.3,1.6,36.1,27.3,-87.7,0.7,36.885,7.2,67.164,1.3,47.321,0.7,108.3,31.4,102.8,39.8,42.9,74.7,5.263,66.3,11.4,21.0,0.14,0.9,0.238,3.7,6.597,77.1,0.0,8.8,0.0,8.8
187,Diego Cartaya,SFG,C,23.0,24.063,79.0,69,-0.78,0.5,12.5,0.5,20.9,11.2,22.7,14.9,0.2,0.2,11.4,1.0,10.5,1.7,9.2,0.5,6.4,2.4,-103.0,0.4,25.786,68.8,57.778,0.2,55.725,0.2,107.1,18.2,100.6,14.2,31.6,23.4,2.899,35.0,15.8,46.1,0.123,0.2,0.203,0.9,0.96,2.7,0.0,8.8,0.0,8.8
188,Samad Taylor,SDP,LF,27,27.222,23.1,657,,,,,68.1,75.4,31.7,25.7,61.7,64.6,46.7,42.7,64.9,72.3,,,,,-26.3,73.4,27.558,53.8,85.395,75.6,22.715,76.5,109.7,52.7,99.9,8.6,27.5,11.0,2.283,27.2,16.2,47.9,0.227,47.8,0.331,34.2,8.154,95.2,,,,
189,Ryan Ward,LAD,LF,27,27.6,16.2,652,,,,,72.8,80.4,80.4,87.5,73.6,79.0,77.0,93.8,73.2,81.8,,,,,-24.7,77.1,26.815,59.9,83.926,63.8,21.561,81.3,111.4,74.1,104.7,67.4,50.2,92.7,7.669,89.1,18.6,64.4,0.258,83.4,0.454,90.4,5.928,65.4,,,,
190,Yonathan Perlaza,0,2B,26,26.888,29.8,624,,,,,59.5,65.7,72.1,78.5,65.1,69.9,68.6,85.0,62.3,68.2,,,,,-28.1,69.9,26.85,59.7,81.386,44.7,30.362,33.1,113.7,93.9,105.6,77.2,45.7,84.1,4.808,61.0,16.4,49.2,0.26,85.4,0.419,79.7,4.964,47.1,,,,
191,Rhylan Thomas,SEA,LF,25,25.459,56.8,618,,,,,75.9,82.6,15.3,6.8,96.5,98.5,55.9,59.9,86.2,95.2,,,,,-3.0,99.8,33.302,20.3,94.216,99.3,10.188,99.8,107.8,26.0,97.1,1.5,18.7,2.0,0.162,4.8,11.4,21.0,0.274,93.7,0.331,34.2,5.931,65.7,,,,
192,Jesús Bastidas,MIA,SS,27,27.044,26.6,577,,,,,33.8,26.8,49.6,51.9,51.2,51.4,50.4,49.3,42.5,41.1,,,,,-38.4,43.9,34.339,15.0,83.284,60.6,29.444,37.0,109.2,43.9,102.4,35.3,34.3,34.9,3.813,48.4,24.0,87.9,0.223,41.9,0.355,50.1,4.024,30.1,,,,
193,Tanner Murray,CHW,LF,26,26.075,44.1,572,,,,,32.6,26.4,68.7,74.7,46.3,46.0,57.5,63.4,39.4,36.7,,,,,-41.4,36.4,33.697,17.9,80.229,35.5,28.251,45.3,112.4,85.0,105.9,80.4,47.5,88.5,4.72,58.8,18.3,62.2,0.234,57.1,0.38,65.1,2.952,18.4,,,,
194,Tristan Peters,CHW,CF,25,25.585,54.6,555,,,,,63.1,68.7,38.3,34.1,44.6,43.7,41.4,30.7,53.8,56.3,,,,,-25.1,76.3,28.77,44.9,79.767,32.7,26.104,57.5,106.8,15.3,100.5,13.1,29.2,15.0,3.423,42.3,21.9,79.5,0.233,56.4,0.361,53.1,4.725,40.8,,,,
195,Matt Koperniak,STL,LF,27,27.641,15.2,536,,,,,52.7,56.2,58.0,61.4,59.4,61.0,58.7,66.1,56.0,59.7,,,,,-29.4,66.0,32.858,22.0,82.901,57.3,24.975,65.4,109.6,50.0,103.3,46.8,39.4,57.1,5.41,67.8,12.6,27.5,0.238,61.5,0.399,72.8,4.749,41.8,,,,
196,Christian Franklin,WSN,LF,25,25.834,49.6,535,,,,,78.1,85.8,69.6,76.0,73.8,79.3,71.7,87.8,75.9,85.0,,,,,-26.2,73.7,19.136,94.8,84.477,68.4,25.211,64.1,112.9,88.3,106.3,84.4,48.6,90.0,5.047,63.4,11.8,22.8,0.252,79.1,0.404,74.5,5.436,56.9,,,,
197,Chad Stevens,COL,2B,26,26.656,34.1,528,,,,,44.4,42.3,68.9,74.9,69.4,75.9,69.2,85.4,56.9,61.0,,,,,-33.4,56.2,31.947,25.7,81.504,45.1,28.614,42.9,109.6,50.0,104.6,66.2,44.6,79.8,5.871,74.9,15.3,42.2,0.274,93.7,0.454,90.4,6.742,80.0,,,,
198,Ben Cowles,CHC,3B,25,25.624,53.9,527,,,,,16.8,7.4,44.1,43.6,24.7,17.2,34.4,21.8,20.8,10.0,,,,,-50.4,15.0,33.849,16.8,78.665,25.7,32.645,21.4,107.2,19.8,102.6,37.0,37.4,48.0,4.744,60.1,16.7,51.7,0.206,23.7,0.338,39.1,6.246,71.0,,,,
199,Niko Kavadas,LAA,1B,26,26.927,29.0,527,,,,,41.9,37.1,79.6,86.9,17.8,11.2,48.7,47.5,29.8,20.3,,,,,-47.6,19.0,20.675,90.6,76.78,16.3,31.846,25.9,112.2,83.2,104.1,59.4,46.5,85.8,7.59,88.5,24.5,89.9,0.2,19.2,0.403,74.1,3.562,25.1,,,,
200,Rodolfo Castro,0,SS,26,26.363,40.1,525,,,,,42.2,38.1,66.6,71.8,47.0,46.9,56.8,62.3,44.6,43.4,,,,,-35.1,51.3,31.9,26.0,82.923,57.7,28.497,43.6,112.8,87.1,106.0,81.6,38.0,51.0,4.571,57.7,21.0,74.9,0.219,36.4,0.351,47.1,5.116,50.3,,,,
201,César Prieto,STL,3B,26,26.393,39.3,515,,,,,62.4,67.3,37.8,33.3,82.8,88.2,60.3,71.0,72.6,81.3,,,,,-19.6,87.1,38.883,3.3,88.889,89.7,19.253,89.5,109.4,46.7,101.3,22.0,36.5,44.9,2.913,35.3,13.6,32.9,0.249,75.8,0.359,51.4,5.109,50.1,,,,
202,Nathan Hickey,BOS,C,25,25.854,49.3,514,,,,,45.7,43.8,59.6,63.2,36.0,33.6,47.8,44.8,40.8,38.0,,,,,-43.3,30.6,25.86,68.0,80.808,41.1,27.638,49.9,111.4,74.1,105.5,76.1,45.0,81.9,4.086,51.6,17.0,53.9,0.214,31.0,0.354,49.2,2.88,17.4,,,,
203,Rafael Lantigua,TOR,2B,27,27.425,19.4,495,,,,,92.1,97.6,19.0,11.0,60.4,62.5,39.7,27.9,76.2,85.2,,,,,-13.8,93.7,19.223,94.6,86.956,83.2,20.671,84.5,105.5,7.3,99.4,5.1,26.1,7.8,2.222,26.0,10.6,17.9,0.22,37.7,0.323,30.0,5.992,67.1,,,,
204,Spencer Packard,SEA,OF,27,27.967,9.4,494,,,,,91.1,96.5,43.2,42.5,89.4,93.5,66.3,81.9,90.2,97.4,,,,,-13.4,94.0,22.595,85.0,90.799,95.4,17.576,93.0,109.8,55.6,101.7,26.8,33.1,28.5,2.632,31.5,17.7,58.4,0.258,83.4,0.374,60.1,2.624,13.9,,,,
205,Esteury Ruiz,MIA,RF,26,26.623,35.5,494,,,,,71.8,79.7,57.1,60.6,70.6,76.5,63.8,77.6,71.2,80.0,,,,,-23.0,80.3,26.813,60.1,83.361,61.2,24.543,68.2,109.1,41.6,102.6,37.0,27.2,10.2,5.061,63.8,17.8,58.6,0.254,80.1,0.408,76.0,6.786,80.8,,,,
206,Blaine Crim,COL,1B,28,28.287,3.9,492,,,,,75.5,81.9,68.1,73.9,64.2,68.3,66.2,81.2,69.8,77.7,,,,,-25.2,75.9,24.208,77.1,83.649,62.7,23.529,72.1,111.8,78.9,105.7,78.5,42.4,72.9,4.878,61.9,17.4,55.6,0.24,65.6,0.384,66.6,3.269,21.8,,,,
207,Trey Lipscomb,WSN,3B,25,25.295,58.5,489,,,,,43.5,40.2,41.4,39.5,56.4,57.2,48.9,47.7,50.0,50.5,,,,,-31.6,61.5,37.322,6.1,83.624,62.3,26.805,54.5,109.7,52.7,103.6,52.4,33.6,30.5,2.863,34.4,14.3,36.1,0.229,50.5,0.335,36.6,4.324,35.1,,,,
208,MJ Melendez,NYM,DH,26,26.836,31.2,480,,,,,18.7,8.8,84.2,90.6,33.8,30.9,59.0,67.5,26.2,15.7,,,,,-48.1,18.2,33.047,20.9,75.422,11.3,33.681,16.8,112.0,80.7,106.1,82.6,55.5,97.8,6.875,84.5,28.5,96.7,0.233,56.4,0.427,81.9,6.505,75.6,,,,
209,Austin Gauthier,LAD,SS,26,26.401,38.9,478,,,,,90.5,96.0,32.1,26.1,71.5,77.3,51.8,51.0,81.0,89.5,,,,,-18.9,88.9,18.332,96.1,84.698,70.6,20.373,86.1,109.1,41.6,102.6,37.0,44.9,81.3,1.883,20.5,8.6,11.0,0.246,72.4,0.356,50.5,4.42,35.9,,,,
210,Luis Campusano,SDP,C,27,27.003,27.5,475,,,,,84.9,91.9,92.3,97.8,80.2,86.5,86.2,98.7,82.6,91.7,,,,,-19.4,87.8,22.7,84.5,84.066,64.9,22.251,78.4,114.0,94.6,108.0,94.3,53.4,96.1,8.421,92.2,21.7,78.5,0.281,95.6,0.501,95.6,3.209,20.9,,,,
211,Raynel Delgado,TBR,2B,25,25.489,56.3,474,,,,,61.4,66.9,32.6,26.8,63.9,67.8,48.2,46.3,62.6,69.0,,,,,-29.9,64.9,29.292,41.0,86.76,81.7,20.984,83.2,109.4,46.7,101.5,24.4,29.9,17.0,2.321,27.7,16.4,49.2,0.226,46.1,0.32,28.1,6.78,80.6,,,,
212,Shay Whitcomb,HOU,3B,27,27.006,27.3,469,,,,,42.7,38.9,78.5,85.7,52.6,53.2,65.6,79.5,47.7,47.8,,,,,-40.1,38.2,27.576,53.4,84.061,64.7,29.125,38.1,110.8,69.2,105.0,70.5,45.1,82.4,6.61,81.9,29.5,97.7,0.222,40.4,0.412,78.0,4.705,40.5,,,,
213,Oliver Dunn,CHW,3B,28,28.077,6.9,465,,,,,37.8,32.5,48.1,49.1,14.3,9.0,31.2,17.0,26.0,15.3,,,,,-51.2,13.3,20.842,89.8,75.722,12.4,32.748,21.1,109.6,50.0,105.3,73.3,41.1,65.7,3.656,46.1,17.6,57.6,0.196,16.2,0.31,22.4,7.562,89.3,,,,
214,Riley Tirotta,TOR,3B,27,27.11,25.5,463,,,,,36.9,30.5,61.7,65.5,21.9,14.8,41.8,31.6,29.4,19.7,,,,,-47.8,18.7,22.759,84.1,74.5,8.5,35.018,11.5,112.6,85.6,104.0,58.1,37.5,48.7,4.752,60.3,18.7,65.1,0.218,35.3,0.348,45.2,5.276,54.0,,,,
215,Ryan Vilade,TBR,RF,26,26.615,35.8,461,,,,,69.5,77.0,84.5,91.1,87.5,91.5,86.0,98.5,78.5,87.0,,,,,-27.8,70.8,27.35,55.8,86.435,80.2,20.264,86.6,113.4,91.3,106.5,86.1,45.4,83.0,6.508,81.0,18.5,63.4,0.277,94.8,0.478,93.8,7.409,88.5,,,,
216,Akil Baddoo,MIL,LF,27,27.124,25.0,457,,,,,49.6,50.9,73.8,79.7,39.9,37.3,56.8,62.3,44.8,43.7,,,,,-34.1,54.9,28.229,48.8,78.707,26.1,29.235,37.5,111.5,75.2,104.4,64.1,38.5,52.6,5.689,72.3,24.1,88.2,0.231,53.7,0.41,77.0,7.684,91.1,,,,
217,Jonathan Ornelas,NYY,SS,25,25.347,58.1,454,,,,,53.6,57.7,47.0,46.9,23.7,15.9,35.4,22.4,38.6,35.3,,,,,-39.4,41.0,21.674,86.7,79.266,29.4,29.925,35.5,112.1,82.1,105.7,78.5,43.2,75.8,3.304,41.2,8.2,8.8,0.199,18.0,0.3,17.9,5.03,48.6,,,,
218,Justin Foscue,TEX,2B,26,26.582,36.0,453,,,,,75.9,82.6,57.5,61.0,66.2,71.9,61.8,75.7,71.1,79.7,,,,,-17.9,89.5,29.266,41.6,89.767,91.9,17.512,93.4,108.1,29.7,102.9,40.8,36.0,42.6,5.96,75.8,20.3,71.6,0.222,40.4,0.366,57.2,4.293,34.3,,,,
219,Collin Price,HOU,C,25,25.875,48.7,449,,,,,27.6,20.3,67.3,72.8,19.0,12.6,43.2,33.8,23.3,12.3,,,,,-50.6,14.2,27.689,51.9,78.066,22.2,32.062,24.6,110.6,67.3,105.7,78.5,37.5,48.7,5.568,70.6,21.5,77.3,0.195,15.8,0.35,46.5,4.82,43.4,,,,
220,Dominic Fletcher,PIT,RF,28,28.077,6.9,446,,,,,48.9,49.0,48.8,50.1,78.3,84.6,63.6,77.2,63.6,69.9,,,,,-32.5,59.4,35.254,12.0,88.127,87.4,22.308,78.0,110.5,65.5,102.0,30.5,34.6,36.5,3.139,38.9,22.6,83.1,0.243,69.2,0.359,51.4,5.278,54.2,,,,
221,Bob Seymour,0,1B,26,26.982,28.2,443,,,,,20.2,10.5,87.8,93.9,27.2,21.7,57.5,63.4,23.7,12.6,,,,,-42.8,31.8,39.802,2.4,76.923,16.8,33.478,17.9,117.9,99.8,107.1,89.3,44.9,81.3,7.449,87.8,19.7,69.5,0.22,37.7,0.437,85.2,4.051,30.5,,,,
222,Trevor Hauver,TEX,2B,26,26.861,30.6,440,,,,,70.2,78.2,54.8,57.3,64.4,68.6,59.6,69.4,67.3,75.2,,,,,-33.0,57.6,17.363,98.3,85.029,71.7,25.769,59.7,109.7,52.7,103.6,52.4,42.4,72.9,4.091,51.9,16.4,49.2,0.234,57.1,0.384,66.6,4.44,36.6,,,,
223,Carson McCusker,0,,,,,438,,,,,19.4,9.4,89.9,96.2,26.2,20.4,58.0,65.1,22.8,11.5,,,,,-59.4,4.8,28.338,47.9,76.255,14.8,34.296,13.3,115.2,96.8,108.9,97.8,54.0,96.5,9.361,96.1,15.9,46.5,0.22,37.7,0.448,87.9,0.0,0.3,,,,
224,Cam Devanney,0,SS,28,28.465,0.7,435,,,,,38.8,33.6,79.1,86.6,25.1,17.9,52.1,51.9,32.0,23.4,,,,,-39.1,42.3,28.3,48.6,74.342,8.3,33.798,15.3,109.6,50.0,104.8,68.7,43.8,77.2,8.966,94.3,21.0,74.9,0.223,41.9,0.451,88.5,4.496,37.4,,,,
225,Kenedy Corona,NYY,CF,25,25.528,55.0,433,,,,,50.6,52.8,40.5,37.1,58.3,59.7,49.4,48.1,54.4,57.1,,,,,-36.0,49.7,27.946,51.0,82.971,58.2,27.216,52.3,112.0,80.7,103.3,46.8,34.1,33.3,2.079,23.5,14.5,37.7,0.235,58.4,0.326,31.7,6.336,72.3,,,,
226,Michael Siani,LAD,CF,26,26.209,42.9,430,,,,,49.1,49.7,23.9,17.3,27.8,22.2,25.8,9.8,38.4,34.9,,,,,-37.8,45.1,26.949,57.7,79.651,32.0,28.1,46.4,109.7,52.7,100.9,17.9,24.6,6.3,1.628,14.4,14.1,35.1,0.206,23.7,0.289,15.7,8.053,94.8,,,,
227,Kellen Strahm,HOU,RF,28,28.433,0.9,429,,,,,76.5,83.6,28.5,20.6,65.4,70.6,47.0,43.2,71.0,79.5,,,,,-28.6,68.6,22.57,85.2,84.567,69.3,21.185,83.0,109.0,40.0,102.2,32.7,37.2,46.8,2.098,24.2,9.4,13.4,0.238,61.5,0.323,30.0,5.263,53.8,,,,
228,Gilberto Celestino,TEX,CF,26,26.628,35.2,426,,,,,63.4,70.2,32.9,27.0,43.0,41.2,38.0,24.6,53.2,54.9,,,,,-31.6,61.5,24.401,76.0,80.943,42.5,27.694,49.5,109.0,40.0,103.5,50.8,45.5,83.4,2.582,30.6,5.7,2.6,0.224,43.5,0.323,30.0,5.368,55.3,,,,
229,Dustin Harris,CHW,LF,26,26.231,42.4,425,,,,,63.7,71.1,42.6,42.2,79.8,86.2,61.2,73.5,71.8,80.4,,,,,-24.4,77.8,31.683,28.3,88.438,88.2,21.511,81.7,109.7,52.7,100.4,12.1,24.0,5.9,3.059,37.3,22.6,83.1,0.245,71.4,0.356,50.5,7.213,86.5,,,,
230,Nick Pratto,TEX,1B,26,26.984,27.9,423,,,,,36.7,30.3,27.1,19.6,13.2,7.4,20.2,5.9,25.0,14.4,,,,,-48.3,17.6,23.906,78.2,77.652,19.8,32.447,22.2,107.5,23.6,101.1,19.8,30.5,17.8,2.6,31.2,18.5,63.4,0.18,6.6,0.278,11.4,5.878,64.3,,,,
231,Logan Davidson,TBR,1B,27,27.762,11.9,423,,,,,51.3,55.3,51.3,54.6,40.9,39.2,46.1,40.2,46.1,45.2,,,,,-38.9,42.7,22.929,82.6,80.24,35.7,31.868,25.7,109.6,50.0,103.7,54.1,43.2,75.8,4.019,51.2,15.0,41.3,0.226,46.1,0.363,55.1,5.009,47.9,,,,
232,Blake Dunn,CIN,CF,27,27.069,26.2,422,,,,,66.4,74.7,53.6,56.2,65.4,70.6,59.5,69.1,65.9,73.9,,,,,-35.6,50.5,20.493,90.8,84.108,65.1,24.32,69.7,110.6,67.3,106.2,83.3,40.4,61.1,3.791,47.7,7.4,6.3,0.24,65.6,0.354,49.2,6.484,74.5,,,,
233,Andre Lipcius,0,2B,27,27.359,20.3,421,,,,,54.9,59.3,47.3,47.8,41.8,39.9,44.6,36.1,48.3,49.2,,,,,-27.8,70.8,30.035,36.4,82.288,52.7,28.625,42.7,106.1,10.1,100.4,12.1,26.8,9.6,5.226,66.0,23.1,85.5,0.214,31.0,0.371,58.7,3.51,24.4,,,,
234,Tristin English,ATL,OF,28,28.381,1.7,417,,,,,53.1,56.9,65.9,71.2,62.2,65.9,64.1,78.1,57.6,61.7,,,,,-24.8,76.9,44.627,0.4,81.947,50.3,23.404,72.8,111.5,75.2,104.1,59.4,39.4,57.1,5.276,66.7,14.8,40.2,0.248,74.2,0.406,75.4,1.459,6.8,,,,
235,Tim Elko,CHW,1B,26,26.76,32.3,414,,,,,17.1,7.8,88.2,94.6,51.0,51.0,69.6,85.8,34.0,27.0,,,,,-51.2,13.3,32.296,23.5,78.992,27.7,33.591,17.0,116.7,99.3,107.7,92.9,51.4,93.7,7.729,90.0,16.7,51.7,0.248,74.2,0.453,89.4,2.895,17.6,,,,
236,Conner Capel,COL,LF,28,28.367,2.4,414,,,,,67.2,74.9,38.5,34.5,66.8,72.1,52.6,53.7,67.0,74.8,,,,,-29.9,64.9,26.57,62.3,85.261,73.9,21.825,80.2,106.7,14.3,101.1,19.8,31.0,20.3,3.623,45.1,19.5,68.5,0.236,59.8,0.354,49.2,6.232,70.4,,,,
237,Bryan Torres,STL,LF,28,28.246,4.8,414,,,,,93.8,98.7,22.7,14.9,91.6,95.2,57.2,62.7,92.7,98.5,,,,,-10.7,96.0,20.907,89.5,90.343,94.1,17.099,94.6,105.4,6.9,99.5,6.0,26.4,8.9,1.691,15.7,15.0,41.3,0.264,89.0,0.362,54.2,5.121,50.5,,,,
238,Francisco Urbaez,CIN,2B,27,27.964,9.6,411,,,,,91.4,96.7,32.5,26.6,89.6,93.8,61.0,72.8,90.5,97.6,,,,,-10.2,96.7,23.244,80.8,89.959,92.8,17.164,94.1,107.2,19.8,102.1,31.6,34.2,34.3,2.19,25.5,16.0,46.9,0.261,86.3,0.354,49.2,5.25,53.6,,,,
239,Nick Sogard,BOS,3B,28,28.057,7.5,409,,,,,85.6,93.0,22.7,14.9,67.2,72.7,45.0,37.9,76.4,85.5,,,,,-20.0,86.1,22.894,83.0,87.284,85.2,19.675,88.5,107.3,21.4,99.6,6.6,22.7,4.6,1.711,16.3,19.3,68.0,0.228,49.2,0.317,27.0,4.823,43.6,,,,
240,Andy Weber,CHW,2B,28,28.183,5.5,404,,,,,74.7,81.0,22.3,13.8,89.9,94.4,56.1,60.5,82.3,91.4,,,,,-19.1,88.3,29.325,40.7,90.041,93.5,18.742,91.7,108.8,37.6,100.6,14.2,28.1,13.3,0.743,6.3,16.3,48.4,0.261,86.3,0.326,31.7,5.041,48.8,,,,
241,Kody Hoese,0,3B,28,28.216,5.0,403,,,,,72.9,80.6,28.5,20.6,68.6,74.4,48.6,47.1,70.8,78.8,,,,,-26.4,73.2,26.741,61.0,89.532,91.1,18.976,90.2,109.1,41.6,101.7,26.8,36.3,43.7,1.737,17.2,14.7,39.4,0.226,46.1,0.329,33.4,2.868,17.0,,,,
242,Nick Schnell,SDP,RF,25,25.511,55.9,402,,,,,6.2,1.7,87.3,92.6,17.4,10.5,52.4,53.1,11.8,2.7,,,,,-58.4,5.1,35.424,10.7,71.266,3.7,42.326,2.0,113.2,89.9,106.0,81.6,41.8,69.6,7.711,89.8,25.0,91.7,0.214,31.0,0.432,83.7,7.075,85.6,,,,
