Rank,Name,Team,Age,ExactAge,Age_R,PA,PPPA,PPPA_R,Overall,Overall_R,Discipline,Discipline_R,Power,Power_R,Contact,Contact_R,ConPow,ConPow_R,ConDis,ConDis_R,ConDisSpd,ConDisSpd_R,Speed,Speed_R,RawPower,PowAge,BB%-2K%,BB%-2K%_R,Chase%,Chase%_R,ZContact%,ZContact%_R,Whiff%,Whiff%_R,MaxEV,MaxEV_R,EV90,EV90_R,HardHit%,HardHit%_R,Barrel%,Barrel%_R,Spd,Spd_R,SB_rate,SB_rate_R,SB_succ,SB_succ_R
82,Marconi German,WSN,18.0,18.949,77.8,186,1.09,70.9,61.3,80.4,67.0,72.9,42.8,39.6,54.0,60.3,48.4,45.0,60.5,70.5,61.3,76.4,62.9,66.8,35.3,56.6,-27.4,65.0,22.511,91.3,74.026,40.6,33.762,35.3,101.4,27.1,100.5,47.7,40.0,67.3,0.5,64.4,7.859,76.6,0.059,65.6,0.688,37.1
83,Tavano Baker,BOS,19.0,19.855,44.1,164,1.07,69.1,60.9,80.1,37.4,32.7,86.4,91.8,66.4,81.4,76.4,93.8,51.9,53.4,64.4,82.1,89.4,96.6,88.6,66.4,-34.1,49.5,43.595,7.5,82.456,78.7,30.249,51.9,110.7,92.0,104.7,83.5,34.3,54.0,1.2,81.0,9.487,97.8,0.128,91.9,0.875,72.3
84,Jorge Rodriguez,BOS,20.0,20.487,29.2,124,1.5,93.5,60.9,80.1,73.6,82.7,80.0,85.3,48.2,46.1,64.1,74.2,60.9,72.0,67.1,86.2,79.4,85.7,80.6,54.9,-13.7,89.9,35.208,33.3,77.273,54.6,18.681,93.5,109.8,89.0,102.6,67.9,30.6,41.8,1.6,86.1,8.509,87.9,0.113,89.4,0.778,51.8
85,Cristofer Lebrón,STL,19.0,19.422,61.2,179,1.14,74.9,60.8,79.7,44.0,42.6,61.2,64.4,76.2,90.6,68.7,84.1,60.1,69.3,65.9,84.2,77.4,84.1,70.8,66.0,-36.9,43.7,35.589,30.2,82.895,81.0,27.299,65.5,108.2,78.9,101.7,58.6,41.2,71.5,0.0,30.8,8.142,81.4,0.101,85.6,0.818,59.7
86,Marco Argudin,TEX,20.0,20.709,23.2,82,1.19,79.2,60.7,79.5,85.8,96.4,65.4,68.8,89.5,99.5,77.4,95.3,87.6,99.3,70.6,91.7,36.5,27.5,72.0,47.6,-14.6,88.6,27.411,74.9,87.692,94.2,17.797,94.9,106.4,63.6,104.9,84.5,50.0,84.8,0.0,30.8,6.597,53.6,0.024,33.2,0.333,13.9
87,Noah Franklin,TEX,19.0,19.94,39.0,115,1.41,89.9,60.6,79.2,49.2,49.3,92.4,96.4,61.6,75.2,77.0,94.7,55.4,61.4,57.7,69.8,62.2,65.0,90.8,64.9,-36.5,44.4,33.333,43.4,76.316,50.5,25.854,70.0,109.8,89.0,106.3,93.4,41.7,72.6,3.5,97.0,7.309,66.2,0.026,36.5,1.0,91.7
88,Johan Rodriguez,ATL,18.0,18.366,94.2,154,0.9,55.0,60.5,78.7,47.2,47.3,47.6,47.3,56.8,65.7,52.2,51.0,52.0,54.0,50.4,50.6,47.3,42.8,45.1,69.6,-29.9,58.7,50.701,1.2,85.714,90.7,21.502,87.2,105.2,55.4,98.2,29.6,20.5,22.9,0.6,67.8,4.999,31.3,0.039,49.9,0.857,69.2
89,Adriel Radney,ARI,19.0,19.162,70.8,190,0.67,33.9,60.5,78.7,47.5,47.7,67.0,71.3,59.4,71.3,63.2,71.9,53.4,56.9,53.3,59.7,52.9,49.6,66.1,68.4,-41.6,34.8,29.286,63.3,77.612,56.5,29.63,55.6,107.6,74.6,101.2,53.4,38.5,62.3,1.1,78.9,7.497,70.0,0.021,30.7,0.8,56.8
90,Tyson Moran,KCR,20.0,20.569,27.5,208,1.44,90.5,60.5,78.7,82.0,91.4,63.5,67.3,88.8,98.6,76.2,93.5,85.4,98.8,70.0,89.9,39.3,31.4,70.7,49.1,-13.5,90.1,29.31,62.6,84.404,85.5,20.113,90.8,106.8,66.9,103.5,76.4,58.1,92.0,0.0,30.8,4.928,29.7,0.005,12.9,1.0,91.7
91,Cris Rodriguez,DET,18.0,18.563,89.0,197,0.96,60.7,60.2,78.1,19.0,9.4,83.9,88.8,38.1,24.6,61.0,68.1,28.6,10.4,40.6,25.4,64.8,71.0,83.2,86.1,-55.8,10.6,35.714,30.0,68.571,15.7,36.264,23.7,108.6,81.8,105.0,85.3,37.5,60.5,1.5,85.1,8.101,80.7,0.041,52.4,0.8,56.8
92,Cesar Lugo,CHC,19.0,19.537,57.7,198,0.83,47.7,60.2,78.1,29.2,19.6,97.3,99.0,59.2,70.7,78.2,96.4,44.2,36.7,46.9,42.3,52.3,48.7,98.7,78.2,-47.5,23.2,33.857,41.3,71.93,28.3,35.714,26.3,113.6,98.6,108.9,98.8,53.3,90.0,2.5,91.7,7.288,65.6,0.04,51.0,0.667,32.7
93,Seong-Jun Kim,TEX,19.0,19.307,66.1,160,1.17,77.5,60.1,77.8,29.8,20.2,84.0,89.3,50.4,51.6,67.2,81.6,40.1,28.7,52.1,54.3,76.0,82.9,82.9,74.5,-48.8,20.3,31.783,50.7,68.79,15.9,36.559,22.2,107.7,75.4,106.8,94.2,50.0,84.8,1.2,81.0,8.128,81.2,0.05,58.9,1.0,91.7
94,Deinys Gonzalez,TBR,19.0,19.573,56.5,55,1.12,73.6,60.0,77.5,51.8,53.6,62.3,65.5,79.4,94.0,70.8,86.5,65.6,80.6,61.9,77.3,54.6,51.3,51.2,53.8,-25.5,69.8,42.667,9.4,80.769,69.4,25.843,70.3,103.6,42.0,102.2,65.0,52.6,89.4,3.6,97.3,5.662,39.0,0.036,46.0,1.0,91.7
95,Josue Brito,BOS,19.0,19.359,62.8,191,1.11,72.6,59.9,77.3,51.8,53.6,76.2,81.6,42.6,33.0,59.4,64.6,47.2,44.2,50.9,51.9,58.3,56.3,71.4,67.1,-31.4,55.8,32.09,49.5,70.787,24.2,31.507,45.4,107.3,71.7,102.9,71.0,37.7,61.1,3.1,95.8,7.41,67.9,0.052,60.5,0.714,39.7
96,Steele Hall,CIN,18.0,19.077,73.4,270,1.26,83.1,59.8,76.9,40.9,37.4,67.4,71.5,44.6,37.3,56.0,58.2,42.8,33.7,54.1,61.5,76.7,83.3,72.2,72.8,-35.2,47.6,36.364,28.0,72.947,34.8,31.692,43.5,110.9,93.8,99.6,39.7,34.6,54.3,0.7,69.8,8.412,86.0,0.089,80.3,0.8,56.8
97,Romeli Espinosa,PHI,18.0,18.209,96.9,234,0.49,19.0,59.8,76.9,44.1,43.0,52.7,54.5,55.9,63.9,54.3,56.0,50.0,49.8,43.4,33.2,30.3,23.4,64.1,80.5,-33.3,52.3,39.012,17.9,84.1,85.0,27.807,62.8,109.6,87.8,98.1,28.5,23.1,26.8,0.0,30.8,6.203,47.8,0.013,21.0,0.429,15.3
