Rank,Name,Team,Age,ExactAge,Age_R,PA,PPPA,PPPA_R,Overall,Overall_R,Discipline,Discipline_R,Power,Power_R,Contact,Contact_R,ConPow,ConPow_R,ConDis,ConDis_R,ConDisSpd,ConDisSpd_R,Speed,Speed_R,RawPower,PowAge,BB%-2K%,BB%-2K%_R,Chase%,Chase%_R,ZContact%,ZContact%_R,Whiff%,Whiff%_R,MaxEV,MaxEV_R,EV90,EV90_R,HardHit%,HardHit%_R,Barrel%,Barrel%_R,Spd,Spd_R,SB_rate,SB_rate_R,SB_succ,SB_succ_R
123,Gabriel Flores,PHI,18.0,18.467,92.1,65,0.5,19.7,56.9,70.8,36.5,31.2,44.6,42.1,86.0,97.8,65.3,77.8,61.2,72.5,43.1,31.9,6.8,5.6,45.0,68.6,-38.5,41.8,37.5,23.3,81.967,75.1,31.776,43.2,102.1,32.7,102.1,63.4,71.4,97.0,0.0,30.8,2.643,7.6,0.0,6.3,0.0,6.3
124,Samuel Gonzalez,ATH,19.0,19.751,49.6,105,0.55,25.2,56.7,70.3,69.5,76.3,45.8,45.2,62.6,76.4,54.2,55.6,66.0,81.6,64.2,81.5,60.5,61.2,47.5,48.6,-32.4,54.6,22.523,91.1,81.982,75.4,24.845,74.4,103.3,39.6,101.8,59.4,33.3,49.9,0.0,30.8,7.096,61.8,0.048,56.8,0.833,63.5
125,Juan Brown,CIN,18.0,19.129,72.0,217,0.55,25.2,56.4,69.9,41.2,37.9,81.8,86.6,36.9,22.2,59.4,64.6,39.0,26.7,33.1,11.4,21.1,17.4,85.0,78.5,-38.7,40.9,31.942,50.0,67.633,13.3,35.248,28.5,110.7,92.0,103.2,74.6,37.5,60.5,0.9,75.6,4.847,28.7,0.009,16.9,0.4,14.7
126,Ramcell Medina,KCR,18.0,18.771,83.6,177,0.61,30.3,56.4,69.9,51.8,53.6,51.0,52.7,62.2,75.8,56.6,59.1,57.0,63.4,39.6,23.9,4.9,2.3,53.4,68.5,-30.5,57.0,34.062,39.4,79.235,62.1,28.767,57.5,103.7,42.8,102.7,69.2,38.5,62.3,0.0,30.8,1.922,2.9,0.0,6.3,0.0,6.3
127,Carl Calixte,PIT,19.0,19.781,47.0,151,1.15,76.1,56.3,69.6,39.4,35.9,68.8,73.3,59.1,70.0,64.0,73.7,49.2,48.3,61.6,76.8,86.4,94.9,78.6,62.8,-35.8,46.1,36.259,28.3,82.278,77.1,32.456,39.1,108.3,79.7,103.6,76.9,30.3,41.1,0.0,30.8,8.875,92.8,0.106,87.4,0.889,74.8
128,Pascual Archila,TOR,19.0,19.576,56.0,232,1.06,68.4,56.2,69.3,70.7,77.3,39.0,34.4,57.2,66.5,48.1,44.0,64.0,77.8,63.3,79.7,62.1,64.6,31.5,43.8,-26.3,67.0,20.249,95.7,74.708,42.8,31.868,42.3,101.0,24.9,99.8,41.5,41.2,71.5,0.4,62.1,6.022,44.7,0.073,72.2,0.895,75.7
129,Leni Done,NYY,19.0,19.211,68.6,226,1.27,83.7,56.0,69.1,64.4,69.4,25.7,21.9,53.8,59.3,39.8,29.3,59.1,66.7,66.8,85.9,82.3,89.5,24.4,46.5,-28.8,62.1,27.913,69.6,82.197,76.3,27.824,62.3,100.9,24.3,97.6,24.6,25.0,31.4,0.0,30.8,8.872,92.5,0.128,91.9,0.784,52.7
130,Hansel Jimenez,CIN,19.0,19.71,51.4,82,0.6,29.3,55.7,68.7,41.4,38.3,84.8,90.1,36.6,20.9,60.7,67.4,39.0,26.7,45.4,38.2,58.2,55.8,85.6,68.5,-35.4,47.3,31.72,51.3,63.768,6.0,39.844,11.6,109.0,85.1,105.1,86.4,40.0,67.3,1.2,81.0,5.619,37.9,0.049,57.6,1.0,91.7
131,Juan Rojas,HOU,18.0,18.587,87.9,162,0.78,43.4,55.7,68.7,75.3,84.4,19.2,15.1,37.4,22.6,28.3,14.6,56.4,62.8,52.5,55.7,44.7,39.4,16.2,52.0,-23.5,73.6,21.04,94.4,78.919,60.6,30.35,51.0,98.7,15.8,95.5,16.9,14.3,14.1,0.0,30.8,6.137,46.9,0.043,54.3,0.636,27.8
132,Kennew Blanco,TOR,20.0,20.167,34.5,187,0.93,57.5,55.6,68.4,59.4,64.3,56.0,58.5,65.9,81.2,61.0,68.1,62.6,75.5,69.2,88.0,82.2,89.1,63.7,49.1,-23.0,75.2,36.548,26.8,81.579,72.7,26.168,68.6,107.0,69.3,101.4,55.2,36.8,59.1,0.0,30.8,8.317,84.3,0.075,73.1,1.0,91.7
133,Michael Oliveto,DET,19.0,19.546,57.5,83,0.77,42.3,55.5,68.1,78.5,87.9,47.1,46.9,59.9,72.6,53.5,53.4,69.2,87.6,48.6,47.3,7.3,6.3,49.0,53.2,-12.0,91.9,32.0,49.8,86.885,93.0,21.368,87.9,103.4,40.6,102.0,61.7,23.1,26.8,0.0,30.8,2.768,8.9,0.0,6.3,0.0,6.3
134,Manni Ramirez,TEX,19.0,19.324,65.5,88,1.02,66.1,55.2,67.8,33.3,25.1,73.8,79.2,56.4,64.9,65.1,77.1,44.8,38.6,42.0,29.5,36.2,27.3,66.4,66.0,-47.7,22.7,31.034,54.1,73.643,38.9,35.16,28.7,106.0,59.8,103.5,76.4,42.1,73.9,3.4,96.5,3.32,11.8,0.016,24.5,1.0,91.7
135,Darwin Almanzar,MIN,18.0,18.828,82.6,166,0.83,47.7,55.2,67.8,74.8,83.6,16.9,13.2,45.4,37.9,31.2,18.4,60.1,69.3,56.0,66.1,47.7,43.2,13.7,48.2,-9.6,94.2,31.664,51.9,82.653,80.2,28.077,60.6,98.3,14.6,94.0,12.3,10.8,10.6,0.0,30.8,6.779,57.0,0.042,53.6,0.583,24.5
136,Bryan Gonzalez Garcia,LAD,20.0,21.101,12.8,79,1.25,82.4,55.1,67.3,86.0,96.6,64.4,68.1,77.8,91.9,71.1,87.0,81.9,97.8,63.4,80.1,26.3,20.8,73.3,43.0,-15.2,88.2,24.224,86.0,77.778,57.0,23.256,80.7,107.7,75.4,102.8,70.2,83.3,98.6,0.0,30.8,3.775,15.2,0.025,34.4,0.667,32.7
137,Edgardo Figueroa,WSN,18.0,18.946,78.3,51,0.14,3.4,55.1,67.3,37.2,32.1,56.7,59.9,50.6,52.5,53.6,53.7,43.9,35.5,44.1,35.0,44.4,38.6,59.8,69.0,-45.1,27.1,26.829,76.6,56.716,1.7,46.067,3.1,104.1,46.4,104.1,80.0,100.0,99.4,0.0,30.8,4.731,27.5,0.02,30.0,1.0,91.7
138,Jhoan Peguero,BOS,20.0,20.958,15.1,107,1.33,87.1,55.0,66.7,75.6,85.5,54.0,55.4,82.7,96.3,68.4,83.1,79.2,96.0,74.2,97.1,64.4,69.9,48.8,32.0,-23.4,74.0,25.316,81.2,85.455,90.0,25.564,71.0,104.5,49.6,100.5,47.7,42.9,75.4,0.9,75.6,6.322,48.7,0.187,97.7,0.741,43.0
139,Miguel Caraballo,MIN,17.0,17.985,99.5,166,0.84,49.2,55.0,66.7,23.7,13.2,49.1,50.5,34.4,17.3,41.8,32.7,29.0,11.5,41.8,29.0,67.2,74.4,45.9,72.7,-44.0,29.5,37.209,24.6,68.333,15.2,41.912,8.0,104.7,51.9,99.3,37.0,34.2,53.6,0.6,67.8,6.479,51.0,0.09,81.0,0.882,73.6
140,Jonathan Rangel,MIL,19.0,19.491,59.3,156,1.0,64.4,55.0,66.7,40.1,36.6,71.6,77.5,36.7,21.3,54.2,55.6,38.4,25.0,48.0,45.7,67.1,74.2,65.8,62.6,-41.0,36.8,30.258,58.9,66.667,12.0,37.295,20.0,106.4,63.6,102.7,69.2,38.1,61.4,2.6,92.6,8.222,81.9,0.038,48.8,0.857,69.2
141,Gustavo Melendez,PIT,18.0,18.836,82.4,157,0.35,9.5,54.9,66.2,56.6,59.2,45.9,45.4,25.0,9.8,35.4,22.8,40.8,31.4,43.5,33.6,48.8,44.4,52.2,67.3,-26.1,68.6,30.057,60.1,68.852,16.4,37.037,21.3,106.3,62.4,99.3,37.0,25.6,33.7,0.0,30.8,4.769,28.0,0.032,42.0,1.0,91.7
142,Jose Castro,NYY,20.0,20.879,18.4,166,1.57,94.4,54.8,65.8,57.6,60.7,63.4,66.9,79.8,94.7,71.6,87.8,68.7,86.5,72.6,94.6,80.3,87.7,69.0,43.7,-30.1,57.5,27.763,71.7,80.702,68.8,33.463,36.7,105.9,58.7,104.9,84.5,55.6,90.8,0.0,30.8,8.295,83.3,0.187,97.7,0.775,51.0
143,Emilio Sanchez,BAL,19.0,19.357,63.0,112,0.55,25.2,54.8,65.8,53.3,55.3,48.1,48.8,36.0,19.9,42.0,33.7,44.6,38.3,57.5,69.3,83.3,91.1,43.5,53.2,-24.1,72.3,34.063,39.1,72.549,31.4,35.393,27.3,104.8,52.8,98.2,29.6,29.7,40.5,0.9,75.6,8.816,92.3,0.098,84.7,0.846,67.1
144,Jaeden Calderon,PHI,20.0,20.925,17.3,107,0.99,63.5,54.7,65.5,79.2,88.4,50.7,52.2,79.0,93.2,64.8,75.7,79.1,95.7,73.0,95.4,60.7,61.8,54.4,35.8,-16.8,86.5,26.059,79.0,82.759,80.6,27.922,61.4,104.5,49.6,102.0,61.7,45.5,77.4,0.0,30.8,6.986,60.1,0.028,39.3,1.0,91.7
145,Diorland Zambrano,CIN,19.0,19.8,45.2,125,1.09,70.9,54.5,65.2,63.6,68.8,53.0,54.8,75.0,89.4,64.0,73.7,69.3,87.9,55.4,64.7,27.6,22.0,47.9,46.6,-23.2,74.4,35.913,29.5,89.412,95.2,21.393,87.7,104.1,46.4,100.9,50.1,34.8,54.7,0.8,72.0,6.129,46.5,0.008,15.8,0.333,13.9
146,Adrian Bello,MIA,20.0,20.257,33.8,149,1.09,70.9,54.4,65.0,71.5,79.1,60.8,64.0,50.2,50.5,55.5,56.9,60.8,71.7,58.5,72.1,53.7,50.2,68.7,51.2,-24.2,71.9,28.571,67.1,80.729,69.1,24.138,77.1,107.1,70.2,102.4,66.5,25.0,31.4,0.0,30.8,5.06,32.1,0.081,76.2,0.8,56.8
147,Liordanys Menendez,LAA,18.0,18.554,89.6,48,0.73,39.4,54.3,64.5,51.0,52.4,42.4,38.9,47.4,44.3,44.9,38.0,49.2,48.3,37.5,19.1,14.2,13.0,44.2,66.9,-20.8,79.7,37.398,24.2,73.469,37.2,37.5,19.2,103.3,39.6,101.0,51.0,36.4,57.5,0.0,30.8,1.501,2.2,0.018,28.1,0.333,13.9
148,Yoelvis Betancourt,ATL,18.0,18.264,95.2,115,0.49,19.0,54.3,64.5,44.5,43.7,35.6,30.4,64.3,78.9,50.0,47.9,54.4,59.1,39.0,22.0,8.2,7.7,24.4,59.8,-33.9,50.4,41.972,11.4,96.667,99.5,23.563,79.5,100.0,19.8,98.6,31.3,24.6,29.1,0.9,75.6,3.187,11.1,0.0,6.3,0.0,6.3
149,TJ Ford,LAA,20.0,20.452,29.7,205,1.35,88.2,54.3,64.5,73.5,82.2,58.1,61.4,31.6,13.3,44.8,37.7,52.6,55.8,65.9,84.2,92.6,99.8,58.9,44.3,-18.0,83.8,29.84,60.9,73.196,35.3,26.552,66.7,106.9,68.2,100.2,44.9,23.9,27.8,0.5,64.4,9.681,98.8,0.156,95.7,0.914,78.5
150,Reyli Mariano,LAD,19.0,19.786,46.0,160,1.15,76.1,54.2,64.0,68.4,74.5,35.7,30.7,50.7,53.1,43.2,35.6,59.6,68.4,69.9,89.3,90.7,97.6,34.9,40.4,-26.2,67.8,29.34,62.3,80.851,69.9,23.664,79.2,101.4,27.1,100.4,46.7,25.0,31.4,0.0,30.8,9.69,99.0,0.106,87.4,0.944,82.2
151,Malvin Fernandez,ATL,17.0,17.993,99.3,129,0.63,31.9,54.1,63.8,34.2,27.1,39.9,35.3,41.0,30.2,40.4,30.1,37.6,23.4,40.4,24.9,46.0,41.4,33.0,66.2,-35.7,46.6,44.712,6.0,79.592,64.4,31.489,45.7,102.9,37.6,97.9,26.1,17.6,17.6,0.8,72.0,6.833,58.2,0.023,32.4,0.75,45.4
152,Francisco Vilorio,NYY,19.0,19.806,44.7,117,0.54,23.7,54.0,63.4,16.6,7.2,91.6,95.9,64.2,78.5,77.9,96.1,40.4,29.8,47.4,44.0,61.3,62.8,96.0,70.4,-60.7,5.8,35.395,31.9,77.419,55.7,37.179,20.8,113.3,97.8,106.3,93.4,41.7,72.6,0.9,75.6,6.375,50.2,0.06,66.2,0.875,72.3
153,Adolfo Sanchez,CIN,19.0,19.921,39.6,224,0.96,60.7,54.0,63.4,31.5,22.8,94.3,97.6,57.6,67.1,76.0,93.2,44.6,38.3,43.0,31.6,39.8,32.7,97.6,68.6,-42.9,31.2,35.516,30.9,73.333,36.1,34.262,33.1,114.8,99.0,107.4,95.4,46.7,79.0,1.3,82.9,6.677,55.1,0.022,31.4,0.625,27.1
154,Darell Morel,PIT,18.0,18.932,79.0,161,0.55,25.2,53.9,63.0,26.1,16.4,60.7,63.8,40.1,28.5,50.4,48.6,33.1,19.1,43.6,33.8,64.5,70.4,57.3,68.2,-42.2,33.3,38.33,20.3,72.917,34.3,37.847,16.9,104.6,50.7,102.5,67.1,32.5,45.9,0.6,67.8,7.748,74.2,0.05,58.9,0.8,56.8
155,Feldi Tavarez,WSN,19.0,19.669,52.2,82,0.5,19.7,53.8,62.7,51.6,53.1,40.5,36.0,91.4,99.8,66.0,79.1,71.5,90.9,61.1,75.8,40.4,33.9,41.0,46.6,-41.5,35.4,27.473,73.9,84.091,84.8,28.571,58.6,102.3,33.5,101.1,52.3,75.0,97.9,0.0,30.8,4.978,30.9,0.037,47.6,0.75,45.4
156,Johan Fernandez,ARI,19.0,19.45,59.9,58,0.69,36.0,53.8,62.7,43.7,42.1,79.8,84.9,50.3,51.1,65.0,76.6,47.0,43.5,32.7,10.6,4.1,0.7,91.5,75.7,-39.7,39.9,27.407,75.1,62.903,5.2,42.424,6.3,109.9,89.4,107.0,94.7,66.7,95.4,0.0,30.8,0.877,0.7,0.0,6.3,0.0,6.3
157,Royelny Strop,STL,18.0,18.212,96.5,181,0.78,43.4,53.7,62.2,49.1,49.0,26.4,22.9,31.8,13.9,29.1,15.8,40.4,29.8,46.7,41.2,59.1,58.0,24.6,60.6,-32.6,54.2,29.858,60.6,70.213,20.5,37.5,19.2,100.4,22.0,98.1,28.5,31.2,43.2,0.0,30.8,7.185,63.3,0.061,67.1,0.733,41.2
158,Santiago Vargas,SDP,18.0,18.932,79.0,176,0.9,55.0,53.7,62.2,37.4,32.7,46.8,46.4,50.1,49.9,48.4,45.0,43.8,35.3,47.2,42.9,54.2,51.0,50.8,64.9,-36.4,44.8,38.352,20.0,73.446,36.7,31.511,45.2,104.6,50.7,101.0,51.0,38.9,63.5,0.0,30.8,7.462,69.1,0.034,43.5,0.75,45.4
159,Juan Rujano,STL,18.0,18.686,86.0,77,0.49,19.0,53.6,61.7,30.3,21.5,48.3,49.3,79.6,94.3,64.0,73.7,55.0,60.7,38.4,19.9,5.2,2.9,50.6,68.3,-48.1,21.6,32.68,46.6,79.817,65.8,35.333,27.5,103.6,42.0,102.1,63.4,60.0,93.4,0.0,30.8,2.018,3.6,0.0,6.3,0.0,6.3
160,Jared Davis,ATH,22.0,22.404,5.6,170,0.8,44.9,53.6,61.7,73.6,82.7,66.5,70.8,67.6,83.2,67.0,81.0,70.6,89.5,70.5,91.1,70.2,78.5,73.5,39.6,-25.9,69.1,20.723,94.9,74.172,41.3,29.958,53.1,106.6,65.6,105.0,85.3,61.5,94.0,0.0,30.8,7.981,78.3,0.059,65.6,0.833,63.5
161,Evan Estevez,SFG,18.0,19.02,74.9,221,0.48,18.2,53.5,61.4,32.0,23.2,57.5,60.7,59.8,72.1,58.6,62.9,45.9,40.5,41.9,29.2,33.9,25.5,52.9,63.9,-62.9,4.3,23.14,90.1,70.07,20.3,38.718,14.3,103.5,41.3,102.8,70.2,100.0,99.4,0.5,64.4,6.328,49.0,0.014,22.5,0.6,25.6
162,Josmir Reyes,NYM,19.0,19.915,39.9,153,0.76,41.7,53.4,61.0,88.4,98.1,34.8,29.5,66.9,82.2,50.8,49.0,77.6,94.6,60.5,75.0,26.3,20.8,35.8,37.8,-4.6,96.7,28.15,68.4,90.184,96.4,14.815,97.8,102.7,35.6,99.2,36.0,27.8,37.4,0.0,30.8,3.55,13.3,0.026,36.5,0.667,32.7
163,J.P. Cabrera,STL,19.0,19.775,48.3,136,0.93,57.5,53.4,61.0,55.2,56.8,48.0,48.4,73.2,88.4,60.6,67.1,64.2,78.4,58.0,70.9,45.6,41.1,50.4,49.3,-28.7,62.3,32.432,48.6,76.821,52.2,31.169,47.6,103.7,42.8,102.0,61.7,62.5,94.3,0.0,30.8,4.919,29.3,0.022,31.4,1.0,91.7
164,Judah Morris,ATH,24.0,24.181,1.0,156,0.88,53.0,53.3,60.3,75.4,85.0,85.5,91.3,58.6,69.3,72.0,88.6,67.0,83.3,58.0,70.9,40.1,33.3,90.3,45.6,-19.9,80.9,25.936,79.2,77.124,53.7,29.6,56.0,110.7,92.0,105.2,87.8,38.9,63.5,0.6,67.8,4.963,30.7,0.006,13.9,1.0,91.7
165,Diego Contreras,SEA,18.0,18.888,81.2,191,1.1,71.7,53.3,60.3,73.4,81.9,6.7,0.7,45.8,39.1,26.2,11.1,59.6,68.4,60.0,74.0,60.8,62.1,0.7,41.0,-28.3,63.3,25.698,80.2,84.951,87.4,21.212,88.2,72.9,0.7,72.9,0.7,0.0,4.3,0.0,30.8,6.671,54.8,0.047,56.3,0.9,76.6
166,Angel Garcia,BAL,19.0,19.77,49.2,71,0.52,21.5,53.3,60.3,23.7,13.2,88.7,93.8,56.4,64.9,72.6,89.6,40.0,28.5,41.5,28.4,44.4,38.6,86.7,68.0,-40.8,37.2,58.261,0.2,72.727,32.6,35.915,25.4,108.9,84.1,105.9,90.6,47.8,80.2,2.8,94.1,5.237,34.1,0.014,22.5,1.0,91.7
167,Brayden Corn,SEA,22.0,23.031,3.6,141,0.87,52.4,53.3,60.3,55.8,58.2,85.8,91.5,59.8,72.1,72.8,90.1,57.8,64.9,65.2,83.3,79.9,87.1,82.6,43.1,-37.6,43.0,16.013,99.3,70.345,21.7,36.41,22.7,107.5,73.9,107.5,95.7,75.0,97.9,2.1,89.9,8.362,84.8,0.078,74.6,0.917,79.3
168,Eriel Dihigo,COL,19.0,19.778,47.7,140,1.18,78.1,53.1,59.5,82.4,92.6,32.9,27.2,51.4,54.3,42.2,34.3,66.9,82.9,59.9,73.7,46.0,41.4,33.6,40.7,-22.1,77.5,22.667,90.6,82.099,76.1,23.043,82.4,102.4,34.2,98.8,32.7,23.1,26.8,0.0,30.8,5.994,44.4,0.007,15.1,1.0,91.7
169,Jordan Rich,CHW,19.0,19.176,70.3,101,0.75,40.7,53.1,59.5,80.6,90.0,15.8,11.7,34.2,16.9,25.0,10.0,57.4,63.9,59.4,72.7,63.3,67.9,11.8,41.0,-19.8,81.2,26.291,77.1,75.789,47.3,22.667,84.1,96.2,10.9,94.2,13.2,20.0,21.0,0.0,30.8,6.556,52.7,0.099,85.0,0.769,50.0
170,Jhonayker Ugarte,KCR,19.0,19.444,60.1,174,0.84,49.2,52.7,59.2,57.2,59.7,44.9,43.4,62.2,75.8,53.6,53.7,59.7,68.8,49.1,47.9,28.0,22.2,38.3,49.2,-29.9,58.7,33.152,44.9,82.911,81.6,25.357,72.0,102.5,34.9,100.0,43.4,31.0,42.8,0.6,67.8,5.252,34.8,0.017,26.1,0.5,19.6
171,Fernando Cruz,CHC,19.0,19.77,49.2,222,0.94,58.5,52.5,58.5,12.1,3.7,98.5,99.8,46.8,42.3,72.6,89.6,29.4,12.9,38.1,19.4,55.3,52.2,98.1,73.6,-59.5,7.0,38.971,18.1,69.403,18.1,38.346,15.7,113.0,97.3,109.5,99.3,42.9,75.4,5.0,99.4,7.435,68.6,0.041,52.4,0.692,38.0
172,Landon Arroyos,HOU,19.0,19.326,65.0,173,0.9,55.0,52.5,58.5,71.4,78.7,13.8,8.9,44.4,37.0,29.1,15.8,57.9,65.2,66.2,84.8,82.9,90.2,9.4,37.2,-34.1,49.5,21.065,94.0,84.0,84.5,19.028,92.3,94.9,8.5,93.2,10.7,0.0,4.3,0.0,30.8,7.5,70.4,0.179,97.1,0.969,83.1
173,Kenni Gomez,HOU,21.0,21.27,11.8,69,1.15,76.1,52.5,58.5,44.0,42.6,77.0,82.1,67.4,82.9,72.2,89.1,55.7,61.6,67.9,86.7,92.2,98.8,72.2,42.0,-44.9,27.3,25.806,79.7,73.276,35.5,34.507,32.1,106.0,59.8,106.0,90.9,100.0,99.4,1.4,83.8,9.746,99.5,0.145,94.2,0.909,77.7
174,Francisco Loreto,PIT,19.0,19.168,70.5,107,0.96,60.7,52.5,58.5,9.5,1.7,74.1,79.5,44.1,36.1,59.1,63.6,26.8,8.3,42.4,30.7,73.6,81.6,67.5,69.0,-56.1,10.3,43.269,7.7,60.294,3.4,40.686,10.4,106.2,61.2,103.6,76.9,50.0,84.8,2.8,94.1,8.377,85.0,0.037,47.6,1.0,91.7
175,Frank Mieses,CHW,18.0,18.53,90.3,66,0.08,1.9,52.5,58.5,26.5,16.9,44.6,42.1,52.0,55.8,48.3,44.7,39.2,27.5,40.7,25.7,43.6,37.8,45.0,67.6,-78.8,0.2,23.611,87.4,62.5,4.6,50.82,0.7,102.1,32.7,102.1,63.4,100.0,99.4,0.0,30.8,5.335,35.5,0.061,67.1,0.571,23.8
176,Santiago Camacho,SFG,19.0,19.565,57.0,103,0.89,53.6,52.4,57.6,73.5,82.2,42.3,38.4,52.9,57.0,47.6,43.0,63.2,76.2,46.4,40.5,12.7,11.6,47.9,52.4,-29.1,61.5,24.02,86.7,85.366,89.6,22.674,83.8,105.9,58.7,98.7,31.6,16.7,16.2,0.0,30.8,4.364,22.2,0.0,6.3,0.0,6.3
177,Ben Wilmes,COL,23.0,23.737,1.9,99,1.54,93.7,52.4,57.6,81.6,91.1,63.9,67.6,64.7,79.7,64.3,74.8,73.2,91.8,68.3,87.0,58.7,57.5,75.3,38.6,-21.2,79.3,24.576,84.3,81.818,73.6,22.963,83.3,109.6,87.8,101.5,56.6,35.7,55.8,0.0,30.8,6.05,44.9,0.04,51.0,1.0,91.7
178,Steven Cruz,CLE,19.0,19.702,51.9,160,1.05,67.6,52.2,57.1,79.7,89.1,22.3,18.2,48.6,46.9,35.4,22.8,64.2,78.4,64.3,81.9,64.5,70.4,20.3,36.1,-21.2,79.3,20.051,96.1,78.986,61.1,29.302,56.3,100.2,20.8,96.6,19.6,27.3,36.1,0.0,30.8,6.059,45.2,0.2,98.6,0.762,47.7
179,Adriander Mejía,BAL,19.0,19.978,37.4,114,1.19,79.2,52.2,57.1,39.3,35.5,69.3,74.4,76.0,90.3,72.6,89.6,57.6,64.4,52.9,57.0,43.3,37.3,63.3,50.3,-36.8,44.0,53.736,0.7,87.5,93.8,22.467,85.3,106.8,66.9,101.6,57.9,36.5,58.2,3.5,97.0,4.672,26.3,0.018,28.1,1.0,91.7
180,Leonel Vivas,CHC,19.0,19.578,55.8,151,0.46,15.8,52.0,56.8,32.7,24.4,75.3,81.2,39.2,26.3,57.2,60.4,36.0,22.0,41.3,27.3,51.9,48.1,72.4,64.1,-46.4,24.9,30.658,56.3,63.725,5.8,37.849,16.7,106.9,68.2,104.0,78.6,41.7,72.6,1.3,82.9,6.704,55.6,0.053,61.5,0.667,32.7
181,Junior Aybar,BAL,19.0,20.104,35.3,65,1.97,99.3,51.8,56.5,51.4,52.9,56.1,58.7,51.4,54.3,53.8,54.3,51.4,52.2,62.1,77.7,83.6,91.5,61.3,48.3,-23.1,74.8,49.789,1.9,70.732,23.9,26.429,67.4,105.5,56.9,102.6,67.9,46.7,79.0,0.0,30.8,7.5,70.4,0.262,99.8,0.944,82.2
182,Kelvin Alcantara,SEA,20.0,20.931,16.9,218,1.19,79.2,51.7,56.0,83.1,93.5,63.5,67.3,68.6,84.8,66.0,79.1,75.8,93.0,52.4,55.2,5.4,3.1,69.6,43.2,-17.0,86.2,25.814,79.5,81.961,74.9,23.224,80.9,106.2,61.2,104.5,82.1,38.5,62.3,0.0,30.8,2.149,4.1,0.0,6.3,0.0,6.3
183,Alfonzo Martinez,TBR,20.0,20.728,22.6,119,0.53,22.7,51.7,56.0,53.2,55.0,73.6,79.0,74.4,89.1,74.0,91.3,63.8,77.3,53.2,59.1,32.0,24.2,73.1,47.8,-22.7,75.7,44.828,5.2,93.333,99.0,26.108,68.8,108.9,84.1,101.5,56.6,33.3,49.9,1.7,86.8,4.288,21.5,0.034,43.5,0.667,32.7
184,Mason Neville,CIN,22.0,22.604,4.8,71,1.94,99.0,51.7,56.0,61.7,67.1,96.8,98.8,50.6,52.5,73.7,91.1,56.2,62.3,48.3,46.7,32.6,24.6,95.7,50.2,-29.6,59.4,23.35,89.1,65.455,8.7,35.644,26.6,110.8,93.1,110.5,99.5,58.3,92.4,4.2,98.6,4.712,26.6,0.028,39.3,0.667,32.7
185,Nick Becker,SEA,19.0,19.713,51.2,237,1.0,64.4,51.6,55.4,40.1,36.6,62.4,65.7,26.3,11.1,44.4,37.2,33.2,19.3,53.1,58.6,92.8,100.0,64.7,58.0,-49.8,18.4,20.424,95.2,67.886,14.0,39.773,11.8,107.5,73.9,101.0,51.0,28.6,38.6,0.4,62.1,9.921,99.8,0.135,93.1,0.941,81.2
186,Juan Elejandro,ATL,18.0,18.533,90.1,125,0.47,17.4,51.6,55.4,36.5,31.2,49.3,50.7,47.8,45.3,48.6,45.5,42.2,33.0,29.6,7.5,4.4,1.6,41.0,65.6,-31.2,56.0,54.915,0.5,82.353,77.5,31.984,41.8,104.0,44.8,99.1,35.3,18.5,18.1,1.6,86.1,1.356,1.6,0.0,6.3,0.0,6.3
187,Carlos Matias,TBR,19.0,19.778,47.7,81,0.71,37.8,51.4,55.0,38.4,34.4,58.5,62.1,59.9,72.6,59.2,64.0,49.2,48.3,53.8,60.7,63.0,67.3,53.0,50.4,-34.6,48.6,42.363,10.1,83.333,83.0,29.67,55.1,104.9,53.4,101.1,52.3,27.5,36.8,1.2,81.0,6.534,52.4,0.064,68.6,0.875,72.3
188,Kyle Sinzza,ARI,19.0,19.362,62.6,98,0.54,23.7,51.4,55.0,67.7,73.9,21.4,16.8,57.2,66.5,39.3,29.0,62.4,75.1,57.8,70.2,48.6,44.2,18.9,40.8,-23.5,73.6,31.156,53.4,83.333,83.0,24.828,74.6,99.5,17.9,96.8,20.3,25.0,31.4,0.0,30.8,5.691,40.1,0.041,52.4,0.8,56.8
189,Edgar Walker,PIT,18.0,18.842,82.1,117,0.46,15.8,51.3,54.5,41.9,39.0,56.8,60.3,19.5,6.0,38.2,27.1,30.7,15.2,31.0,8.9,31.5,23.7,51.8,66.9,-28.2,63.5,41.231,13.3,62.903,5.2,34.715,30.9,104.6,50.7,101.2,53.4,25.6,33.7,0.9,75.6,4.021,18.4,0.026,36.5,0.75,45.4
190,Victor Hurtado,WSN,19.0,19.244,67.6,105,1.13,74.3,51.3,54.5,80.6,90.0,11.9,6.3,42.6,33.0,27.2,13.2,61.6,73.6,57.4,69.1,49.0,44.7,7.6,37.6,-20.0,80.7,20.0,96.4,77.124,53.7,29.101,56.8,95.6,9.2,90.0,5.1,25.0,31.4,0.0,30.8,5.591,37.7,0.076,73.6,0.667,32.7
191,Cristian Perez,DET,19.0,20.016,36.5,175,1.3,85.5,51.2,53.9,40.9,37.4,74.9,80.6,47.8,45.3,61.4,69.6,44.3,37.4,49.4,48.3,59.5,58.9,74.0,55.2,-39.4,40.1,30.303,58.7,66.063,10.9,38.006,16.2,106.4,63.6,105.7,89.7,50.0,84.8,0.6,67.8,7.178,63.0,0.023,32.4,1.0,91.7
