Combined_Rank,Name,Team,Level,Age,PA,BW_Rank,BA_Rank,PIPE_Rank,BA_Org_Rank,PIPE_Org_Rank,Score,Score_Rank,Skill_Score,MLB_Proj_Score,PPPA_Score,Age_Score,Combined_Score,PlayerId
49,Josuar Gonzalez,SF,A,18.0,443,37.0,30.0,44.0,2,2,63.89,30,63.22,71.68,70.26,61.07,66.22,829034
49,Miguel Welch,BOS,R,18.0,387,,,,,,58.5,271,66.3,72.02,67.27,53.53,66.22,829924
51,Sebastian Dos Santos,STL,A,18.0,479,,,,,,61.95,66,67.57,68.59,61.17,65.01,66.18,829741
52,Cristofer Torin,AZ,AA,21.0,2027,,,,10,15,59.01,222,62.21,79.9,57.53,70.48,66.11,800198
53,Luis Morejon,COL,R,18.0,423,,,,,,58.22,296,64.26,77.32,65.45,53.53,66.07,830435
54,Justin Gonzales,BOS,A+,19.0,1020,28.0,,,7,6,60.7,120,65.17,74.67,57.53,68.21,66.05,821100
55,Jose Astudillo,SF,AA,22.0,714,,,,,,56.39,515,63.34,81.1,67.65,46.11,66.03,698973
56,Eli Willits,WSH,A+,18.0,521,29.0,31.0,13.0,1,1,63.55,34,59.29,82.43,63.33,66.06,65.95,816113
57,José Mejía,AZ,A+,20.0,798,257.0,,,,,58.78,242,65.9,72.64,59.3,64.87,65.88,808090
58,Jackson Lovich,NYY,A+,22.0,469,,,,,,55.59,670,75.04,60.5,64.34,43.03,65.84,804944
59,Luis Escudero,NYY,A,20.0,675,,,,,,60.39,134,63.41,76.55,66.7,54.27,65.82,806884
59,Ramiro Dominguez,MIN,A,19.0,711,,,,,,59.08,219,65.4,76.52,57.63,61.96,65.82,823719
61,Joshua Kuroda-Grauer,OAK,AAA,23.0,1040,158.0,,,8,10,56.48,504,64.22,77.53,61.96,57.14,65.8,811965
62,Angel Genao,CLE,AAA,22.0,2000,86.0,67.0,66.0,,,59.91,166,62.06,75.27,61.53,69.28,65.64,694197
63,Hendry Mendez,MIN,AAA,22.0,2084,,,,14,12,59.72,176,62.81,77.62,56.97,69.28,65.59,694230
64,Eliomar Garces,TB,R,18.0,429,,,,,,57.93,329,63.96,74.99,66.1,53.53,65.49,829055
65,Angel Abreu,CLE,R,17.0,421,,,,,,63.47,35,64.8,72.92,62.1,60.79,65.48,834685
65,Owen Carey,ATL,AA,19.0,834,238.0,,,29,19,59.63,183,62.74,75.56,56.96,72.61,65.48,826928
67,Ethan Salas,SD,AAA,20.0,633,48.0,90.0,,1,2,61.8,73,59.23,83.15,54.38,76.41,65.47,806956
68,Marco Argudin,TEX,A,20.0,484,,,,,,55.84,615,67.72,71.62,61.29,52.6,65.4,831918
69,Lisbel Diaz,SF,AA,20.0,1408,,,,,30,61.68,82,62.21,74.4,61.45,68.16,65.35,815464
70,Luis Cova,MIA,A,19.0,743,244.0,,,12,17,59.93,165,66.36,65.05,65.15,61.96,65.2,815909
71,Darwin Almanzar,MIN,R,18.0,342,,,,,,59.11,218,67.38,69.49,59.45,58.79,65.11,829714
72,Adrian Pinto,TOR,AA,23.0,941,,,,,29,60.55,129,64.29,74.87,66.7,47.87,65.03,691437
73,Dax Kilby,NYY,A,19.0,196,60.0,61.0,94.0,3,4,63.13,42,65.55,61.66,69.83,61.96,65.0,828076
74,Josh Springer,TEX,A,20.0,363,,,,,,57.01,432,66.93,76.48,55.79,52.6,64.96,807256
75,Sebastian Walcott,TEX,AA,20.0,1331,18.0,16.0,7.0,1,1,63.11,43,59.11,78.81,56.66,76.41,64.86,806964
76,Henry Godbout,BOS,AA,22.0,268,176.0,,,10,11,52.53,1310,69.26,73.37,53.78,51.86,64.85,804995
77,Jhorman Bravo,BOS,R,18.0,323,,,,,,60.88,115,67.51,66.6,60.93,58.79,64.81,829939
78,Nelson Rada,LAA,AAA,20.0,1813,203.0,,,4,3,60.82,116,60.15,76.92,53.54,79.47,64.64,703185
79,Gabriel Davalillo,LAA,A,18.0,573,,,,5,6,56.95,441,71.8,64.48,48.53,64.85,64.52,829058
80,Josmir Reyes,NYM,R,19.0,343,,,,,,53.26,1140,68.65,68.98,58.1,52.23,64.48,821145
81,Yairo Padilla,STL,A,19.0,451,242.0,,,12,16,61.45,90,59.75,76.37,64.61,61.96,64.47,821107
82,Edwin Arroyo,CIN,AAA,22.0,1990,136.0,,,7,8,61.76,75,58.31,77.94,61.58,69.28,64.4,695490
83,Emil Morales,LAD,A+,19.0,1099,26.0,,92.0,9,5,62.02,64,60.55,70.33,64.65,69.11,64.36,815896
84,Eduardo Tait,MIN,A+,19.0,1324,100.0,,65.0,5,3,60.19,147,62.62,73.85,55.51,69.11,64.24,806953
