Combined_Rank,Pos_Adj_Rank,PlayerId,Name,Pos,FantasyPos,Team,Level,Age,Last_Season,Career_PA,Total_Weighted_PA,TOOLS_Score,ABILITY_Score,Current_Score,OVR_Score,Archetype,Archetype_Adj,Combined_Score,Pos_Bonus,Pos_Adj_Score,Discipline_Flag,Career_Disc_Flag,Disc_Composite_Z,Disc_Slope,Career_K%,Career_HRFB,Career_SBTalent,Hard_Floor_Flag,Below_OVR_Floor,Age_AA_Debut,AA_PPPAZ_Combo,AgeAA_Combo_Bonus,AgeAA_Combo_Flag_Label
22,18,802506,Dylan O'Rae,SS,SS,MIL,AA,22.0,2026,1319,565.3,80.17,79.45,79.81,72.86,Speed,0.0,76.34,3.0,79.34,,,0.9231,-0.0082,0.17714935557240333,0.023253980288097043,0.10944852160727823,,False,20.0,-0.29,0.0,
23,19,805795,Aidan Miller,SS,SS,PHI,AAA,21.0,2025,1068,481.79,65.07,92.72,78.9,73.01,Speed,0.0,75.96,3.0,78.96,,,0.1059,-0.0264,0.22450048496605238,0.10086032977691561,0.061359650824442294,,False,20.0,0.9772407045009786,0.0,
23,19,815352,Caleb Bonemer,SS,SS,CWS,AA,20.0,2026,1045,380.53,74.55,83.92,79.24,72.68,Contact/Power,0.0,75.96,3.0,78.96,soft,,0.0086,-0.1145,0.2376937799043062,0.16074066985645935,0.034415693779904305,,False,20.0,0.78,0.0,
25,25,701373,Isaiah Barkett,2B,2B,SF,A+,22.0,2026,383,92.71,69.53,82.83,76.18,71.45,Pure Contact,2.0,75.82,1.5,77.32,,,1.8889,,0.08,0.06438642297650131,0.035143603133159264,,False,,,0.0,
26,23,828098,JoJo Parker,SS,SS,TOR,A+,19.0,2026,496,124.75,85.81,69.94,77.88,71.89,Contact/Power,0.0,74.88,3.0,77.88,,,-0.092,,0.25,0.18341129032258066,0.04790120967741936,,False,,,0.0,
26,48,825761,Ryan Cesarini,OF,OF,CLE,AA,23.0,2026,782,265.54,69.95,75.34,72.65,73.11,Pure Contact,2.0,74.88,-2.0,72.88,,,0.9225,-0.068,0.15653784219001612,0.10465728900255754,0.07125959079283886,,False,23.0,2.64,0.0,
28,58,701527,Mike Sirota,CF,OF,LAD,AA,23.0,2026,752,323.78,82.33,70.65,76.49,71.97,Contact/Power,0.0,74.23,-2.0,72.23,,,0.4956,0.0127,0.22211436170212767,0.22709175531914894,0.019429787234042553,,False,23.0,0.51,0.0,
29,26,800473,Jefferson Rojas,SS,SS,NYM,AA,21.0,2026,1877,734.6,60.33,90.04,75.18,69.26,Pure Contact,2.0,74.22,3.0,77.22,,,0.604,-0.0065,0.16619605753862549,0.0977437400106553,0.036652850293020775,,False,20.0,-0.42,0.0,
30,59,825570,Yensi De La Cruz,OF,OF,HOU,R,19.0,2026,418,41.8,84.77,67.73,76.25,72.08,,0.0,74.16,-2.0,72.16,,,1.3427,0.215,0.15114832535885167,0.076,0.11850287081339712,,False,,,0.0,
31,62,804446,Eddie Micheletti Jr.,RF,OF,LAA,AA,24.0,2026,1050,471.1,76.6,72.2,74.4,69.5,Pure Contact,2.0,73.95,-2.0,71.95,,,0.9878,-0.0546,0.1603047619047619,0.1212247619047619,0.008690476190476191,,False,24.0,0.43,0.0,
32,29,800305,Jesús  Báez,SS,SS,STL,AA,21.0,2026,1613,482.59,62.63,89.29,75.96,71.39,Contact/Power,0.0,73.68,3.0,76.68,,,0.2746,-0.0156,0.18858028518288902,0.14878487290762554,0.017233973961562305,,False,21.0,2.12,0.0,
33,67,803142,Tommy Hawke,OF,OF,CLE,A+,23.0,2026,1115,301.68,77.05,76.8,76.92,70.16,Speed,0.0,73.54,-2.0,71.54,,,0.8595,0.0302,0.1848071748878924,0.017204484304932734,0.11343121076233184,,False,,,0.0,
34,30,829055,Eliomar Garces,SS,SS,TB,R,18.0,2026,429,42.9,83.05,67.62,75.34,71.68,,0.0,73.51,3.0,76.51,,,2.3965,0.19,0.09687645687645688,0.033265734265734266,0.08352564102564103,,False,,,0.0,
35,21,694876,Cooper Ingle,C,C,CLE,AAA,24.0,2026,1410,955.7,65.26,81.84,73.55,69.38,Pure Contact,2.0,73.46,5.0,78.46,,,1.2915,-0.084,0.15104545454545457,0.10846022727272726,0.008617499999999998,,False,22.0,0.95,0.0,
