year,source,team_id,rank,mlb_rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
2026,PIPE,2,5,,Demetrio Crisantes,SS,6-0,178,R,R,2004-09-05,"Tucson,AZ",AAA,,2023-2026,2022-  7- 198-ARI,Minors,,
2026,PIPE,2,6,,JD Dix,SS,6-2,180,B,R,2005-10-12,"Chicago,IL",A+,,2025-2026,2024-  1-  35-ARI,Minors,,
2026,PIPE,2,7,,Daniel Eagen,P,6-4,205,R,R,2002-11-23,"Fuquay-Varina,NC",AA,,2022-2026,2024-  3- 102-ARI,Minors,,
2026,PIPE,2,8,,David Hagaman,P,6-4,215,R,R,2003-04-16,"Somers Point,NJ",AA,,2023-2026,2024-  4- 133-TEX,Minors,,
2026,PIPE,2,9,,Patrick Forbes,P,6-3,220,R,R,2004-07-11,"Bowling Green,KY",A+,,2023-2026,2025-  1-  29-ARI,Minors,,
2026,PIPE,2,10,,LuJames Groover,3B-2B,6-2,212,R,R,2002-04-16,"East Point,GA",MLB,2026-2026,2021-2026,2023-  2-  48-ARI,Minors,,
2026,PIPE,2,11,,Cristian Mena,P,6-2,170,R,R,2002-12-21,"San Francisco de Macoris,DR",MLB,2024-2025,2021-2025,2019-  UDFA  -CHA,IL-60,,
2026,PIPE,2,12,,Kohl Drake,P,6-5,220,L,L,2000-07-17,"Orem,UT",MLB,2026-2026,2022-2026,2022- 11- 319-TEX,Minors,,
2026,PIPE,2,13,,Jansel Luis,2B-SS,6-0,170,B,R,2005-03-06,"San Pedro de Macoris,DR",AA,,2022-2026,2022-  UDFA  -ARI,Minors,,
2026,PIPE,2,14,,Mitch Bratt,P,6-1,190,L,L,2003-07-03,"Newmarket,ON",MLB,2026-2026,2021-2026,2021-  5- 134-TEX,Active,,
2026,PIPE,2,15,,Cristofer Torin,SS,5-10,155,R,R,2005-05-26,"Acarigua,VZ",AA,,2022-2026,2022-  UDFA  -ARI,Minors,,
2026,PIPE,2,16,,Druw Jones,OF,6-4,180,R,R,2003-11-28,"Atlanta,GA",AA,,2023-2026,2022-  1-   2-ARI,Minors,,
2026,PIPE,2,17,,Carlos Virahonda,C,5-11,180,R,R,2005-12-13,"Caucagua,VZ",A+,,2023-2026,2023-  UDFA  -ARI,Minors,,
2026,PIPE,2,18,,Ashton Izzi,P,6-3,165,R,R,2003-11-18,"Omaha,NE",AAA,,2023-2026,2022-  4- 126-SEA,Minors,,
2026,PIPE,2,19,,Dean Livingston,P,6-4,205,R,R,2006-09-07,"Suwanee,GA",A,,2026-2026,2025-  4- 123-ARI,Minors,,
2026,PIPE,2,20,,Brandyn Garcia,P,6-4,235,L,L,2000-05-27,"Newport,RI",MLB,2025-2026,2020-2026,2023- 11- 337-SEA,Active,,
2026,PIPE,2,21,,Yassel Soler,3B,5-11,185,R,R,2006-01-26,"Santo Domingo,DR",A+,,2023-2026,2023-  UDFA  -ARI,Minors,,
2026,PIPE,2,22,,Brian Curley,P,5-10,212,R,R,2003-06-01,"Midlothian,VA",AA,,2023-2026,2025-  3-  92-ARI,Minors,,
2026,PIPE,2,23,,Yilber Diaz,P,6-0,190,R,R,2000-08-19,"Guatire,VZ",MLB,2024-2026,2021-2026,2021-  UDFA  -ARI,Active,,
2026,PIPE,2,24,,Wellington Aracena,P,6-3,180,R,R,2004-12-27,"Mao,DR",A+,,2022-2026,2022-  UDFA  -NYN,Minors,,
2026,PIPE,2,25,,Daury Vasquez,P,6-2,170,R,R,2006-04-17,"Santo Domingo,DR",A,,2023-2026,2023-  UDFA  -ARI,Minors,,
2026,PIPE,2,26,,Ivan Luciano,C,5-10,185,L,R,2006-11-24,"Mayaguez,PR",A,,2025-2026,2024-  2-  64-ARI,Minors,,
2026,PIPE,2,27,,Jose Fernandez,3B-SS,6-3,165,R,R,2003-09-22,"Cumana,VZ",MLB,2026-2026,2021-2026,2021-  UDFA  -ARI,Minors,,
2026,PIPE,2,28,,Mason Marriott,P,6-0,198,L,R,2002-08-14,"Tomball,TX",A+,,2022-2026,2024-  6- 194-ARI,Minors,,
2026,PIPE,2,29,,Avery Owusu-Asiedu,CF,6-4,230,R,R,2003-06-16,"Saskatoon,SK",A+,,2021-2026,2023-  9- 283-PHI,Minors,,
2026,PIPE,2,30,,Gavin Conticello,1B-3B,6-3,195,L,R,2003-06-11,"Coconut Creek,FL",AAA,,2021-2026,2021-  8- 228-ARI,Minors,,
2026,BA,3,1,53,Cam Caminiti,P,6-2,195,L,L,2006-08-08,"Scottsdale,AZ",AA,,2024-2026,2024-  1-  24-ATL,Minors,,
2026,BA,3,2,84,JR Ritchie,P,6-2,185,R,R,2003-06-26,"Seattle,WA",MLB,2026-2026,2022-2026,2022-  1-  35-ATL,Minors,,
2026,BA,3,3,,Didier Fuentes,P,6-0,170,R,R,2005-06-17,"Tolu,CB",MLB,2025-2026,2022-2026,2022-  UDFA  -ATL,Active,,
2026,BA,3,4,,Owen Murphy,P,6-1,190,R,R,2003-09-27,"Chicago,IL",MLB,2026-2026,2022-2026,2022-  1-  20-ATL,Minors,,
2026,BA,3,5,,Briggs McKenzie,P,6-2,190,L,L,2006-10-11,"Raleigh,NC",A+,,2026-2026,2025-  4- 127-ATL,IL-7,,
2026,BA,3,6,,Alex Lodise,IF,6-1,190,R,R,2004-03-10,"Jacksonville,FL",A+,,2023-2026,2025-  2-  60-ATL,Minors,,
2026,BA,3,7,,Lucas Braun,P,6-0,185,R,R,2001-08-26,"Santa Monica,CA",AAA,,2020-2026,2023-  6- 189-ATL,Minors,,
2026,BA,3,8,,Garrett Baumann,P,6-8,245,L,R,2004-08-15,"Oviedo,FL",AAA,,2023-2026,2023-  4- 126-ATL,Minors,,
2026,BA,3,9,,Luke Sinnard,P,6-8,250,R,R,2002-10-21,"Nashville,TN",A+,,2022-2026,2024-  3-  99-ATL,Minors,,
2026,BA,3,10,,Diego Tornes,OF,6-2,178,B,R,2008-07-03,"Havana,CU",Rk,,2025-2026,2025-  UDFA  -ATL,Minors,,
2026,BA,3,11,,Herick Hernandez,P,5-10,205,L,L,2003-08-11,"Hialeah,FL",AAA,,2023-2026,2024-  4- 129-ATL,Minors,,
2026,BA,3,12,,John Gil,SS,6-1,175,R,R,2006-05-14,"Santo Domingo,DR",AA,,2023-2026,2023-  UDFA  -ATL,Minors,,
2026,BA,3,13,,Tate Southisene,SS,5-11,180,R,R,2006-10-06,"Henderson,NV",AA,,2025-2026,2025-  1-  22-ATL,IL-7,,
2026,BA,3,14,,Blake Burkhalter,P,6-0,204,R,R,2000-09-19,"Tuscaloosa,AL",AAA,,2020-2026,2022-  2-  76-ATL,Minors,,
2026,BA,3,15,,Conor Essenburg,OF,6-2,200,R,L,2006-09-18,"Palos Heights,IL",A+,,2026-2026,2025-  5- 157-ATL,Minors,,
2026,BA,3,16,,Hayden Harris,P,6-0,186,L,L,1999-03-02,"Augusta,GA",MLB,2025-2025,2018-2026,2022-  UDFA  -ATL,Minors,,
2026,BA,3,17,,Rolddy Munoz,P,6-2,183,R,R,2000-04-14,"Santo Domingo,DR",MLB,2025-2026,2019-2026,2019-  UDFA  -ATL,Minors,,
2026,BA,3,18,,Landon Beidelschies,P,6-3,230,L,L,2004-03-28,"Canfield,OH",A,,2023-2026,2025-  6- 187-ATL,Minors,,
2026,BA,3,19,,Cody Miller,IF,5-11,189,R,R,2004-07-01,"Baton Rouge,LA",A+,,2023-2026,2025-  3-  96-ATL,Minors,,
2026,BA,3,20,,David McCabe,3B,6-3,230,B,R,2000-03-25,"Oshawa,ON",AAA,,2020-2026,2022-  4- 125-ATL,Minors,,
2026,BA,3,21,,Cedric De Grandpre,P,6-2,210,R,R,2002-01-25,"St. Simon de Bagot,QC",AAA,,2022-2026,2022- 13- 395-ATL,Minors,,
2026,BA,3,22,,Jhancarlos Lara,P,6-3,190,R,R,2003-01-15,"San Cristobal,DR",AAA,,2022-2026,,Minors,,
2026,BA,3,23,,Dixon Williams,2B-OF,6-2,210,L,R,2003-12-19,"Greenville,NC",A+,,2023-2026,2025-  4- 136-ATL,Minors,,
2026,BA,3,24,,Eric Hartman,OF,6-1,185,L,R,2006-06-16,"St. Albert,AB",AA,,2025-2026,2024- 20- 611-ATL,Minors,,
2026,BA,3,25,,Isaiah Drake,CF,6-0,180,L,R,2005-07-15,"Atlanta,GA",A+,,2023-2026,2023-  5- 162-ATL,IL-7,,
2026,BA,3,26,,Jim Jarvis,SS-3B,5-10,190,L,R,2000-11-06,"San Diego,CA",MLB,2026-2026,2020-2026,2023- 11- 320-DET,Active,,
2026,BA,3,27,,Patrick Clohisy,LF-RF,5-10,190,L,L,2001-12-06,"St. Louis,MO",AAA,,2022-2026,2024- 11- 341-ATL,Minors,,
2026,BA,3,28,,Blane Abeyta,P,6-3,220,R,R,1998-09-04,"Martinez,CA",AA,,2018-2026,2020-  UDFA  -NYA,Minors,,
2026,BA,3,29,,Owen Carey,OF,6-0,185,L,L,2006-07-22,"Manchester,NH",AA,,2025-2026,2024- 15- 461-ATL,Minors,,
2026,BA,3,30,,Brett Sears,P,6-0,205,R,R,2000-05-02,"Harlan,IA",AAA,,2020-2026,2024-  7- 221-ATL,Minors,,
2026,PIPE,3,1,68,Cam Caminiti,P,6-2,195,L,L,2006-08-08,"Scottsdale,AZ",AA,,2024-2026,2024-  1-  24-ATL,Minors,,
2026,PIPE,3,2,90,JR Ritchie,P,6-2,185,R,R,2003-06-26,"Seattle,WA",MLB,2026-2026,2022-2026,2022-  1-  35-ATL,Minors,,
2026,PIPE,3,3,,Didier Fuentes,P,6-0,170,R,R,2005-06-17,"Tolu,CB",MLB,2025-2026,2022-2026,2022-  UDFA  -ATL,Active,,
2026,PIPE,3,4,,Tate Southisene,SS,5-11,180,R,R,2006-10-06,"Henderson,NV",AA,,2025-2026,2025-  1-  22-ATL,IL-7,,
2026,PIPE,3,5,,Alex Lodise,IF,6-1,190,R,R,2004-03-10,"Jacksonville,FL",A+,,2023-2026,2025-  2-  60-ATL,Minors,,
2026,PIPE,3,6,,Owen Murphy,P,6-1,190,R,R,2003-09-27,"Chicago,IL",MLB,2026-2026,2022-2026,2022-  1-  20-ATL,Minors,,
2026,PIPE,3,7,,Briggs McKenzie,P,6-2,190,L,L,2006-10-11,"Raleigh,NC",A+,,2026-2026,2025-  4- 127-ATL,IL-7,,
2026,PIPE,3,8,,Diego Tornes,OF,6-2,178,B,R,2008-07-03,"Havana,CU",Rk,,2025-2026,2025-  UDFA  -ATL,Minors,,
2026,PIPE,3,9,,Lucas Braun,P,6-0,185,R,R,2001-08-26,"Santa Monica,CA",AAA,,2020-2026,2023-  6- 189-ATL,Minors,,
2026,PIPE,3,10,,John Gil,SS,6-1,175,R,R,2006-05-14,"Santo Domingo,DR",AA,,2023-2026,2023-  UDFA  -ATL,Minors,,
2026,PIPE,3,11,,Luke Sinnard,P,6-8,250,R,R,2002-10-21,"Nashville,TN",A+,,2022-2026,2024-  3-  99-ATL,Minors,,
2026,PIPE,3,12,,Garrett Baumann,P,6-8,245,L,R,2004-08-15,"Oviedo,FL",AAA,,2023-2026,2023-  4- 126-ATL,Minors,,
2026,PIPE,3,13,,Conor Essenburg,OF,6-2,200,R,L,2006-09-18,"Palos Heights,IL",A+,,2026-2026,2025-  5- 157-ATL,Minors,,
2026,PIPE,3,14,,Herick Hernandez,P,5-10,205,L,L,2003-08-11,"Hialeah,FL",AAA,,2023-2026,2024-  4- 129-ATL,Minors,,
2026,PIPE,3,15,,Blake Burkhalter,P,6-0,204,R,R,2000-09-19,"Tuscaloosa,AL",AAA,,2020-2026,2022-  2-  76-ATL,Minors,,
