Rank,Name,Team,Pos,Age,ExactAge,Age_R,PA,PPPA,PPPA_R,Overall,Overall_R,Discipline,Discipline_R,Power,Power_R,Contact,Contact_R,ConPow,ConPow_R,ConDis,ConDis_R,ConDisSpd,ConDisSpd_R,Speed,Speed_R,BB%-2K%,BB%-2K%_R,Chase%,Chase%_R,ZContact%,ZContact%_R,Whiff%,Whiff%_R,MaxEV,MaxEV_R,EV90,EV90_R,HardHit%,HardHit%_R,Barrel%,Barrel%_R,PullAir%,PullAir%_R,xBA,xBA_R,xSLG,xSLG_R,Spd,Spd_R,SB_rate,SB_rate_R,SB_succ,SB_succ_R
1,Jordan Lawlar,ARI,LF,20.0,21.205,99.7,79,1.61,98.2,86.5,100.0,86.6,94.8,59.6,61.6,72.5,77.7,66.0,80.1,79.6,89.9,78.4,93.1,76.2,83.2,-19.0,89.8,21.936,93.0,82.178,46.2,23.704,68.8,108.6,37.9,102.0,30.3,33.9,31.7,6.3,76.3,12.3,23.5,0.309,98.8,0.498,93.3,7.347,88.7,0.038,79.0,0.75,52.4
2,Luis Matos,SFG,RF,21.0,21.67,98.2,151,1.59,97.6,85.1,99.4,74.1,80.4,59.9,62.7,96.8,99.4,78.4,95.1,85.4,94.8,82.8,95.8,77.6,86.2,-7.3,98.8,36.194,16.8,95.364,99.7,13.306,98.2,107.5,24.9,104.2,62.1,39.1,58.7,5.3,63.9,17.1,52.9,0.291,94.0,0.452,84.1,6.401,76.6,0.039,81.1,0.857,74.3
3,Alek Thomas,ARI,CF,23.0,23.422,85.9,125,1.39,93.4,84.0,98.8,80.1,87.3,63.2,66.4,97.2,99.7,80.2,96.5,88.6,97.2,83.6,97.3,73.5,81.7,-23.2,80.1,26.104,72.2,91.216,95.4,18.31,92.0,109.2,48.0,105.5,79.4,49.5,92.5,5.6,66.7,4.2,1.8,0.311,99.1,0.459,85.9,7.187,87.5,0.016,45.5,1.0,90.4
4,Tyler Freeman,COL,RF,24.0,24.361,68.7,115,1.34,91.0,83.8,97.9,87.1,95.7,46.8,46.8,89.4,95.9,68.1,82.9,88.2,96.9,90.8,99.4,95.9,100.0,-14.8,93.3,26.357,70.3,87.387,80.4,15.642,96.9,109.5,53.7,106.1,84.9,38.7,55.7,0.9,5.7,19.7,71.6,0.306,98.5,0.404,66.2,8.632,97.9,0.086,97.6,1.0,90.4
5,Brice Turang,MIL,2B,23.0,23.858,80.4,63,1.52,95.8,83.8,97.9,74.8,82.0,71.3,77.4,90.0,96.3,80.6,97.4,82.4,92.8,78.4,93.1,70.4,75.4,-22.3,82.7,28.571,55.2,89.552,91.1,20.0,84.3,107.2,20.6,102.0,30.3,42.6,72.8,14.3,100.0,21.3,78.6,0.281,89.0,0.549,97.6,5.145,57.8,0.032,70.4,1.0,90.4
6,Matt McLain,CIN,2B,23.0,24.151,73.4,172,1.58,97.0,82.5,96.7,74.0,80.1,77.4,81.7,60.4,64.8,68.9,83.8,67.2,74.0,67.3,78.4,67.4,69.5,-23.9,79.4,23.762,84.1,80.12,30.6,27.863,45.3,108.9,42.2,104.2,62.1,44.3,80.3,8.7,93.4,19.6,70.8,0.283,90.2,0.537,96.6,5.624,67.6,0.056,89.8,0.667,35.9
7,Nick Allen,ATL,SS,24.0,24.977,56.3,157,1.43,94.6,82.5,96.7,94.8,99.1,18.5,10.7,95.2,98.2,56.8,63.9,95.0,99.7,93.9,100.0,91.7,98.2,-7.7,98.2,23.438,86.2,91.848,96.0,11.197,99.4,105.8,9.5,101.3,21.1,30.8,17.1,0.0,1.8,13.6,32.4,0.292,94.5,0.369,46.0,7.944,95.1,0.08,96.4,0.929,79.6
8,Tyler Black,MIL,DH,22.0,23.179,89.3,173,1.31,89.8,80.3,95.8,93.7,98.3,30.5,26.0,68.8,74.0,49.6,47.6,81.2,91.3,80.2,94.0,78.1,87.4,-11.0,95.7,20.419,96.6,86.036,72.8,20.0,84.3,109.6,56.1,101.6,23.9,32.5,24.8,1.7,14.8,15.0,40.7,0.248,64.8,0.354,36.9,7.784,93.6,0.046,83.8,0.727,45.5
9,Xavier Edwards,MIA,2B,23.0,24.142,73.7,407,1.35,91.6,79.4,95.2,88.6,96.2,13.4,4.0,95.5,98.5,54.4,59.3,92.0,99.4,89.8,98.8,85.3,92.2,-1.7,99.4,27.485,63.6,91.703,95.7,11.584,99.1,102.3,1.5,97.9,2.8,23.1,4.9,1.0,6.3,9.7,10.1,0.295,95.3,0.371,47.2,6.843,82.0,0.074,95.5,0.889,76.3
10,Lawrence Butler,ATH,RF,22.0,23.222,88.7,94,1.47,95.2,77.8,94.6,59.6,63.0,58.5,60.6,22.0,14.4,40.2,28.1,40.8,34.4,58.8,64.7,94.9,99.4,-29.7,59.2,27.835,61.2,79.167,24.2,25.862,58.0,109.6,56.1,105.5,79.4,41.8,68.7,4.3,51.7,17.9,60.2,0.214,19.9,0.381,52.6,8.145,96.0,0.085,97.0,1.0,90.4
