Season,team,PA_home,PA_road,xwOBA_home,xwOBA_road,PF_xwOBA,K_pct_home,K_pct_road,PF_K
2023,NOR,2805,2870,0.34416073710453726,0.2993748220987069,115.0,0.20998217468805705,0.2564459930313589,81.9
2023,SWB,2668,2736,0.3268620816087142,0.29822926889652585,109.6,0.22188905547226387,0.2595029239766082,85.5
2023,OKC,2711,2719,0.3284010015152313,0.300812594365261,109.2,0.20472150497971228,0.24163295329165135,84.7
2023,TAC,2905,2973,0.3229885834960896,0.3016362260468149,107.1,0.24027538726333908,0.2115708039017827,113.6
2023,NAS,2732,2791,0.3270096509530004,0.3059754541519597,106.9,0.20827232796486092,0.21855965603726263,95.3
2023,RR,2787,2757,0.316274524235423,0.2970243682858036,106.5,0.20631503408683172,0.24591947769314473,83.9
2023,RNO,2987,3001,0.3520441317803134,0.3334013992617202,105.6,0.16303983930364915,0.2149283572142619,75.9
2023,STP,2842,2929,0.33489987619732725,0.31707174664995585,105.6,0.24806474313863477,0.24035506998975759,103.2
2023,DUR,2709,2799,0.3094581079635559,0.2960290791535657,104.5,0.2724252491694352,0.24615934262236513,110.7
2023,LHV,2758,2875,0.3428603480047124,0.32917867950145996,104.2,0.22588832487309646,0.21217391304347827,106.5
2023,IND,2738,2736,0.3195517977080322,0.30799037571454135,103.8,0.22826880934989044,0.22807017543859648,100.1
2023,IOW,2725,2800,0.3201141005144078,0.31458690966837816,101.8,0.2363302752293578,0.2382142857142857,99.2
2023,SAC,2855,3030,0.30767551384799907,0.3036646847865926,101.3,0.24168126094570927,0.24224422442244226,99.8
2023,BUF,2828,2833,0.318410993931701,0.3150401351907731,101.1,0.1867043847241867,0.25132368513942815,74.3
2023,GWN,2600,2736,0.31320575771600967,0.3099653547754751,101.0,0.2230769230769231,0.22587719298245615,98.8
2023,SYR,2717,2853,0.33111755928159414,0.32868006474015404,100.7,0.20794994479205006,0.21556256572029442,96.5
2023,LV,2982,3150,0.317867779134311,0.3189845942263709,99.6,0.21562709590878604,0.2111111111111111,102.1
2023,TOL,2639,2825,0.3169639944095262,0.3188992836742106,99.4,0.2319060250094733,0.25557522123893806,90.7
2023,ELP,2836,3048,0.32256229892948485,0.3254816887379702,99.1,0.19851904090267983,0.21423884514435695,92.7
