Rank,Name,Team,Pos,Age,Report
16,Caleb Bonemer,CHW,SS,20.7,"Power is exploding at High-A with 11 homers in 26 games, but the reason I was slightly cautious on Bonemer this off-season was because I thought there could be some hit tool risk against more advanced competition, and that hit tool risk is showing with a 30.3% K% and 34% whiff%. For the record, Bonemer was an FYPD Target for me and I was all over his 2025 breakout. I also love to see him smashing High-A. But I do think we can't completely hand wave away the hit tool risk."
17,Aidan Miller,PHI,SS,21.11,"Yet to debut with a back injury. Back injuries can be recurring and a constant problem, so it's not a great, but I don't want to completely tank him for it. If I owned him, I would want to remain patient"
18,Sebastian Walcott,TEX,SS,20.2,"Yet to debut with internal brace surgery which he's hoping to return from in August in a best case scenario. We've seen hitters return from TJ/elbow injuries with no problem, so it's really mostly a concern defensively. I'm buying low here."
19,Robby Snelling,MIA,LHP,22.4,Just patiently waiting for the call to the majors as he beats up on Triple-A hitters
20,Charlie Condon,COL,1B,23.1,"Hit tool concerns are stabilizing at Triple-A with a 18.5% K%, although he's only been solid overall with a 107 wRC+. I still want to bet on this power bat in Coors, and he's knocking on the door of the bigs"
21,Braden Montgomery,CHW,OF,23.1,"Just got the call to Triple-A after destroying Double-A (162 wRC+ in 27 games). The GB% is way down too, which is big to see. There is plenty of room for him on the MLB roster. Chicago has been rightfully dogged on for a while, but their time is most certainly coming."
22,Ralphy Velazquez,CLE,1B,20.11,"Ralphy is one of the more underrated bats in the minors with a 15.0/15.0 K%/BB%, 4 homers, and a 136 wRC+ in 24 games at Double-A as a 20 year old. This is a special power bat"
23,Luis Pena,MIL,SS/2B,19.5,"In a scary moment a couple weeks ago, Pena passed out in the dugout and was rushed to the hospital. Thankfully, he seems to be okay now. There is no timetable for his return, and whenever something like this happens, it feels weird to evaluate their dynasty value. He was bouncing back at High-A after struggling there in 2025, so his value was on the rise before the scare."
24,Emmanuel Rodriguez,MIN,OF,23.2,"93.4 MPH EV with a 36.4% whiff% and 21.3% BB% says it all. There is hit tool risk, but the OBP and power should be beastly enough to make him both an impact real life and fantasy bat"
25,Ryan Waldschmidt,ARI,OF,23.7,"Waldschmidt is a really good proximity bat, but if I was going to nitpick, there is some hit tool risk, he doesn't hit the ball overly hard with a 34.9% Hard Hit% and he's only been an okay base stealer in his career. So I guess that is my way of saying don't overrate him too much, even though I still like him a lot."
26,Emil Morales,LAD,SS,19.7,"My boy Emil is back to destroying Single-A with a 138 wRC+ which he already did last year. Seeing how the hit tool holds up at High-A will be a big test for him, but you already know I'm all in, and I'm staying all in"
27,Josue Briceno,DET,C/1B,21.8,"Underwent wrist surgery in spring which is not a great injury for hitters because it's known to linger. There is also no timetable for his return. This probably doesn't change his long term outlook too much though, and short term he was blocked anyway, so I'm not going to ding him too much for it"
28,Justin Gonzales,BOS,1B/OF,19.4,"Zero surprise that the homer power is coming with 4 homers in 22 games. And the contact isn't going anywhere either with a 16.5% K%. He was one of my top targets this off-season, and I want to keep betting big on him. One of the true top hit/power beasts in the minors"
29,Eli Willits,WSH,SS,18.5,"Living up to the hype of the #1 overall pick, slashing .275/.419/.451 with 3 homers, 21 steals, and a 21.7/20.2 K%/BB% in 26 games at Single-A. Keep in mind he is a true 18 year old. He's hitting homers, he's super aggressive on the bases, and he's far advanced for his years."
30,Luis Hernandez,SFG,SS,17.5,Dude has 3 homers with a 10.5/10.5 K%/BB% in 4 games in stateside rookie ball after skipping over the DSL completely. This looks like a truly special rocket ship. I'm not even sure this is high enough.
31,Luis Lara,MIL,OF,21.5,"Lara was once a guy scrapping my Top 100 a few years ago, and now we're full circle with the power breakout here. He has a 43.4% Hard Hit% with 6 homers, a 13.6% whiff% and 12 steals in 33 games at Triple-A. I still don't think he's going to be a huge homer guy in the majors with a 51% GB%, but the power uptick makes him one of the better contact/speed guys in the minors. Frelick and Mitchell aren't going to give up their jobs easily, but they can also be passed, so there is some semblance of a path. And we know how great of a developmental org Milwaukee is."
32,Pedro Ramirez,CHC,2B/3B,22.1,"8.6 degree launch with a 43.3% Hard Hit% says maybe have some caution on fully buying into the power explosion. The power is certainly up though, he gets the bat on the ball and he runs, so it's a fun breakout, but maybe the power isn't going to look as big in the majors. And he's also blocked. I'm buying, but those are the reasons I'm not going even higher"
33,Kaelen Culpepper,MIN,SS,23.4,"Power is way up with a 91.4 MPH EV and 49.4% Hard Hit%. He's also lifting it more with a 39.8% GB%. The 100 wRC+ is only okay, but I think that is mostly bad luck. Culpepper was a target for me in his FYPD year, I was all over his 2025 breakout, and I'm loving what I'm seeing in 2026. I'm going to stay high. He's still underrated"
