Rank,Name,Team,Pos,Age,Report
105,Joseph Dzierwa,BAL,LHP,22,"One of my top FYPD Targets who was getting zero love, Dzierwa is feeling the love now with his fastball up into the mid 90's and him performing well at High-A with a 2.33 ERA and 27.6/6.7 K%/BB% in 27 IP. It's still probably mid rotation upside at peak, so don't want to get too crazy but you know I'm loving this"
106,Juan Sanchez,TOR,SS/3B,18.7,12 wRC+ in 14 games at Single-A. Rookie Ball just started. Clearly he's not ready for full season ball so I don't see why they wouldn't demote him
107,Francisco Renteria,PHI,OF,17.4,Yet to debut. DSL starts in early June
108,Angeibel Gomez,KCR,OF,17.5,Yet to debut. DSL starts in early June
109,Cooper Ingle,CLE,C,24.2,"Bo Naylor has a 6 wRC+. I have to think his time is coming up, and Ingle is at Triple-A with a 236 wRC+ in 17 games. He has a 51.7% Hard Hit% and he's always had a good feel to hit. Great pick up right now."
110,Seaver King,WSH,SS,23,"The AFL breakout has rolled over into Double-A, slashing .306/.408/.561 with 5 homers, 3 steals, and a 21.5/14.9 K%/BB% in 25 games. The 38.9% GB% is way down. He's been caught stealing 6 times, which I think is an aberration looking at his career, but it's worth pointing out. Either way, he's back on track to being what he thought he was when Washington took him 10th overall"
111,Karson Milbrandt,MIA,RHP,22,"1.85 ERA with a 32.0/10.3 K%/BB% in 24.1 IP at Double-A. I liked Milbrandt a lot this off-season, the stuff is really good from the left side, and he's now conquering Double-A. He's underrated"
112,Kyson Witherspoon,BOS,RHP,21.9,"He didn't miss as many bats as optimal in college, and now he's struggling at High-A with a 7.06 ERA and 25.3/13.1 K%/BB% in 21.2 IP at High-A. It's still a small sample and we have to give him more time to get comfortable, but it's a pretty discouraging start"
113,Jaxon Wiggins,CHC,RHP,24.7,Hit the IL with right elbow inflammation after 2 starts. Just the life of a flamethrowing pitching prospect
114,TJ Nichols,TBR,RHP,23.11,Hit the IL after 1 start with an undisclosed injury. Hopefully it's not an arm injury but I have no idea
115,Tanner McDougal,CHW,RHP,23.1,"The 98.4 MPH fastball isn't actually missing many bats with a 22.4% whiff%, but the secondaries are, and he has a 34.9% whiff%. He's pitching well at Triple-A, but there is still relief risk with a high walk rate and with barely going to the change. And now there is injury risk too with him down with a forearm strain"
116,Raudi Rodriguez,LAA,OF,22.1,"Skipped over High-A and went from Single-A in 2025 to Double-A in 2026 and he's having no issues, slashing .270/.430/.382 with 3 homers, 11 steals, and a 18.3/20.0 K%/BB% in 26 games. The plate skills are transferring to say the least. He ripped up the AFL too. He's a good athlete who hits the ball hard and has speed. He's a great pickup right now if he's out there in your league"
117,Deniel Ortiz,STL,1B/3B,21.8,"They started him at Double-A, which was a big sign of confidence, but he immediately went down with a wrist injury"
118,Felnin Celesten,SEA,SS,20.7,Quietly having a good season with a 125 wRC+ in 24 games at High-A but it comes with only 1 homer and a high groundball rate. He looks like more a slow burn than a rocket ship
119,Nate George,BAL,OF,20,"Homer power has yet to come with 1 homer and a 50.8% GB% in 20 games at High-A, but everything else looks good"
120,Cris Rodriguez,DET,OF,18.3,Stateside rookie is just getting started and he hasn't done much in 3 games yet
121,Johenssy Colome,SAC,SS,17.7,Yet to debut. DSL starts in early June
122,Santiago Solarte,MIA,SS,17.5,Yet to debut. DSL starts in early June
123,Braylon Doughty,CLE,RHP,20.5,"2.76 ERA with a 23.2/2.9 K%/BB% in 16.1 IP at High-A. He's going control over big K rate, which is fine by me if the control is in the elite range. The stuff is good. The org is good. I like him"
124,Johnny King,TOR,LHP,19.9,"0.63 ERA with a 38.6/15.8 K%/BB% in 14.1 IP at High-A. Love the talent and filth from the left side, but clearly there is still plenty of rawness here"
125,Blake Burke,MIL,1B,22.11,"Slashing .237/.328/.551 with 9 homers, 11 steals, and a 26.1/10.4 K%/BB% in 28 games at Double-A. He's a fun/weird one. He crushes the ball, the lift/pull is up this year, and he's running. There is hit tool risk and lack of defensive value, but he might be the pole position for Milwaukee's 1B of the future job. It's still going to be a dog fight for the job though"
126,Bo Davidson,SFG,OF,23.1,"26.6% whiff% at Double-A is great to see because that means the hit tool is completely transferring. He's also got 5 dingers. I still hate that he's going to hit in SF, and he's still on the older side, but he's doing what I wanted to see in the upper minores"
127,Sean Keys,TOR,3B,22.11,"Conquering Double-A with 9 homers and a 174 wRC+, but I still do have some concerns on the hit tool on the MLB level with a 26.7% K%. The power looks very legit though"
128,Aroon Escobar,PHI,2B,21.4,Solid at Double-A with a 105 wRC+. The hit tool is transferring with a 15.3/11.0 K%/BB% which is great to see. Overall it's an encouraging start
129,Devin Taylor,SAC,OF,22.4,"Ripping up High-A which is expected for him but still great to see. The upper minors will be his first real test, but all this dude does is rake"
130,Josh Adamczewski,MIL,2B/OF,21,"Destroying High-A with a 163 wRC+ and 7 homers. Plate skills, raw power and game power all looks great. He's at the least a rock solid MLB bat, and if he keeps this up at Double-A, I will up that projection"
131,Marco Dinges,MIL,C,22.8,"We've seen him rip up High-A already and he's doing it again. I really like his bat, but want to see what it looks like in the upper minors before getting too crazy"
132,Demetrio Crisantes,ARI,2B,21.8,Yet to debut with a hamstring injury
133,William Bergolla Jr.,CHW,SS,21.6,"Hasn't played since April 9th with a shin bruise, but he was doing his elite contact/speed thing before going down with the injury. Lack of impact could be a problem in truly locking down a full time job with an increasingly crowded Chicago"
134,Kendall George,LAD,OF,21.6,"Everything is transferring to Double-A but the problem is still impact with 0 homers and a .429 BABIP doing a lot of the heavy lifting. If he gets on the field though, he will make a major impact in steals"
135,Wei-En Lin,SAC,LHP,20.6,"Everything is transferring to the upper minors, which is a big step, with a 1.61 ERA and 28.9/7.9 K%/BB% in 28 IP. The velocity isn't big but seeing the stuff dominate upper minors hitters is huge"
136,Edwin Arroyo,CIN,SS,22.9,"He held his own at Double-A coming off shoulder surgery, and now he's excelling at Triple-A, slashing .305/.386/.489 with 4 homers, 5 steals, and a 17.5/10.6 K%/BB% in 32 games. The 89.3 MPH EV ain't bad either with lift/pull and speed. He profiles as a potentially solid across the board fantasy player."
137,Jack Wenninger,NYM,RHP,24.2,"He's pitching well at Triple-A, but I'm not overly impressed by the 93.9 MPH velocity, 26.8% whiff%, and 41.1% Hard Hit%. I think he's your classic mid rotation upside starter, which isn't super unique, but still good"
138,Ben Hess,NYY,RHP,23.8,Hit the IL after only 2 outings with arm fatigue
139,Riley Quick,MIN,RHP,22,"Quick was a Ben Hess/Brandon Sproat type FYPD Target for me, meaning big guys with bug stuff who didn't have a huge Junior year but who could breakout in pro ball. And now Quick is breaking out in pro ball with a 1.13 ERA and 42.1/7.0 K%/BB% in 16 IP at Single-A and High-A. Obviously it's a small sample and the lower minors, but it's a good sign that pro breakout is coming"
140,Owen Murphy,ATL,RHP,22.6,"Getting hit up in the upper minors and without big stuff, he really needs the production to be there. Still a small sample, but rough start"
141,Tyson Lewis,CIN,SS,20.4,80 wRC+ with a 39.5% whiff% and 50.8% GB% in 26 games at Single-A. He's just so raw still
142,Brock Wilken,MIL,3B,23.11,"My dream of him being a 3B seems to be dying. And as a 1B only, there is just so much competition in Milwaukee there long term"
143,Kemp Alderman,MIA,OF,23.7,"36.6% whiff% with a 97.1 MPH EV says it all. This dude smashes it, but the hit tool risk is high, he's not a big lift/pull guy, and his walk rates in the minors have only been okay. If/when he gets his shot though, the dude is going to rip the ball though"
144,Jonathon Long,CHI,1B,24.3,"Not crushing Triple-A but he's already conquered this level and hit/power combo looks good. He's just waiting on his shot, which may or may not ever come hah ... at least in the near future"
145,Marek Houston,MIN,SS,22.1,"3 homers in 26 games at High-A isn't blowing the doors off, but it shows he can hit some out with wood bats too, and the hit tool and speed are also there. Solid debut"
146,Staryln Caba,MIA,SS,20.5,"Traded contact for power at High-A by bringing his GB% way down, but the whiff% spiked up with it. He had some hit tool to spare though and the 121 wRC+ at High-A looks good. Overall, I like the attempt to add power. Good start, and his glove will get him on the field eventually"
147,Asbel Gonzalez,KCR,OF,20.4,"Power is up at High-A with 3 homers and he's hitting well with a 131 wRC+. The K rate is up, but the whiff rate isn't, and of course he's running with 15 steals. Strong start"
148,Daniel Pierce,TBR,SS,19.9,"31.4/5.7 K%/BB% in 17 games at Single-A shows there is a lot of risk here, but he's showing the talent too with 3 homers, 4 steals, and a 102 wRC+. Value holds serve"
149,Gavin Fien,WSH,SS,19.2,"47.4% K% with a .118 BA in 19 games at Single-A. It's probably too easy to blame the batting stance that I didn't like. But either way, clearly there is major hit tool risk and I feel good about my FYPD ranking of him this off-season by not going too high. Let's give him a bigger sample to get comfortable though before a larger drop"
150,Enrique Bradfield,BAL,OF,24.5,"He was actually hitting the ball much much harder at Triple-A with a 51.6% Hard Hit% and 2 homers in 13 games, although he wasn't hitting well overall with a 91 wRC+ and now he's on the IL with a hand injury. I'm intrigued by the hard hit though"
151,Braden Nett,SAC,RHP,23.11,"Just made his debut from a rotator cuff injury and the big stuff is all the way. He also pitched well. He's an upside proximity play ""sleeper"" that could make for a really good pick up right now in the right leagues"
152,Cole Carrigg,COL,OF,24,"Hitting well at Triple-A but the .436 BABIP is doing a lot of the heavy lifting. He's making a lot of contact, but he had to sacrifice lift/pull to do it. Value is holding steady right now as a fun upside proximity play, but I'm still not completely sold"
153,Blaze Jordan,STL,3B/1B,23.4,"Contact/power profile is thriving at Triple-A with 8 homers, 46.3% Hard Hit%, and a 12.5 K%. He's not walking and the GB% is very high, so it's still the type of profile that has to fight for it's life on the MLB level. But hard to argue with that hit/power combo. Interesting proximity play"
154,Michael Forret,TBR,RHP,22.1,"1.75 ERA with a 24.7/13.4 K%/BB% in 25.2 IP. I'm a K/BB guy, so I'm more discouraged than encouraged. I'm starting to think the upside just isn't that high here"
155,Luis Perales,WSH,RHP,23,"4.56 ERA with a 20.2/12.8 K%/BB% in 25.2 IP at AAA. The stuff is still huge, so I want to keep betting on the stuff, but those results are making it as hard as possible. The odds of him ending up in the pen are rising, but this is really his first full year back from TJ, so let's have some patience"
156,Luis De Leon,BAL,LHP,23,"The inevitable explosion for the fire balling lefty turned out to be not so inevitable with a 6.26 ERA and 25.9/14.8 K%/BB% in 23 IP at Double-A. Give him some time to get hot and find a groove, but his value certainly isn't rising"
157,David Shields,KCR,LHP,19.8,2.70 ERA with a 33.7/8.7 K%/BB% in 26.2 IP at High-A. A Parker Messick like peak is the hope here
158,Joshua Kuroda-Grauer,SAC,2B,23.3,"I would have sworn I had Grauer on the off-season rankings, but obviously not (not sure if I erased him by accident maybe). Either way, he's on these rankings for his elite contact (9.8% K%), increased power (6 homers) and speed (10 steals) in 28 games at Double-A. He still might end up a utility guy, but the Athletics are a perfect org for a guy like this to actually get a shot."
159,Tommy Troy,ARI,2B,24.3,"Once again showing off a nice across the board profile at Triple-A, but it's not high upside, and it seems like Airzona is treating him as a future super utility player"
160,Luke Adams,MIL,1B/3B,22,"Hasn't played since April 11th for reasons I am unsure of. His value was holding steady before that, but a 85.5 MPH EV is just not going to cut it for a 1B. Need to see a bigger sample though"
161,Xavier Isaac,TBR,1B,22.5,"Isaac is back to being a power hitting machine coming off brain surgery with 7 homers in 21 games at Double-A, but the 48.6% whiff% and 39.5% K% is way too high. The 25.6% BB% is also very high, but that swing and miss is in beyond the danger zone. The hope is that that comes down because how could we not give him a ton of leeway for brain surgery. It's just amazing he's back out there"
162,Roldy Brito,COL,2B/OF,19.1,"He's hitting well at Single-A with a 120 wRC+ in 23 games, but I still don't love the 51.4% GB% and 29.2% whiff% combo. He's rising, but I don't want to go too crazy"
163,Jaison Chourio,CLE,OF,20.11,"Bouncing back at High-A, slashing .317/.431/.476 with 2 homers, 10 steals, and a 17.6/17.6 K%/BB% in 22 games. This is what we expected last year, and while he's getting a bump, the hope that this is a superstar rocket ship is still waning for me."
164,Blake Mitchell,KCR,C,21.9,"42.5% whiff% with a .206 BA at High-A shows this is major hit tool risk, but the power is back as expected with 6 homers, he runs with 5 steals, and he gets on base with a 31.7% BB%. I still think he can be a super fun fantasy catcher, especially in OBP leagues."
165,Billy Carlson,CHW,SS,19.9,82 wRC+ in 24 games is feeding into that this is a glove first player without big offensive upside
166,Nick Becker,SEA,SS,19.5,"Starting in rookie ball, which is not a big vote of confidence, but he's hit well in 3 games, albeit with a 30% K%, so maybe he can quickly get to full season ball"
167,Tanner Franklin,STL,RHP,21.11,"The transition from the pen into a starter has mostly been a success, but he's hit a few road bumps recently. Big stuff, but I still think the bullpen risk is very high with a 4.19 ERA and 33.3/11.1 K%/BB% in 19.1 IP at High-A"
168,Gage Stanifer,TOR,RHP,22.5,7.71 ERA with a 30.7/18.2 K%/BB% in 18.2 IP at Double-A. Double-A gave him trouble last year too in a small sample. The upper minors are slowing him down
169,Jimmy Crooks,STL,C,24.9,"34.5% K% and 36.6% whiff% still has me skeptical if the bat will play on the MLB level, but he's killing it with 10 homers in 25 games, and the Cardinals current catcher job is still a bit up in the air"
170,Wehiwa Aloy,BAL,SS,22.3,"27.6/8.6 K%/BB% in 22 games at High-A shows the risk is still present, but he's conquering the level with 6 homers and a 130 wRC+. What he does in the upper minors will be the big test"
171,Kane Kepley,CHC,OF,22.3,Hit/speed profile is completely transferring to High-A but he's yet to hit a homer and we need to see it in the upper minors
172,Aaron Walton,CLE,OF,22,"He's a college bat I thought was underrated and now he's ripping up High-A, slashing .292/.388/.528 with 4 homers, 8 steals, and a 25.0/8.7 K%/BB% in 24 games. We need to see it in the upper minors, but love the start"
173,Coy James,WSH,SS,19.2,"Coy James was billed as hit tool first but he's performing the opposite of that, slashing .198/.355/.372 with 4 homers, 12 steals, and a 28.0/17.8 K%/BB% in 24 games. That BA is likely bad luck, but the 31.3% whiff% says it's not all bad luck. I'm more encouraged than discouraged really"
174,Blaine Bullard,TOR,OF,19.9,"Bullard got $1.7 million in the draft as a projectable and toolsy high school bat, and now he's showing off the upside at Single-A, slashing .230/.337/.425 with 4 homers, 16 steals, and a 32.4/10.5 K%/BB% in 23 games. You can see the hit tool risk, but the 28% whiff% isn't bad at all. I really like Bullard, and if some of the buzzier FYPD breakouts are already gone, jump on Bullard"
175,Colby Shelton,CHW,2B,23.5,"Here is what I wrote about Shelton in the latest Dynasty Baseball Rundown, ""Colby Shelton is an interesting one for my deep leaguers out there. Not only interesting, but super weird. This dude hit 25 homers with a 1.148 OPS and 24.6% K% in his first year in the SEC in 2023. So I'm saying this guy can clearly rake. He hit 20 homers in 2024 and then in 2025 he decided to aim for contact over power, and he did it easily with a 11.8% K% and .377 BA in his senior year. Being able to bring your contact rates down that much again just shows there is something special in his bat. He's now at High-A, and he's destroying the level, slashing .378/.485/.720 with 6 homers, 5 steals, and a 18.2/15.2 K%/BB% in 22 games. It sure looks like he's now combining the improved hit with his legit power. He's already 23 years old, he's not a great athlete and he's a 2B, but I think he's worth keeping an eye on."""
176,Henry Godbout,BOS,2B,22.6,"The Red Sox did it again, finding power from an elite contact guy. Godbout has 4 homers with a 41.4% GB% and 12.8% whiff% in 20 games at High-A. It's still not high upside and it still might not be an MLB starter, but good start to his pro career"
177,Ethan Pecko,HOU,RHP,23.7,"Pecko had a late start to the season with what I'm assuming is the ""good"" thoracic outlet syndrome, and he's looked completely healthy since returning with a 1.80 ERA and 30.4/8.7 K%/BB% in 5 IP Triple-A. He was good for 8 IP at Single-A too in his rehab outings. The fastball is averaging 94.9 MPH and the cutter and slider are missing bats. He pitched well in the upper minors last year too. The stuff is more solid than standout, so I'm not really targeting him, but he's a good proximity arm"
178,Charlee Soto,MIN,RHP,20.9,Yet to debut coming off biceps/bone spur injury/surgery. Injury risk is sky high here but the talent is huge assuming full health
179,Christian Zazueta,LAD,RHP,21.7,"3.13 xFIP, 4.18 ERA, and a 37.9/6.3 K%/BB% in 23.2 IP at High-A. The stuff is really good with a plus fastball/changeup combo as the moneymaker, but I want to see it in the upper minors first before going higher than this"
180,Anderson Brito,TBR,RHP,21.1,9.5% BB% isn't and he's pitching well at High-A with a 3.86 ERA and 31% K% in 18.2 IP. Any signs of control improvement is a good sign because the stuff is nasty
181,Khal Stephen,CLE,RHP,23.4,"2.93 ERA with a 30.4/13.9 K%/BB% in 27.2 IP at Double-A. The elite walk rates from the lower minors are not translating to the upper minors. The 26.7% whiff% isn't as high as the K rate. I still think he's a mid rotation upside type, which is good, but not a super valuable dynasty asset"
182,Kash Mayfield,SDP,LHP,21.3,"2.29 ERA with a 30.7/16.0 K%/BB% in 19.2 IP at High-A. A Noah Cameron outcome is what you are hoping for here, but he can easily end up a back end guy"
183,Cameron Cauley,TEX,OF/SS/2B,23.3,100 wRC+ at Triple-A says it all. He's been okay. Not kicking the door down. I'll keep his value steady
184,Joseph Sullivan,HOU,OF,23.1,"Doing exactly at Double-A what he did in the upper minors, which is show a great power/speed combo with major hit tool risk. It feels like another super toolsy Houston prospect who doesn't hit enough to be a true full time player"
185,David Davalillo,TEX,RHP,23.7,"3.86 ERA with a 33.3/7.4 K%/BB% in 23.1 IP at Double-A. The stuff isn't big, but he keeps producing everywhere he goes"
186,Termarr Johnson,PIT,2B,21.11,"Tanking at Triple-A with a 41 wRC+, 27.7% Hard Hit% and 30% whiff%. Disaster. He already wasn't an upside guy, and now he's not a production guy either. Still early, and he's not this bad but I'm super discouraged"
187,Dante Nori,PHI,OF,21.7,"Everything is transferring to Double-A except the walk rate, and the power it up a bit too. The Phillies strategy of taking older high school bats might pay off again."
188,Ethan Petry,WSH,OF,21.1,Destroying High-A which isn't very surprising. The upper minors is his real first test
189,Marconi German,WSH,2B/SS,18.8,"Yet to debut and with stateside rookie ball starter, maybe there is an injury here?"
190,Dillon Lewis,MIA,OF,22.11,"Hitting .220 with a 31.1% K% at Double-A. The hit tool is killing him, which is why the Yanks were willing to trade him away. The power/speed is good though and the 30.9% whiff% isn't terrible, so the upside is still high"
191,Luke Dickerson,WSH,SS,20.9,"He's repeating Single-A as a 20 year old and the 29.8% K% still shows the major hit too risk, but he's hitting well with a 124 wRC+, so I'll keep his value steady"
192,Dorian Soto,BOS,SS,18.3,Rookie ball is just getting started and he's been hitting well in the early going
193,Ching-Hsien Ko,LAD,OF,19.9,Slashing .288/.434/.576 with 4 homers and a 23.7/18.4 K%/BB% in 17 games at Single-A. The GB% is down. He's bouncing back from a rough Single-A stint in 2025 and he's still age appropriate for the level
194,Slater de Brun,TBR,OF,18.11,Yet to debut with a wrist injury
195,Diego Tornes,ATL,OF,17.1,Yet to debut
196,Caden Bodine,TBR,C,22.5,"Destroying Single-A with 4 homers and a 3.5/9.7 K%/BB% in 24 games. It's only Single-A, but still, that is just true obliteration. Him and Flewelling are going to be a fun catcher duo climbing the minors together. I can see a path where both are impact fantasy catchers"
198,Tommy White,SAC,3B,23.2,"55.7% GB% with low walk rates are going to be a problem for playing time, but with the Athletics, it's not as big of a deal. The contact/raw power combo has translated to every level, and if/when he gets his shot in the bigs, he could be a fantasy relevant bat. Lack of launch and speed does still cap the upside"
199,Miguel Ullola,HOU,RHP,23.1,15.9% BB% at Triple-A. His control issues are seemingly going to have him end up in the pen
200,Jonathan Santucci,NYM,LHP,23.4,"5.57 ERA with a 34.8/19.1 K%/BB% in 21 IP at Double-A. I'll keep his value steady as a standard mid rotation upside guy, but right now, back end looks more accurate"
201,Ty Johnson,TBR,RHP,24.8,Yet to debut with a lower back strain
202,Kruz Schoolcraft,SDP,LHP,19,"The stuff did tick up like I expected post draft, but the production isn't there at all with a 13.50 ERA and 19.4/21.0 K%/BB% in 10.2 IP at Single-A. Clearly he's super raw. He might deserve an even bigger drop than this"
203,Nelson Rada,LAA,OF,20.9,"11.8% Hard Hit% at Triple-A is ridiculous and it's resulted in a 83 wRC+ in 23 games. The profile remains the same, but the hard hit is going in the wrong direction"
204,Jace LaViolette,CLE,OF,21.8,"We knew there was hit tool risk, but a 43.1% whiff% and 41.7% K% is just on the absolute worst end of it. He's still so talented that I want to give him more time to get comfortable in pro ball to see if those can drop at least into the mid 30's"
205,Luke Stevenson,SEA,C,21.9,"Back to dominating High-A but he's still not hitting a ton of homers with only 2. I have to think the homers will come, but we have to see it in the upper minors, and he's still blocked"
206,Ramon Ramirez,KCR,C,20.1,Hitting well at High-A. He continues to quietly be a really good lower minors catcher prospect
207,Axiel Plaz,PIT,C,20.9,"143 wRC+ in 23 games at High-A, and while a lot of that is BABIP induced (.429), it still points towards Plaz being one of the more underrated catching prospects in the lower minors"
208,Cam Cannarella,MIA,OF,22.8,"Fractured his wrist after just 7 games at High-A. They were an exciting 7 games though with elite plate skills and a 155 wRC+. It was only the lower minors, but great sign the profile will transfer to pro ball"
209,Sean Gamble,KCR,OF,19.1,"32.7% K% with a .104 BA is showing major hit tool risk. .153 BABIP shows he's been extremely unlucky, but it's not all bad luck. The dude has a 7 wRC+ in 26 games. I'll stay a bit more patient because you have to let these kids get comfortable, but pretty discouraging"
210,Bruin Agbayani,MIN,SS/2B,19.1,"The most underrated man alive one of my favorite deep FYPD targets is back to doing his elite plate skill thing at Single-A with a 5.4/18.9 K%/BB% in 5 games. We need a bigger sample, but love it so far. I want to remain high on him"
211,Ricky Tiedemann,TOR,LHP,23.9,"Another setback coming back from TJ once again delayed the start of his season, but he's supposedly back on the comeback trail. I'm starting to lose hope, but I mean, if he gets healthy, and starts throwing fire again, the hype can pick up quickly. A pen role is also seeming more and more likely even if he does get back healthy, at least early in his career"
212,Santiago Suarez,TBR,RHP,21.4,"6.41 ERA (3.70 xFIP) with a 29.9/6.9 K%/BB% in 19.2 IP at Double-A. I'm a K/BB guy, so I lean more towards it being encouraging but I wouldn't completely dismiss the ERA. His stuff is hittable"
213,Christian Oppor,CHW,LHP,21.9,"8.04 ERA with a 13.3/22.9 K%/BB% in 15.2 IP at Double-A. Talented arm, but the upper minors are destroying him"
214,Nate Payne,MIA,LHP,20.9,"Payne is a 6'3'' lefty with a smooth delivery and a plus low to mid 90's fastball as his moneymaker that misses a ton of bats despite not huge velocity. The curve is nice looking pitch with plus potential and he also throws a cutter, slider and change. He's been a strikeout machine in the lower minors with a 40.8% K%. I like him"
215,Winston Santos,TEX,RHP,24,10.80 ERA with a 28.3/9.4 K%/BB% in 10 IP at Double-A. He's not pitching well but clearly there is bad luck in play too as the K/BB isn't bad at all. I'll give him some more time before a bigger drop
216,Bishop Letson,MIL,RHP,21.7,"I think I was the only person pumping the brakes on Letson, writing, ""I try to stop myself from getting too amped up about ""a looks the part"" dream build. Maybe that is the Moneyball generation in me, but I do still think it can seep too much into scouting. I remember when I pumped the brakes on Darren Bowen back in 2023 because I thought he was getting too much of the ""looks great in the uniform bump."" Now, I like Letson a lot more than Bowen, but I want to see a bit more against advanced competition before really going crazy."" ... and now he is facing that advanced competition and getting rocked with a 7.23 ERA and 19.8/16.5 K%/BB% in 18.2 IP. Let him get comfortable, but I feel good about my off-season evaluation"
217,JT Quinn,BAL,RHP,22,"Here is what I wrote about Quinn in the Rundowns last week and my thoughts remain the same, ""I wasn't on JT Quinn, but you damn right I'm on him now after yet another strong outing, going 5 IP with 3 hits, 0 ER, and a 5/2 K/BB at High-A. He now has a 2.70 ERA with a 26.7/5.6 K%/BB% in 23.1 IP. Just like Sime and Quick, Quinn is also a big man at 6'6'', 210 pounds who throws hard with mid 90's heat. He combines the heat with a pair of vicious breakers. He has to show it at higher levels and he didn't show this level of control in college, so I'm not going crazy for him yet, but he's definitely a big riser."""
218,AJ Russell,TEX,RHP,21.1,"The Rangers took the TJ discount on Russell at 52nd overall and they are easing him into things at Single-A with 2 IP outings. There has been some good (41% K%) and some bad (12.8% BB% with  5.00 ERA in 9 IP). He's a big dude with big stuff, so I like to bet on those types, but we need a bigger sample at higher levels"
219,Jared Thomas,COL,OF,22.1,Yet to debut with a fractured hamate
220,Dasan Hill,MIN,LHP,20.4,8.44 ERA with a 31.6/17.1 K%/BB% in 16 IP at High-A. He's still clearly super raw with major control risk
221,David Hagaman,ARI,RHP,23.1,"He had small sample success in 2025 that he isn't repeating in 2026. But it's just 7.2 IP and his season got a late start, so let's see a bigger sample before making bigger moves"
222,Jose Corniell,TEX,RHP,22.11,Yet to debut with a dead arm. He just came back from TJ in 2025. Pitching prospects are a nightmare
223,Kevin Defrank,MIA,RHP,17.9,I think the word is that his season is done with an elbow injury. The life of a flamethrowing teenager is just brutal
224,Gavin Kilen,SFG,SS,22.1,110 wRC+ with 2 homers and 0 steals in 26 games at High-A. I just don't see an impact fantasy bat here
225,Ryan Wideman,SDP,OF,22.6,"Off to a strong start at Single-A and best of all is showing a good hit tool with a 19.9% whiff%, but Single-A is just way too low of a level to get too excited yet. He's a big dude and a great athlete, so the value is rising, but we really need to see it at higher levels."
226,Landon Harmon,WSH,RHP,19.7,"1.88 ERA with a 21.2/9.6 K%/BB% in 14.1 IP at Single-A. I'm a K/BB guy so more discouraged than encouraged by the start, but I'll hold his value steady"
227,Argenis Cayama,SFG,RHP,19.8,"3.09 ERA with a 33.3/1.1 K%/BB% in 23.1 IP at Single-A. He had a 10.3% BB% last year, so the control is taking a huge jump. He was one of the best pitchers in rookie ball, and now he's one of the best pitchers in Single-A. He sits low 90's, so it's not huge stuff, but the sinker is nasty, so it works"
228,Jeral Perez,CHW,2B,21.5,Been terrible at High-A but a lot of it looks like bad luck so want to give him a bigger sample
239,Cole Mathis,CHC,1B,22.8,"Mathis underwent Tommy John surgery shortly after being drafted in 2024 and it messed up his 2025 season, but he looked good in the AFL, and now he's ripping up the lower minors. He's has to show it in the upper minors first, and he's a righty 1B, so it's going to be a nightmare to get on the field. Jonathan Long is still waiting ahead of him"
230,Samuel Zavala,CHW,OF,21.1,"Zavala was a favorite of mine in what feels like 100 years ago, but he's still only 21 years old, and now he's playing really well at Double-A, slashing .265/.409/.461 with 5 homers, 5 steals, and a 19.7/19.7 K%/BB% in 27 games. It's not the highest upside profile, but the plate approach is so mature"
231,Jaden Fauske,CHW,OF,19.5,"128 wRC+ in 26 games at Single-A. It only comes with 1 homer and a 52.6% GB%, but the approach is mature with a 30.0/19.2 K%/BB%. The 25.9% whiff% looks good. I had him as a really good, probably better in real life than fantasy bat, and that is still how I have him"
232,Cam Collier,CIN,1B,21.5,The groundball rate is down and he's hitting more homers but he's still not hitting that well at Double-A. His bat has a very high bar to clear and it just hasn't be clearing it
233,Aidan Smith,TBR,OF,21.1,His season is just getting started as he returns from a hammy
234,Brendan Tunink,LAD,OF,20.7,"Looked great for 8 games at Single-A with the hit tool transferring before hitting the IL. He's a tooled up guy, so the start was exciting"
235,Murf Gray,PIT,3B,22.4,"He's ripping up Single-A but he's far too young for that level to get too crazy. I really liked his size/contact/power profile in FYPD's, and I did give him a solid ranking, but the same reasons I didn't go higher are still there, which is that he might end up a righty 1B, and it's going to a battle to get on the field"
236,Wyatt Sanford,PIT,SS,20.5,Hitting really well at High-A but the 37.3% K% and 39.5% whiff% are just way way way too high
237,Aidan West,LAD,SS,19,Just made his debut in rookie ball and cracked a double in his first game. Fun high upside Dodgers play
238,Owen Carey,ATL,OF,19.8,Performing well as a 19 year old at High-A with a hit tool first profile (14% K%). He's been out for a few weeks for reasons I am unsure of
239,Yeremy Cabrera,WSH,OF,20.1,"Yeremy has been on the Top 500 before and was a just missed last year, but he's back on now with him crushing Single-A, slashing .316/.443/.653 with 7 homers, 16 steals, and a 25.4/18.0 K%/BB% in 26 games. He's repeating the level and is almost 21 years old, so I need to see it at higher levels, but he deserves to get on the list"
240,Enddy Azocar,BOS,OF,19.2,"Breaking out at Single-A, slashing .282/.333/.509 with 5 homers, 5 steals, and a 23.3/6.7 K%/BB% in 26 games. He's a projectable 6'2'' with a vicious righty swing. There is still rawness here as you can see with the K/BB, but there is fun upside in there too"
241,Ryan Mitchell,STL,SS,19.3,"Hit tool is way worse than expected with a 39.8% K% and .169 BA in 22 games at Single-A. 34.2% whiff% isn't quite as bad, but clearly this is a major issue"
242,Yairo Padilla,STL,SS,18.1,Yet to debut with a shoulder strain
