Rank,Name,Team,Pos,Age,ExactAge,Age_R,PA,PPPA,PPPA_R,Overall,Overall_R,Discipline,Discipline_R,Power,Power_R,Contact,Contact_R,ConPow,ConPow_R,ConDis,ConDis_R,ConDisSpd,ConDisSpd_R,Speed,Speed_R,BB%-2K%,BB%-2K%_R,Chase%,Chase%_R,ZContact%,ZContact%_R,Whiff%,Whiff%_R,MaxEV,MaxEV_R,EV90,EV90_R,HardHit%,HardHit%_R,Barrel%,Barrel%_R,PullAir%,PullAir%_R,xBA,xBA_R,xSLG,xSLG_R,Spd,Spd_R,SB_rate,SB_rate_R,SB_succ,SB_succ_R
1,James Wood,WSN,RF,21.0,22.037,96.8,230,1.41,98.2,86.9,100.0,74.8,84.1,84.4,91.7,87.2,92.4,85.8,98.6,81.0,91.6,76.6,92.0,67.8,74.6,-19.6,89.6,26.692,60.8,85.597,75.2,25.974,58.6,115.3,97.5,108.8,99.0,59.5,99.8,6.5,83.7,10.1,14.4,0.304,99.3,0.498,96.3,4.954,51.9,0.043,79.6,0.909,76.9
2,Payton Eeles,MIN,2B,24.0,24.873,66.1,255,1.26,95.9,84.5,99.1,93.0,97.8,43.6,40.0,67.4,70.5,55.5,58.8,80.2,90.8,83.2,98.8,89.2,97.6,-16.9,93.7,21.416,90.1,85.404,74.4,16.253,95.5,107.0,22.8,100.7,19.0,29.2,21.3,4.7,62.0,7.1,5.6,0.237,60.3,0.393,70.2,8.415,95.8,0.077,95.6,0.87,69.8
3,Miguel Vargas,CHW,3B,24.0,24.871,66.3,191,1.36,97.0,84.5,99.1,95.3,98.8,65.8,70.3,66.9,70.2,66.4,79.2,81.1,91.8,73.4,87.0,57.9,58.9,-14.7,96.2,15.048,99.3,83.6,61.8,19.872,87.1,107.8,30.6,101.6,28.9,35.3,41.9,5.8,79.4,30.2,98.5,0.247,72.1,0.447,88.6,5.498,61.9,0.042,77.2,0.571,24.3
4,Andy Pages,LAD,CF,23.0,23.811,81.8,114,1.55,99.4,84.1,98.2,61.8,67.7,87.5,95.5,93.2,97.6,90.4,100.0,77.5,85.9,73.0,86.4,64.0,69.5,-28.0,71.7,31.718,31.5,88.112,86.6,21.395,82.6,110.3,69.0,106.0,86.2,44.4,84.0,8.8,96.8,18.5,63.6,0.31,99.8,0.592,100.0,6.533,77.4,0.026,60.9,0.75,47.0
5,Alan Roden,MIN,RF,24.0,24.775,68.6,283,1.25,95.0,84.0,97.6,81.7,89.5,60.9,64.3,95.6,99.0,78.2,93.8,88.6,96.3,84.2,99.4,75.2,82.2,-17.0,93.3,27.365,55.8,92.157,97.8,18.162,91.6,112.2,86.2,103.4,54.1,36.9,50.1,3.2,39.2,22.8,85.5,0.278,93.4,0.394,71.0,6.321,75.7,0.028,64.5,1.0,89.3
6,Jasson Domínguez,NYY,RF,21.0,21.645,97.8,193,1.2,91.4,83.0,97.0,58.3,62.3,86.3,94.2,84.6,89.3,85.4,98.3,71.4,79.7,77.1,94.1,88.3,97.0,-29.1,68.7,31.429,33.9,85.714,75.8,24.348,69.0,111.6,82.8,107.5,95.9,38.8,59.4,6.7,84.9,20.0,70.5,0.278,93.4,0.452,90.8,7.254,87.6,0.078,96.4,0.938,78.1
7,Caleb Durbin,MIL,3B,24.0,24.605,70.8,368,1.39,97.6,82.3,96.4,83.3,91.4,34.8,31.0,76.9,81.9,55.8,60.8,80.1,90.6,82.1,98.2,86.1,94.7,-8.0,98.3,28.553,49.4,89.628,92.8,16.08,96.5,107.3,25.8,100.5,17.4,25.5,9.2,2.4,29.8,24.2,89.0,0.238,61.0,0.335,39.6,6.961,84.4,0.077,95.6,0.906,75.7
8,Roman Anthony,BOS,LF,20.0,20.383,99.8,164,1.16,87.3,81.8,95.9,86.2,94.0,72.5,78.2,80.4,85.9,76.4,91.6,83.3,93.5,74.9,91.1,58.1,60.4,-18.9,91.1,21.964,87.8,86.74,79.9,23.684,71.5,112.5,88.8,108.4,97.8,45.5,87.7,4.9,65.5,12.7,28.4,0.257,81.0,0.393,70.2,5.678,64.3,0.03,66.6,0.714,36.4
9,Parker Meadows,DET,CF,24.0,24.912,64.7,234,1.18,90.2,81.2,95.3,77.2,85.4,70.6,76.2,62.4,63.9,66.5,79.7,69.8,77.3,74.8,90.5,84.9,93.8,-26.0,78.9,23.598,79.4,85.294,73.4,24.112,69.7,110.7,72.8,104.7,74.6,34.7,39.5,4.7,62.0,22.0,81.9,0.231,51.4,0.401,74.7,7.925,93.1,0.08,97.0,0.792,54.7
10,Kristian Campbell,BOS,2B,22.0,22.259,95.3,85,1.16,87.3,80.7,94.7,81.6,89.0,68.7,74.9,91.3,96.3,80.0,95.2,86.4,95.7,76.9,93.2,57.9,58.9,-27.1,74.6,22.018,87.1,89.623,92.6,18.182,91.1,111.2,79.0,105.3,80.4,46.2,89.5,4.7,62.0,13.5,31.6,0.267,90.0,0.415,79.7,5.025,53.2,0.047,82.8,0.667,30.5
11,Wade Meckler,SFG,LF,24.0,24.444,73.1,191,1.2,91.4,80.1,94.1,95.8,99.0,39.6,35.7,93.2,97.6,66.4,79.2,94.5,99.5,80.3,97.6,51.9,50.3,-16.3,94.8,19.126,96.5,90.0,93.4,15.0,97.0,104.5,8.1,100.8,20.1,28.6,18.7,3.7,46.8,12.5,26.3,0.274,93.1,0.411,78.0,5.716,66.0,0.015,39.3,0.75,47.0
12,Kyle Manzardo,CLE,1B,23.0,24.203,76.6,362,1.14,84.6,77.8,93.2,84.3,92.3,87.8,95.8,72.2,75.9,80.0,95.2,78.2,87.1,63.7,74.6,34.6,26.6,-20.7,88.1,23.585,79.8,84.392,68.5,21.799,81.4,111.6,82.8,104.6,72.8,45.2,86.6,8.0,93.5,24.3,89.5,0.251,75.8,0.485,94.9,4.132,37.2,0.008,22.8,0.75,47.0
13,Brooks Lee,MIN,3B,23.0,23.625,83.5,113,1.52,98.8,77.8,93.2,61.7,67.4,61.5,64.8,88.2,93.5,74.8,89.8,75.0,83.3,64.7,75.7,44.1,41.4,-20.4,88.8,34.286,19.9,87.705,85.9,26.289,56.5,108.1,34.4,101.3,24.6,31.8,28.8,6.2,81.8,17.5,57.6,0.268,90.6,0.43,84.4,4.005,33.5,0.009,24.0,1.0,89.3
14,Alek Thomas,ARI,CF,24.0,24.424,73.6,69,1.16,87.3,77.7,92.3,81.6,89.0,54.3,55.0,91.0,95.7,72.6,87.8,86.3,95.3,76.6,92.0,57.3,57.4,-24.6,82.6,24.812,72.5,90.0,93.4,17.699,92.6,108.2,35.9,104.5,71.0,43.4,79.7,4.3,56.5,11.3,20.0,0.265,88.5,0.389,68.0,5.092,55.3,0.014,36.7,1.0,89.3
15,Adrian Del Castillo,ARI,DH,24.0,25.01,62.3,466,1.33,96.4,77.6,91.7,73.8,82.8,88.5,96.8,78.4,83.7,83.4,97.3,76.1,84.4,55.0,54.4,12.9,10.1,-23.3,84.6,27.329,56.3,83.764,62.8,23.486,73.2,111.0,77.0,105.3,80.4,47.3,91.6,8.2,95.2,21.9,81.5,0.279,93.9,0.503,97.4,3.3,23.8,0.0,5.6,0.0,5.6
16,Zach Dezenzo,HOU,LF,24.0,24.389,74.3,112,1.21,92.6,77.3,91.1,62.6,68.2,85.8,93.4,76.5,80.8,81.2,96.3,69.6,76.9,60.7,69.2,43.0,39.9,-32.1,61.0,25.806,66.3,82.4,55.1,25.414,60.8,110.0,64.5,105.9,85.5,53.6,97.3,8.9,97.3,18.1,60.7,0.295,97.9,0.5,96.8,4.096,36.7,0.027,62.4,0.6,26.0
17,Nacho Alvarez Jr.,ATL,SS,21.0,21.473,98.3,288,1.1,79.6,76.8,90.5,88.5,95.5,46.6,45.3,85.2,89.7,65.9,78.0,86.8,96.0,79.6,97.0,65.1,72.2,-18.7,92.2,24.086,77.2,87.246,83.6,16.122,96.3,106.7,19.6,101.5,27.3,35.1,41.2,4.5,59.3,11.4,20.8,0.263,86.8,0.41,77.7,5.464,61.0,0.035,70.4,0.833,64.2
18,Iván Herrera,STL,DH,24.0,24.331,75.1,112,1.1,79.6,76.6,89.9,80.1,87.6,67.3,73.0,69.9,73.7,68.6,82.4,75.0,83.3,74.7,89.3,74.1,81.1,-18.8,91.6,25.385,69.0,84.783,70.7,24.51,68.0,109.6,56.9,105.3,80.4,45.2,86.6,4.5,59.3,20.5,73.2,0.245,69.1,0.405,75.6,6.293,74.9,0.027,62.4,1.0,89.3
19,Jordan Beck,COL,LF,23.0,23.45,85.8,189,1.25,95.0,76.0,89.3,46.0,45.8,71.2,76.9,56.3,57.2,63.8,74.4,51.2,52.7,59.2,65.1,75.3,82.8,-34.4,54.8,29.639,43.7,78.774,27.0,31.193,27.5,108.6,40.8,104.4,69.0,46.3,90.0,6.9,86.4,14.0,35.5,0.262,85.6,0.45,90.3,7.045,85.4,0.032,69.2,0.857,67.8
20,Nick Yorke,PIT,3B,22.0,22.497,94.3,342,1.1,79.6,75.6,88.8,78.3,86.1,63.6,67.7,86.2,90.6,74.9,90.3,82.2,92.6,73.8,87.6,56.8,56.2,-26.3,78.4,24.561,74.4,85.194,73.0,20.787,83.9,110.9,75.3,105.7,84.5,48.9,95.8,3.8,48.1,9.9,13.0,0.305,99.5,0.442,87.3,5.043,53.6,0.038,73.4,0.722,38.8
21,Jacob Wilson,ATH,SS,22.0,22.505,94.0,116,1.59,100.0,75.4,88.2,80.2,88.0,31.9,26.8,99.2,100.0,65.6,77.5,89.7,97.0,62.5,72.8,8.2,5.9,-0.8,100.0,31.429,33.9,99.2,100.0,4.712,100.0,106.1,14.5,100.2,15.3,28.7,19.7,1.7,18.6,20.8,75.6,0.298,98.3,0.377,63.0,2.443,12.2,0.0,5.6,0.0,5.6
22,Eguy Rosario,SDP,3B,24.0,25.101,59.9,412,1.21,92.6,75.2,87.6,55.9,59.3,70.4,75.9,45.3,44.3,57.8,64.0,50.6,51.6,59.3,65.7,76.6,84.0,-30.7,64.3,28.48,50.1,80.924,40.7,28.59,43.4,111.9,84.6,103.3,52.4,34.7,39.5,5.1,70.1,24.9,90.6,0.23,49.9,0.382,65.1,7.162,86.4,0.046,81.1,0.792,54.7
23,Drake Baldwin,ATL,C,23.0,23.51,85.0,334,1.03,74.3,73.9,87.0,86.4,94.3,82.8,90.1,81.4,87.2,82.1,96.8,83.9,93.9,66.6,79.0,31.9,23.1,-16.8,94.0,23.413,80.6,83.962,64.3,22.881,76.2,111.9,84.6,106.2,87.6,53.1,97.0,7.2,89.3,11.1,18.9,0.3,98.6,0.503,97.4,2.629,14.1,0.003,11.2,1.0,89.3
24,Darell Hernaiz,ATH,SS,22.0,23.159,87.8,157,1.16,87.3,73.7,86.4,73.0,80.9,33.5,28.9,80.9,86.4,57.2,63.0,77.0,85.5,71.8,84.3,61.4,66.3,-20.4,88.8,30.719,37.7,87.363,83.9,19.928,86.6,106.5,16.9,102.2,38.3,30.9,25.7,2.5,31.0,15.4,44.5,0.253,77.9,0.34,42.2,4.693,46.9,0.038,73.4,0.857,67.8
25,Dylan Crews,WSN,RF,22.0,22.593,92.8,238,1.03,74.3,73.2,85.8,63.8,69.2,73.3,80.4,73.6,78.5,73.4,88.6,68.7,75.4,71.8,84.3,78.0,86.1,-26.8,76.1,30.512,38.2,86.184,78.2,23.81,71.2,112.6,89.5,106.3,89.1,43.3,79.4,5.0,68.0,12.9,29.3,0.245,69.1,0.407,76.8,7.219,87.3,0.042,77.2,0.833,64.2
26,Lenyn Sosa,CHW,2B,24.0,24.682,70.0,112,1.16,87.3,72.8,85.2,58.6,63.0,81.0,87.7,76.5,80.8,78.8,94.0,67.6,74.6,57.9,61.5,38.7,30.8,-27.8,72.5,34.749,17.9,84.553,69.7,20.188,85.1,109.0,46.0,103.7,59.2,44.6,84.6,9.8,99.0,22.6,84.4,0.26,83.3,0.501,97.0,4.054,35.2,0.018,48.5,0.667,30.5
27,Addison Barger,TOR,RF,24.0,24.884,65.6,249,1.03,74.3,72.7,84.6,77.5,85.6,81.4,88.6,90.3,94.5,85.8,98.6,83.9,93.9,70.3,82.5,43.0,39.9,-22.5,86.4,26.494,61.8,87.786,86.1,22.066,78.7,113.2,91.3,106.5,91.3,43.8,81.1,5.2,71.5,18.6,64.9,0.281,94.5,0.449,89.7,4.035,34.5,0.016,42.3,0.8,57.7
28,Tyler Black,MIL,DH,23.0,24.181,77.1,459,1.01,70.4,72.4,84.0,84.6,92.8,50.4,49.1,74.4,78.9,62.4,72.6,79.5,89.1,79.0,95.9,78.1,87.0,-24.5,82.9,22.258,86.1,87.145,82.9,19.975,86.4,108.6,40.8,101.7,30.4,31.9,29.5,4.4,57.8,16.2,49.5,0.242,65.8,0.38,64.0,6.816,82.1,0.043,79.6,0.87,69.8
29,Ryan Bliss,SEA,2B,24.0,24.799,67.8,430,1.14,84.6,72.2,83.1,61.7,67.4,52.5,52.6,44.9,43.4,48.7,46.4,53.3,56.3,63.8,75.1,84.9,93.8,-31.2,62.9,24.327,75.9,77.073,20.8,29.294,37.5,107.3,25.8,103.4,54.1,43.7,80.5,4.7,62.0,12.6,27.4,0.245,69.1,0.392,69.5,7.562,90.1,0.115,100.0,0.794,55.6
30,Hunter Goodman,COL,C,24.0,24.98,63.1,139,1.23,93.5,72.2,83.1,36.4,31.8,95.6,99.8,56.0,56.3,75.8,90.9,46.2,45.0,47.3,41.4,49.5,47.6,-35.2,52.9,35.587,14.1,82.941,57.6,31.111,28.5,112.2,86.2,107.9,96.8,47.8,92.6,11.5,100.0,27.8,95.7,0.233,54.5,0.485,94.9,4.777,49.1,0.007,21.6,1.0,89.3
31,Tirso Ornelas,SDP,LF,24.0,24.556,71.6,543,1.12,83.1,72.0,82.2,68.2,75.2,66.0,71.0,87.3,92.8,76.6,91.8,77.8,86.6,65.0,76.3,39.4,33.7,-23.0,85.6,32.085,29.3,88.545,87.8,20.919,83.1,110.2,67.7,104.7,74.6,39.8,62.5,4.6,60.7,16.6,52.0,0.263,86.8,0.398,73.2,4.073,36.0,0.013,33.7,0.778,53.0
32,Tyler Soderstrom,ATH,LF,22.0,22.85,91.0,142,1.18,90.2,71.6,81.7,53.8,56.0,80.9,87.3,87.1,92.1,84.0,97.6,70.4,78.8,51.4,51.5,13.3,10.7,-38.6,44.4,25.46,68.5,86.928,81.6,26.695,55.3,112.1,85.2,108.0,97.1,55.8,98.8,5.6,77.4,13.8,33.7,0.273,92.6,0.46,92.3,3.391,24.8,0.0,5.6,0.0,5.6
33,Jhonkensy Noel,CLE,RF,22.0,23.211,87.3,284,1.24,94.1,71.5,80.8,37.1,32.3,91.9,98.6,44.4,42.3,68.2,82.1,40.8,37.7,40.7,31.4,40.6,35.5,-35.5,52.2,42.203,2.0,78.75,26.6,27.241,51.9,118.4,100.0,108.5,98.0,38.1,56.2,8.1,94.3,18.7,65.6,0.239,62.2,0.447,88.6,4.008,33.7,0.004,13.6,1.0,89.3
34,Ji Hwan Bae,PIT,CF,24.0,25.183,58.9,286,1.14,84.6,71.5,80.8,68.1,74.8,33.6,29.3,65.8,68.7,49.7,47.0,66.9,73.9,71.5,83.4,80.7,89.1,-30.4,65.4,24.603,73.9,81.963,51.1,24.812,66.0,108.4,38.1,103.5,55.8,38.1,56.2,1.7,18.6,8.4,8.4,0.256,80.6,0.353,48.6,7.338,88.8,0.048,84.9,0.824,61.8
35,Luis Matos,SFG,RF,22.0,22.672,92.3,373,1.05,76.3,70.9,79.6,72.5,80.1,58.1,59.1,85.9,90.3,72.0,87.0,79.2,88.7,68.3,81.1,46.6,43.8,-13.9,96.8,35.335,15.4,92.29,98.0,14.391,97.5,110.8,73.8,104.4,69.0,35.4,42.2,2.9,34.9,31.1,99.0,0.249,73.8,0.364,55.1,3.891,32.3,0.021,55.0,0.8,57.7
36,Javier Sanoja,MIA,3B,21.0,22.075,96.5,483,1.1,79.6,70.9,79.6,83.0,91.1,19.9,13.4,85.6,90.1,52.8,53.2,84.3,94.3,74.7,89.3,55.5,53.8,-3.3,99.5,29.462,44.4,93.273,99.0,9.53,99.8,109.3,51.1,99.5,11.2,25.6,9.7,0.0,3.2,14.7,40.9,0.247,72.1,0.299,19.9,5.439,60.8,0.028,64.5,0.7,34.6
37,Henry Davis,PIT,C,24.0,25.027,61.8,252,1.17,89.3,70.7,78.4,39.5,34.5,75.3,81.9,64.6,67.4,69.9,83.9,52.0,53.5,56.2,56.8,64.6,70.7,-36.9,49.4,32.514,27.0,82.166,52.4,30.247,33.7,109.7,58.6,105.1,78.3,38.9,60.3,5.2,71.5,26.1,92.8,0.252,76.9,0.431,84.6,5.126,56.1,0.031,68.3,0.889,73.1
38,Dalton Rushing,LAD,C,23.0,23.606,84.0,169,1.02,72.2,70.7,78.4,82.4,90.0,80.0,85.9,74.9,79.3,77.4,92.8,78.6,87.7,61.3,71.0,26.5,18.9,-24.8,81.4,21.189,91.3,83.249,58.3,23.656,71.7,109.7,58.6,105.4,81.9,40.6,67.2,6.5,83.7,19.8,69.5,0.27,91.6,0.491,95.3,2.938,19.4,0.012,31.7,0.667,30.5
39,Matt Shaw,CHC,RF,22.0,22.899,90.3,151,1.1,79.6,70.1,77.5,56.1,59.6,66.5,71.7,73.6,78.5,70.0,84.1,64.8,69.9,62.0,72.2,56.2,55.6,-27.1,74.6,31.736,31.0,83.108,57.8,27.953,47.6,109.5,55.5,105.9,85.5,38.4,58.3,4.6,60.7,12.9,29.3,0.266,89.3,0.443,87.6,5.11,55.7,0.039,75.1,0.667,30.5
40,Pete Crow-Armstrong,CHC,CF,22.0,22.519,93.8,111,1.16,87.3,69.7,76.9,17.9,10.7,80.2,86.2,40.3,39.1,60.2,68.7,29.1,20.7,51.6,52.1,96.7,100.0,-53.1,13.4,44.628,1.7,78.0,24.1,27.132,53.3,110.8,73.8,105.6,83.4,47.9,93.1,5.4,74.3,29.5,98.1,0.234,56.5,0.429,83.9,10.0,100.0,0.085,98.2,1.0,89.3
41,Coby Mayo,BAL,3B,22.0,22.806,91.5,388,1.11,82.0,69.2,76.3,45.6,45.2,95.2,99.5,66.4,69.9,80.8,95.8,56.0,59.8,47.8,43.8,31.5,21.9,-40.2,41.3,27.599,54.6,82.222,53.1,28.678,42.7,114.9,96.4,106.7,91.9,41.4,70.7,8.8,96.8,28.0,96.3,0.255,79.8,0.475,93.8,4.638,45.7,0.01,25.4,0.5,17.2
42,James Triantos,CHC,2B,21.0,21.67,97.5,93,1.04,75.7,69.1,75.7,64.5,70.5,21.6,15.1,85.2,89.7,53.4,55.0,74.8,82.6,78.7,95.3,86.4,95.9,-24.7,82.0,35.465,15.1,90.909,94.5,16.374,95.0,104.7,8.8,102.4,41.6,28.6,18.7,1.1,11.8,14.1,36.4,0.251,75.8,0.311,24.2,7.592,91.1,0.096,99.4,0.818,60.7
43,Gabriel Arias,CLE,3B,24.0,24.591,71.1,177,1.11,82.0,68.5,75.1,25.9,16.6,81.6,89.0,52.2,53.3,66.9,80.1,39.0,34.7,56.8,58.6,92.3,98.8,-41.2,37.3,38.788,6.5,78.855,27.5,31.549,26.3,112.9,90.7,107.5,95.9,48.0,93.5,7.3,90.3,5.5,2.5,0.252,76.9,0.434,85.5,8.293,95.5,0.062,90.8,1.0,89.3
44,Brett Baty,NYM,3B,24.0,24.882,65.8,268,1.03,74.3,68.2,74.6,59.7,64.5,91.9,98.6,80.5,86.1,86.2,99.0,70.1,77.8,57.3,60.7,31.6,22.5,-30.3,65.8,28.595,49.1,84.494,69.2,25.458,60.3,115.3,97.5,106.8,92.3,44.0,82.1,10.1,99.3,14.8,41.7,0.271,91.8,0.525,99.0,2.401,11.4,0.004,13.6,1.0,89.3
45,Lawrence Butler,ATH,RF,23.0,24.225,76.3,125,0.94,60.4,68.1,74.0,79.6,86.8,58.8,59.9,73.0,77.7,65.9,78.0,76.3,85.0,76.9,93.2,78.0,86.1,-25.6,79.7,24.436,74.7,88.971,89.6,19.9,86.8,111.6,82.8,107.5,95.9,42.9,77.9,4.0,50.7,9.4,11.8,0.234,56.5,0.342,42.8,6.261,73.3,0.056,88.2,0.875,71.3
46,Heliot Ramos,SFG,LF,24.0,25.065,60.7,133,1.07,77.5,67.6,73.4,38.2,33.3,86.0,93.8,70.0,74.1,78.0,93.5,54.1,57.3,58.8,63.9,68.2,75.1,-44.3,29.7,29.268,45.4,81.707,47.4,27.823,48.9,112.9,90.7,108.6,98.4,48.7,95.2,7.5,91.3,8.9,10.2,0.273,92.6,0.527,99.3,6.684,80.3,0.015,39.3,1.0,89.3
47,Josh Kasevich,TOR,SS,23.0,23.702,82.8,173,0.97,64.2,67.5,72.8,88.7,95.8,37.0,32.8,95.5,98.8,66.2,78.5,92.1,98.0,79.1,96.4,53.1,50.9,-20.9,87.8,22.956,82.9,95.812,99.8,10.606,99.5,109.0,46.0,104.2,65.8,37.9,54.8,1.7,18.6,5.3,2.1,0.269,91.2,0.36,52.9,4.084,36.5,0.017,46.2,1.0,89.3
48,Xavier Edwards,MIA,2B,24.0,25.144,59.4,116,1.0,68.3,67.4,71.9,89.7,96.0,15.6,9.2,98.2,99.8,56.9,62.4,94.0,99.1,85.0,100.0,67.1,74.0,-12.1,97.3,25.0,71.6,91.781,96.3,13.433,98.0,101.6,1.2,97.1,1.2,17.5,2.1,0.0,3.2,10.0,13.6,0.311,100.0,0.378,63.5,5.365,60.0,0.042,77.2,0.833,64.2
49,Jackson Holliday,BAL,2B,20.0,20.824,99.5,344,0.99,66.6,67.4,71.9,80.9,88.5,54.0,54.1,40.3,39.1,47.2,44.4,60.6,65.4,60.5,68.6,60.3,63.6,-23.3,84.6,19.852,94.3,78.663,26.1,27.273,51.4,108.2,35.9,103.6,57.4,48.2,93.8,4.4,57.8,14.1,36.4,0.233,54.5,0.39,68.5,5.085,55.1,0.023,57.1,0.889,73.1
