Rank,Name,Team,Pos,Age,ExactAge,Age_R,PA,PPPA,PPPA_R,Overall,Overall_R,Discipline,Discipline_R,Power,Power_R,Contact,Contact_R,ConPow,ConPow_R,ConDis,ConDis_R,ConDisSpd,ConDisSpd_R,Speed,Speed_R,BB%-2K%,BB%-2K%_R,Chase%,Chase%_R,ZContact%,ZContact%_R,Whiff%,Whiff%_R,MaxEV,MaxEV_R,EV90,EV90_R,HardHit%,HardHit%_R,Barrel%,Barrel%_R,PullAir%,PullAir%_R,xBA,xBA_R,xSLG,xSLG_R,Spd,Spd_R,SB_rate,SB_rate_R,SB_succ,SB_succ_R
50,Johnathan Rodríguez,CLE,RF,24.0,24.906,65.1,507,1.1,79.6,67.0,71.0,50.4,52.1,84.4,91.7,54.8,55.1,69.6,83.4,52.6,54.5,48.7,47.3,41.0,36.4,-38.0,46.2,26.06,65.3,81.531,46.2,29.214,38.7,116.8,99.0,108.2,97.5,54.8,98.3,7.3,90.3,10.5,16.0,0.24,63.5,0.429,83.9,3.668,29.3,0.016,42.3,0.8,57.7
51,Chase Meidroth,CHW,2B,22.0,23.19,87.5,558,0.96,63.0,66.9,70.4,98.4,99.9,25.2,18.1,86.8,91.3,56.0,61.5,92.6,98.4,78.2,94.7,49.5,47.6,-6.6,98.5,17.656,98.0,92.844,98.8,11.625,99.0,108.1,34.4,101.6,28.9,34.3,38.1,1.4,14.3,11.6,22.5,0.25,74.7,0.329,34.6,5.025,53.2,0.023,57.1,0.684,33.1
52,Juan Brito,CLE,2B,22.0,23.017,89.8,647,1.0,68.3,66.4,69.8,82.5,90.3,50.2,48.3,61.0,63.0,55.6,59.7,71.8,79.9,61.5,71.6,41.0,36.4,-19.0,90.8,25.328,69.2,85.12,72.0,21.735,81.6,108.0,33.0,101.9,33.4,33.4,35.2,4.2,54.3,22.8,85.5,0.23,49.9,0.364,55.1,3.852,32.0,0.02,53.0,0.722,38.8
53,Jordan Diaz,ATH,2B,23.0,24.131,77.3,436,1.12,83.1,66.1,69.2,53.3,55.3,72.7,78.9,90.8,95.0,81.8,96.5,72.0,80.3,50.1,49.1,6.3,4.1,-28.0,71.7,35.076,16.1,88.117,86.8,25.206,63.3,112.2,86.2,105.6,83.4,42.8,77.0,4.8,63.6,13.5,31.6,0.282,94.8,0.444,88.0,1.831,7.4,0.0,5.6,0.0,5.6
54,Leo Jiménez,TOR,3B,23.0,23.373,86.5,225,0.9,55.0,65.8,68.6,92.0,97.0,60.5,62.7,93.3,98.0,76.9,92.1,92.6,98.4,74.7,89.3,38.9,31.4,-16.9,93.7,21.121,91.8,88.98,90.1,19.825,87.8,109.0,46.0,102.7,45.3,43.8,81.1,4.9,65.5,13.6,32.3,0.29,96.5,0.457,92.1,4.244,38.5,0.013,33.7,0.75,47.0
55,Curtis Mead,CHW,3B,23.0,23.929,80.0,409,1.0,68.3,64.6,68.0,60.1,65.6,62.0,65.3,57.2,58.1,59.6,67.5,58.6,62.8,59.1,64.5,59.9,62.7,-24.4,83.1,37.5,8.6,84.368,68.0,21.904,80.1,111.0,77.0,103.7,59.2,37.2,51.9,4.9,65.5,17.1,54.2,0.228,46.3,0.354,49.6,6.551,78.2,0.027,62.4,0.647,27.2
56,Matthew Lugo,LAA,LF,23.0,23.395,86.3,146,0.98,65.4,64.5,67.5,41.7,37.7,82.4,89.7,51.8,53.0,67.1,80.4,46.8,45.9,58.2,62.1,81.1,89.9,-43.8,30.8,27.931,53.3,80.328,35.9,27.273,51.4,111.2,79.0,104.7,74.6,38.5,58.8,6.8,85.5,27.5,94.7,0.244,67.7,0.418,80.6,6.249,72.7,0.048,84.9,1.0,89.3
57,Drew Romo,COL,C,22.0,23.088,88.5,365,1.06,76.9,63.2,66.6,50.3,51.9,40.5,37.2,87.0,91.8,63.8,74.4,68.6,75.2,59.6,66.9,41.4,37.3,-31.8,61.5,36.656,10.7,92.541,98.3,21.613,81.9,107.8,30.6,100.3,16.1,28.7,19.7,3.0,36.2,25.3,91.4,0.251,75.8,0.36,52.9,5.058,54.1,0.008,22.8,0.75,47.0
58,T.J. Rumfield,NYY,1B,24.0,24.372,74.6,473,0.99,66.6,63.2,66.6,77.0,85.1,54.3,55.0,88.0,93.3,71.2,86.1,82.5,92.8,61.2,70.1,18.5,14.2,-24.1,83.4,27.105,58.1,88.418,87.6,18.928,89.6,108.5,39.2,102.2,38.3,38.0,55.5,4.4,57.8,15.0,42.7,0.265,88.5,0.419,81.3,2.845,18.6,0.006,19.2,0.5,17.2
59,Rhylan Thomas,SEA,LF,24.0,24.46,72.6,381,1.02,72.2,63.0,65.7,71.8,78.9,10.5,5.0,68.8,71.8,39.6,29.2,70.3,78.3,68.5,81.7,64.9,71.6,-12.0,97.5,36.481,11.2,92.07,97.0,12.435,98.5,105.8,12.8,97.5,2.9,21.6,6.3,0.3,6.8,12.1,24.4,0.224,40.7,0.285,14.8,5.214,57.8,0.038,73.4,0.833,64.2
60,Jonatan Clase,TOR,LF,22.0,22.357,95.0,417,0.92,57.7,62.0,65.1,44.6,43.2,63.4,67.2,83.1,88.3,73.2,88.3,63.8,69.0,70.3,82.5,83.2,91.7,-41.0,37.8,29.194,45.9,86.434,78.4,25.638,59.6,110.0,64.5,102.1,36.6,36.6,48.5,5.0,68.0,17.2,55.2,0.264,87.7,0.422,82.8,8.292,95.3,0.089,98.8,0.745,42.0
61,Junior Caminero,TBR,3B,20.0,21.24,99.0,236,0.96,63.0,60.7,64.5,51.7,53.3,89.0,97.3,78.9,84.9,84.0,97.6,65.3,70.5,48.0,44.7,13.4,11.2,-35.6,51.9,29.746,43.4,85.121,72.2,25.17,63.8,117.2,99.4,109.7,100.0,56.9,99.0,8.1,94.3,14.3,37.7,0.262,85.6,0.436,86.4,2.34,10.9,0.004,13.6,0.5,17.2
