PlayerId,MLBAM_ID,Season,Name,Team,Level,League,Age,G,GS,IP,ER,K,BB,IBB,HRA,H,HBP,BF,W,L,SV,SVO,HLD,BS,CG,SHO,WP
7992,429716,2006,J.D. Durbin,MIN,AAA,International League,24,16,16,89.0,23,81,50,1,3,67,5,381,4,3,0,0,0,0,0,0,3
2625,445104,2006,Brad Salmon,CIN,AAA,International League,26,39,0,57.666666666666664,15,72,27,0,3,36,2,232,5,1,3,6,7,3,0,0,6
6244,452733,2006,Tom Gorzelanny,PIT,AAA,International League,23,16,16,99.66666666666667,26,94,27,1,4,67,2,378,6,5,0,0,0,0,0,0,3
467565,467565,2006,Esteban Hernandez,OAX,AAA,Mexican League,25,51,0,60.666666666666664,16,40,13,0,4,64,0,246,6,2,0,1,15,1,0,0,1
1780,429981,2006,Roy Corcoran,WSH,AAA,Pacific Coast League,26,28,0,33.666666666666664,9,37,25,2,0,24,2,152,2,4,11,14,0,3,0,0,3
2063,407842,2006,Jose Veras,NYY,AAA,International League,25,50,0,59.666666666666664,16,68,19,2,3,49,1,246,5,3,21,24,4,3,0,0,1
439913,439913,2006,Jose Rodriguez,TB,AAA,International League,24,49,2,74.0,20,62,27,1,4,69,3,312,4,2,1,4,6,3,0,0,5
85,407795,2006,John Ennis,DET,AAA,International League,26,22,1,36.666666666666664,10,32,13,0,2,30,1,149,0,1,0,0,3,0,0,0,1
5567,457465,2006,Josh Sharpless,PIT,AAA,International League,25,23,0,33.0,9,30,15,2,1,32,0,146,1,1,1,1,4,0,0,0,3
3580,450351,2006,C.J. Wilson,TEX,AAA,Pacific Coast League,25,9,0,11.0,3,17,5,0,0,10,0,48,1,0,2,2,1,0,0,0,1
3970,465629,2006,Edward Mujica,CLE,AAA,International League,22,22,0,32.666666666666664,9,29,5,0,1,31,1,130,3,1,5,7,0,2,0,0,1
1669,425656,2006,Wilfredo Ledezma,DET,AAA,International League,25,12,12,71.33333333333333,20,66,23,1,6,60,3,290,4,3,0,0,0,0,0,0,0
3720,430913,2006,Brad Hennessey,SF,AAA,Pacific Coast League,26,2,2,10.666666666666666,3,7,1,0,1,11,0,45,0,1,0,0,0,0,0,0,0
7613,448592,2006,Cla Meredith,SD,AAA,Pacific Coast League,23,32,0,46.0,13,38,9,1,3,42,0,183,3,0,2,5,3,3,0,0,0
7105,435039,2006,Anthony Reyes,STL,AAA,Pacific Coast League,24,13,13,84.0,24,82,11,0,9,70,2,333,6,1,0,0,0,0,0,0,7
2115,408046,2006,Andrew Brown,CLE,AAA,International League,25,39,0,62.333333333333336,18,53,36,1,5,52,4,276,5,4,5,6,3,1,0,0,9
5768,457826,2006,Tom Mastny,CLE,AAA,International League,25,24,0,38.0,11,46,16,2,0,25,4,158,2,1,0,0,2,0,0,0,2
3109,435679,2006,Jon Huber,SEA,AAA,Pacific Coast League,24,29,0,41.333333333333336,12,38,10,0,3,46,3,179,3,1,12,13,0,1,0,0,4
4078,460370,2006,Rafael Perez,CLE,AAA,International League,24,13,0,27.333333333333332,8,33,8,1,0,20,2,112,0,3,0,3,4,3,0,0,6
7059,448306,2006,James Shields,TB,AAA,International League,24,10,10,61.333333333333336,18,64,6,0,3,60,2,241,3,2,0,0,0,0,0,0,4
468850,468850,2006,Cupertino Leon,OAX,AAA,Mexican League,26,53,0,51.0,15,32,20,3,4,49,5,222,6,4,5,7,12,2,0,0,1
4366,434578,2006,Joe Saunders,LAA,AAA,Pacific Coast League,25,21,20,135.0,40,97,38,0,12,117,3,545,10,4,0,0,0,0,1,1,2
6176,435044,2006,Scott Baker,MIN,AAA,International League,24,12,12,84.33333333333333,25,68,25,4,4,77,4,352,5,4,0,0,0,0,1,0,5
4886,460580,2006,Chuck James,ATL,AAA,International League,24,7,6,33.666666666666664,10,25,6,0,3,30,0,135,1,0,0,0,0,0,0,0,1
4363,444520,2006,Craig Breslow,BOS,AAA,International League,25,39,0,67.0,20,77,24,0,3,49,4,278,7,1,7,11,4,4,0,0,6
4930,452657,2006,Jon Lester,BOS,AAA,International League,22,11,11,46.666666666666664,14,43,25,0,5,43,0,207,3,4,0,0,0,0,0,0,0
