Season,Name,Team,Level,Age,wRC+,BB/K,wOBA,SwStr%,HR/FB,K%,GB/FB,ISO,PA,BB/K,PlayerId,MinorMasterId,NameASCII,MLBAMID,PlayerTeamId
2026,"Zac Veen","COL","AAA",24,135.92858768991465,0.542857142,0.43231782642437644,0.11428571,0.202531645,0.206489675,1.088607594,0.278523489,339,0.542857142,"27770","sa3014516","Zac Veen",691728,19
2026,"Thomas Saggese","STL","AAA",24,80.62171164678082,0.578947368,0.3145650385581341,0.1037234,0.111111111,0.193877551,0.777777777,0.168674699,98,0.578947368,"27883","sa3014503","Thomas Saggese",695336,28
2026,"Alejandro Osuna","TEX","AAA",23,103.94392770441965,1.166666666,0.3608476561729354,0.04830918,0.058823529,0.12,2.117647058,0.095238095,100,1.166666666,"27915","sa3015127","Alejandro Osuna",696030,13
2026,"Petey Halpin","CLE","AAA",24,92.4290557250719,0.4,0.32997501761184456,0.11048951,0.094339622,0.207253886,0.867924528,0.16091954,193,0.4,"27931","sa3014461","Petey Halpin",690984,5
2026,"Adael Amador","COL","A",23,130.62472692919673,0,0.40750250220298767,0.03333333,0,0.1,0.75,0.111111111,10,0,"27962","sa3014682","Adael Amador",691182,19
2026,"Adael Amador","COL","AAA",23,85.23640284522949,1.194444444,0.350506905052397,0.06696429,0.073529411,0.124567474,1.382352941,0.120833333,289,1.194444444,"27962","sa3014682","Adael Amador",691182,19
2026,"Maximo Acosta","MIA","AAA",23,65.72254861363555,0.3,0.2820802695221371,0.08474576,0.09090909,0.277777777,1.272727272,0.138461538,72,0.3,"27963","sa3014711","Maximo Acosta",691185,20
2026,"Deyvison De Los Santos","MIA","AAA",23,107.73596610406553,0.358490566,0.34858427051941837,0.11834862,0.161290322,0.187279151,1.483870967,0.177606178,283,0.358490566,"27969","sa3015168","Deyvison De Los Santos",691277,20
2026,"Jose Fernandez","ARI","AAA",22,56.00318657076257,0.384615384,0.30365520145582114,0.12385321,0.117647058,0.226086956,2.176470588,0.142857143,115,0.384615384,"28020","sa3015204","Jose Fernandez",699912,15
2026,"Edgar Quero","CHW","AAA",23,50.25187118962323,0.333333333,0.27837817485515887,0.07894737,0.166666666,0.153846153,2.666666666,0.114285714,39,0.333333333,"28022","sa3015239","Edgar Quero",700337,4
2026,"Jasson Dominguez","NYY","AAA",23,135.7022495739297,0.7,0.39985809739558925,0.0845987,0.151515151,0.16,0.878787878,0.181818182,125,0.7,"28080","sa3014696","Jasson Dominguez",691176,9
2026,"Jhostynxon Garcia","PIT","AAA",23,85.1954491081685,0.361702127,0.31770298111697903,0.14876033,0.151515151,0.255434782,1.696969696,0.136645963,184,0.361702127,"28142","sa3015523","Jhostynxon Garcia",691373,27
2026,"Jhostynxon Garcia","PIT","A",23,196.16849158605797,0.4,0.5107460832595825,0.16666667,0.5,0.2,1.166666666,0.454545455,25,0.4,"28142","sa3015523","Jhostynxon Garcia",691373,27
2026,"Blaze Jordan","STL","AAA",23,136.20281728813936,0.655172413,0.4025456439408045,0.09845789,0.215686274,0.115079365,1.784313725,0.234782608,252,0.655172413,"28199","sa3014537","Blaze Jordan",691458,28
2026,"Jeferson Quero","MIL","AAA",23,108.53254381837007,0.5,0.35317760626475014,0.13533835,0.14084507,0.199335548,1.14084507,0.173745174,301,0.5,"28272","sa3015407","Jeferson Quero",691620,23
2026,"Tsung-Che Cheng","BOS","AAA",24,102.75864574828566,0.533333333,0.34997945300704764,0.12280702,0.116666666,0.25,0.966666666,0.170731707,240,0.533333333,"28344","sa3015376","Tsung-Che Cheng",691907,3
2026,"Yanquiel Fernandez","NYY","AAA",23,95.94782841424644,0.314285714,0.33692991343978185,0.15004337,0.22368421,0.228758169,1.105263157,0.220640569,306,0.314285714,"28552","sa3015648","Yanquiel Fernandez",692585,9
2026,"Denzer Guzman","LAA","AAA",22,136.09211325563427,0.5625,0.426944605450132,0.10348361,0.176470588,0.179104477,1.132352941,0.235294118,268,0.5625,"28816","sa3015711","Denzer Guzman",694203,1
2026,"Moises Ballesteros","CHC","AAA",22,78.38336459743205,1.1,0.3197302095817797,0.09704641,0,0.149253731,1.0625,0.094339623,67,1.1,"28820","sa3015713","Moises Ballesteros",694208,17
