Name,Org,MLBAMId,MinorMasterId,Age,AgeDays,PA,AB,BA,OBP,SLG,ISO,HR,BB,K,BB%,K%,wRC+,BABIP,wOBA,xwOBA,Chase%,ZContact%,SwStr%,Zone%,ZSwing%,Whiff%,MaxEV,EV90,AvgEV,HardHit%,Barrel%BBE,Barrel%PA,xBA,xSLG,PullAir%,GB%,FB%,LD%,LA,Spd,wBsR,wBsR/PA,PSScore,Season,Level
Paulino Santana,TEX,815889.0,sa3023718,19.0,6935,566,469,0.264392324,0.387610619,0.43283582,0.16844349600000003,15,80,141,14.134275600000002,24.9116607,125.4155631925942,0.34713375700000004,0.3922210510853117,0.0,26.774193548387103,77.27975270479135,12.703582999999998,44.76614699331849,64.37810945273633,30.638297872340427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.583815028901732,44.9685534,26.415094300000003,28.6163522,0.0,6.6361725945622485,0.10664816945791243,0.00018842432766415628,27.76736916262395,2026,A
Joendry Vargas,LAD,806959.0,sa3021067,20.0,7300,554,515,0.293203883,0.33273056,0.452427184,0.15922330099999998,12,27,104,4.8736462000000005,18.772563100000003,94.80473379372394,0.344059405,0.3499737117863909,0.0,41.560975609756106,84.93353028064993,11.993849,47.730749617542074,72.32905982905983,23.083941605839414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.55023923444976,45.18518510000001,30.3703703,24.4444444,0.0,6.810746610336559,-1.6206447407603264,-0.002925351517617918,19.136305671142193,2026,A
Lorenzo Meola,SFG,823768.0,sa3037876,22.0,8030,547,476,0.268907563,0.35283363799999995,0.468487394,0.199579831,15,52,133,9.5063985,24.3144424,102.98162792002869,0.338323353,0.36736048847927255,0.0,30.882352941176467,83.80503144654087,11.369991,46.45669291338583,63.4097706879362,25.910931174089068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.329545454545453,40.5325443,33.431952599999995,26.035502899999997,0.0,7.0854559934609105,-0.3358113970607519,-0.0006139148026704787,13.255120554788125,2026,A
Jaden Fauske,CHW,828262.0,sa3069258,19.0,6935,538,436,0.25,0.388475836,0.36009174299999996,0.110091743,4,94,125,17.472118899999998,23.2342007,109.05880218664852,0.339805825,0.37019200163259824,0.0,22.241231822070144,85.6655290102389,8.547794,46.52333028362307,57.620452310717795,23.93681652490887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.643312101910827,56.2913907,24.5033112,19.205298000000006,0.0,8.297274130419927,2.9863681085407734,0.005550870090224486,32.23329680222805,2026,A
Yolfran Castillo,TEX,815931.0,sa3023726,19.0,6935,537,447,0.286353467,0.389513108,0.416107382,0.129753915,8,70,71,13.0353817,13.2216014,121.58495994397086,0.32,0.3857923833171973,0.0,28.378378378378375,90.1060070671378,6.2588240000000015,45.78754578754579,56.6,17.417061611374407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75,44.444444399999995,30.8943089,24.6612466,0.0,7.7643555954062276,4.856891222298144,0.009044490171877364,34.762897217488714,2026,A
Handelfry Encarnacion,MIL,821136.0,sa3024124,19.0,6935,531,432,0.25,0.378531073,0.40509259200000003,0.155092592,12,86,94,16.1958568,17.702448200000006,111.0068070898915,0.289156626,0.3768746380303089,0.0,23.942470389170893,83.78787878787878,10.771543,43.09099662975446,73.74301675977654,24.781659388646286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.56179775280899,42.4242424,31.5151515,26.060606,0.0,5.574331613427916,-2.1080517321825027,-0.003969965597330514,30.406160962716022,2026,A
Ching-Hsien Ko,LAD,828667.0,sa3025230,19.0,6935,531,430,0.260465116,0.39171374700000006,0.469767441,0.209302325,21,89,128,16.7608286,24.1054613,118.48473538143914,0.318181818,0.38980615578436895,0.0,24.45193929173693,80.62593144560356,12.81337,45.496323529411754,67.77777777777779,30.92243186582809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,37.6666666,34.3333333,28.000000000000004,0.0,4.5415576166065135,-1.6169638577848673,-0.003045129675677716,28.04762705035787,2026,A
Cooper Flemming,TBR,828237.0,sa3069260,19.0,6935,518,447,0.297539149,0.379110251,0.449664429,0.15212528,11,51,89,9.845559800000002,17.1814671,126.04699279821371,0.344632768,0.3897201318574828,0.0,30.985915492957744,86.35607321131448,9.828393,47.38142292490119,62.669447340980184,22.10884353741497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.404699738903394,43.9226519,32.044198800000004,24.0331491,0.0,5.829606568469403,-1.847697380930185,-0.0035669833608690834,29.004871524046443,2026,A
Coy James,WSN,815983.0,sa3069277,19.0,6935,514,432,0.219907407,0.330739299,0.40509259200000003,0.185185185,19,65,120,12.645914300000001,23.3463035,96.79410636256985,0.253333333,0.3474099999040017,0.0,29.73222530009233,83.86554621848741,12.31011,44.51844262295082,68.46950517836594,29.10112359550562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.71771771771772,38.2165605,41.71974520000001,20.063694199999997,0.0,8.067250466699477,4.041259020566939,0.007862371635344242,25.34696013219468,2026,A
Brady Ebel,MIL,815816.0,sa3069149,18.0,6570,494,383,0.261096605,0.41700404799999996,0.420365535,0.15926893,10,96,101,19.4331983,20.445344100000003,128.00763029018722,0.32490974699999997,0.40540608256934624,0.0,20.56737588652482,85.47579298831386,9.204602,44.54277286135692,66.11479028697572,24.96940024479804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.123287671232873,47.9853479,26.7399267,25.2747252,0.0,7.452291551104574,5.0324314050376415,0.010187108107363646,39.359303408007605,2026,A
