Name,Org,MLBAMId,MinorMasterId,Age,AgeDays,PA,AB,BA,OBP,SLG,ISO,HR,BB,K,BB%,K%,wRC+,BABIP,wOBA,xwOBA,Chase%,ZContact%,SwStr%,Zone%,ZSwing%,Whiff%,MaxEV,EV90,AvgEV,HardHit%,Barrel%BBE,Barrel%PA,xBA,xSLG,PullAir%,GB%,FB%,LD%,LA,Spd,wBsR,wBsR/PA,PSScore,Season,Level
Rashawn Pinder,TEX,816344.0,sa3023729,17,6205,270,221,0.0,0.0,0.0,0.12217194599999999,3,0.0,58,13.333333300000001,21.4814814,117.17140880620406,0.34969325100000004,0.3982332444102348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.655913978494624,39.0243902,42.073170700000006,18.902439,0.0,9.055703592020288,2.369471549987793,0.008775820555510344,30.552124476156894,2024,Rk
Paulino Santana,TEX,815889.0,sa3023718,17,6205,260,195,0.0,0.0,0.0,0.071794872,0,0.0,38,20.0,14.615384599999999,141.23219856531682,0.360759493,0.4418355707938855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090908,43.5897435,35.256410200000005,21.153846100000006,0.0,8.10637380914913,0.8093405999243259,0.0031128484612474075,35.2420668308963,2024,Rk
Wilder Dalis,COL,815195.0,sa3022347,17,6205,256,202,0.0,0.0,0.0,0.123762376,3,0.0,34,16.40625,13.28125,147.56796863149611,0.370588235,0.4487989465082724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.714285714285714,50.0,27.380952299999997,22.6190476,0.0,6.891642979237594,0.05542685091495514,0.0002165111363865435,35.09956858237811,2024,Rk
Curley Martha,TEX,815907.0,sa3023722,17,6205,248,206,0.0,0.0,0.0,0.145631068,5,0.0,55,11.2903225,22.1774193,125.0183465302033,0.358108108,0.4124532572684749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.91812865497076,36.0,44.6666666,19.3333333,0.0,8.235413336912412,1.29522804915905,0.005222693746609073,30.26962794839274,2024,Rk
Kelvin Hidalgo,COL,800193.0,sa3018472,19,6935,247,222,0.0,0.0,0.0,0.076576576,1,0.0,58,7.6923076,23.4817813,85.86150300101849,0.38181818100000003,0.34350292018202483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,97.5,77.7,22.2,0.0,0.0,0.0,0.0,8.13953488372093,56.44171770000001,25.7668711,17.791411,-13.0,8.200892202999928,1.051750186830759,0.0042580979223917365,12.601434108440426,2024,Rk
Daniel Flames,TEX,821599.0,sa3023951,17,6205,245,170,0.0,0.0,0.0,0.070588236,0,0.0,37,25.714285699999998,15.1020408,169.99893199184137,0.417910447,0.4936964370188166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.459459459459461,48.091603000000006,25.9541984,25.9541984,0.0,6.611177631194751,-0.951731201261282,-0.003884617148005233,34.987903288217645,2024,Rk
Roynier Hernandez,COL,800281.0,sa3018495,19,6935,243,200,0.0,0.0,0.0,0.055,0,0.0,36,16.0493827,14.814814800000002,113.63998815187206,0.367469879,0.39213751638231203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.6,97.5,91.8,37.5,0.0,0.0,0.0,0.0,5.172413793103448,59.6385542,16.867469800000002,23.4939759,-14.1,5.964314119466254,0.6717730364762247,0.002764498092494752,17.93945918799765,2024,Rk
Kyle Henley,CIN,806120.0,sa3023012,19,6935,241,207,0.0,0.0,0.0,0.125603865,2,0.0,79,9.128630699999999,32.780082900000004,95.45250248316323,0.440944881,0.3760922675851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.615384615384616,63.2,15.2,21.6,0.0,9.935618900086565,5.005652029067279,0.02077034036957377,14.664087457530739,2024,Rk
Angel Cepeda,CHC,806980.0,sa3021080,18,6570,240,208,0.0,0.0,0.0,0.129807692,3,0.0,59,11.25,24.5833333,111.8435591807835,0.398648648,0.387944637487332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.1,87.2,83.8,0.0,0.0,0.0,0.0,0.0,13.245033112582783,49.668874100000004,31.1258278,19.205298000000006,34.5,8.460798702212102,0.5254664625972509,0.002189443594155212,22.246844082695596,2024,Rk
Andry Batista,TEX,821614.0,sa3023956,17,6205,239,186,0.0,0.0,0.0,0.134408602,4,0.0,68,19.2468619,28.451882799999996,123.01646021983295,0.370689655,0.4083406419313255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.923664122137405,46.0869565,32.173913,21.739130399999997,0.0,8.131300522653204,1.5034094713628292,0.006290416198170833,31.37128107436386,2024,Rk
