Name,Org,MLBAMId,MinorMasterId,Age,AgeDays,PA,AB,BA,OBP,SLG,ISO,HR,BB,K,BB%,K%,wRC+,BABIP,wOBA,xwOBA,Chase%,ZContact%,SwStr%,Zone%,ZSwing%,Whiff%,MaxEV,EV90,AvgEV,HardHit%,Barrel%BBE,Barrel%PA,xBA,xSLG,PullAir%,GB%,FB%,LD%,LA,Spd,wBsR,wBsR/PA,PSScore,Season,Level
James Tibbs III,LAD,696486.0,sa3025333,23.0,8725,555,452,0.292,0.414,0.546,0.254,27,93.0,125,16.8,22.5,0.0,0.344,0.414,0.382,20.42586750788644,78.23129251700679,12.687526789541364,45.64937848264038,69.01408450704226,29.8,110.2,104.9,91.8,50.2,14.3,8.468468468468469,0.254,0.493,12.2,0.0,0.0,0.0,12.8,5.10231,-0.195708,-0.00035262702702699994,48.51599945755914,2026,AAA
Zach Ehrhard,LAD,701394.0,sa3025247,23.0,8616,554,456,0.285,0.39899999999999997,0.47100000000000003,0.18600000000000003,19,85.0,111,15.3,20.0,0.0,0.33299999999999996,0.382,0.34,22.495894909688012,83.28075709779179,8.61013986013986,46.765734265734274,59.252336448598136,21.7,111.0,102.4,87.0,33.0,7.4,4.693140794223827,0.245,0.38,20.0,0.0,0.0,0.0,18.2,5.929069999999999,-2.0060700000000002,-0.0036210649819494,43.65500272337545,2026,AAA
Jonathon Long,MIA,675085.0,sa3022864,24.0,8982,527,454,0.278,0.371,0.445,0.16699999999999998,13,66.0,116,12.5,22.0,0.0,0.34600000000000003,0.36,0.325,24.75490196078432,81.23076923076924,9.743589743589745,47.69230769230769,58.243727598566316,23.9,111.7,106.1,90.9,43.8,7.4,4.743833017077799,0.239,0.384,10.8,0.0,0.0,0.0,11.2,3.5930800000000005,-0.60914,-0.0011558633776091,41.91378472099206,2026,AAA
Charlie Condon,COL,809707.0,sa3025257,23.0,8533,518,431,0.271,0.38799999999999996,0.506,0.23399999999999999,22,67.0,128,12.9,24.7,0.0,0.335,0.389,0.35,19.63636363636364,79.29936305732485,11.92528735632184,47.31800766283526,63.56275303643726,29.5,112.6,105.9,89.5,41.3,9.8,5.791505791505793,0.242,0.41,19.6,0.0,0.0,0.0,12.7,6.574889999999999,-1.26086,-0.0024340926640926,47.38153652696997,2026,AAA
BJ Murray,CHC,681230.0,sa3017287,26.0,9727,515,435,0.292,0.39399999999999996,0.499,0.207,16,69.0,110,13.4,21.4,0.0,0.355,0.389,0.364,22.495755517826826,83.54792560801144,10.714285714285714,46.74502712477396,67.60154738878143,24.6,111.3,103.6,90.3,45.7,8.2,5.242718446601941,0.27,0.451,22.4,0.0,0.0,0.0,18.1,5.98041,-1.39444,-0.0027076504854368,37.37680077050169,2026,AAA
Josh Kasevich,TOR,688460.0,sa3020203,25.0,9350,511,453,0.289,0.366,0.375,0.086,4,48.0,57,9.4,11.2,0.0,0.322,0.33399999999999996,0.311,20.799180327868854,93.78427787934184,4.434011476264997,49.08711528429839,58.12964930924547,11.3,110.0,102.4,88.5,36.5,1.0,0.7827788649706457,0.265,0.337,11.3,0.0,0.0,0.0,8.1,4.697690000000001,-1.36375,-0.0026687866927592,34.76701072446836,2026,AAA
Noah Miller,LAD,695653.0,sa3017512,23.0,8685,510,451,0.257,0.322,0.401,0.14400000000000002,10,48.0,89,9.4,17.5,0.0,0.293,0.316,0.303,30.784508440913605,88.5145482388974,10.153061224489797,48.622448979591844,68.52046169989507,20.7,104.5,100.9,87.8,33.8,4.6,3.333333333333333,0.25,0.36700000000000005,11.5,0.0,0.0,0.0,12.5,5.78241,-0.128089,-0.0002511549019607,30.237644695416762,2026,AAA
Ryan Bliss,SEA,669208.0,sa3016951,26.0,9749,495,441,0.263,0.32899999999999996,0.395,0.132,7,37.0,103,7.5,20.8,0.0,0.322,0.32,0.301,26.326326326326328,79.50937950937951,12.448770491803279,48.82172131147541,72.71773347324239,25.4,109.1,100.4,87.8,35.7,5.8,4.040404040404041,0.23800000000000002,0.361,14.6,0.0,0.0,0.0,11.7,6.15698,-2.1196200000000003,-0.0042820606060606,25.28399030491899,2026,AAA
Jace Jung,DET,690291.0,sa3019992,25.0,9453,493,413,0.223,0.34299999999999997,0.42100000000000004,0.19899999999999998,20,75.0,103,15.2,20.9,0.0,0.24600000000000002,0.33899999999999997,0.318,23.574879227053128,82.28840125391851,10.908193484698913,48.91411648568608,64.37941473259336,25.1,110.7,103.4,88.4,36.2,9.0,5.679513184584177,0.21100000000000002,0.369,16.9,0.0,0.0,0.0,13.9,2.60311,-0.668007,-0.0013549837728194,34.22385270174212,2026,AAA
Nick Morabito,NYM,703492.0,sa3020418,23.0,8510,493,416,0.245,0.348,0.382,0.13699999999999998,13,56.0,106,11.4,21.5,0.0,0.297,0.32799999999999996,0.324,23.460410557184748,86.12040133779264,8.52475752935171,47.77947932618683,63.88888888888889,19.9,110.4,101.0,86.6,31.1,5.0,3.2454361054766734,0.247,0.37,14.8,0.0,0.0,0.0,8.7,7.2084,5.27283,0.0106953955375253,40.13810333329455,2026,AAA
Jack Suwinski,TBR,669261.0,sa918314,28.0,10253,483,416,0.272,0.36,0.495,0.22399999999999998,21,56.0,113,11.6,23.4,0.0,0.319,0.37,0.33399999999999996,25.54605887939221,80.62593144560356,11.111111111111109,48.23008849557522,68.39959225280326,24.0,115.0,106.2,89.9,44.0,11.1,7.039337474120082,0.23600000000000002,0.428,22.3,0.0,0.0,0.0,16.3,4.68847,0.15906700000000001,0.0003293312629399,29.416095175353284,2026,AAA
Nelson Rada,LAA,703185.0,sa3018421,21.0,7673,471,399,0.258,0.363,0.348,0.09,3,62.0,94,13.2,20.0,0.0,0.327,0.324,0.28300000000000003,23.558648111332012,84.25655976676384,11.065782763895971,48.69964303926568,71.8324607329843,23.5,109.6,94.7,81.0,10.9,0.0,0.0,0.226,0.262,8.1,0.0,0.0,0.0,5.6,7.867389999999999,1.4832,0.0031490445859872,32.55723236758689,2026,AAA
Brock Wilken,MIL,694385.0,sa3022499,24.0,8835,471,384,0.19,0.325,0.375,0.185,15,75.0,132,15.9,28.0,0.0,0.23800000000000002,0.314,0.318,19.96197718631179,82.17636022514071,9.654827413706856,47.37368684342171,56.282998944033785,26.0,109.2,103.4,89.5,44.4,12.4,6.794055201698514,0.19899999999999998,0.366,27.0,0.0,0.0,0.0,21.8,4.93685,0.224498,0.0004766411889596,41.56446132044551,2026,AAA
Ronny Simon,PIT,682927.0,sa3008365,26.0,9625,470,396,0.32799999999999996,0.423,0.457,0.129,6,63.0,81,13.4,17.2,0.0,0.395,0.39,0.345,25.0,85.34798534798534,8.896034297963556,44.694533762057866,65.46762589928058,20.6,112.9,106.2,91.5,46.7,5.3,3.617021276595744,0.271,0.385,13.6,0.0,0.0,0.0,7.3,5.68259,0.901825,0.0019187765957446,39.94773764337581,2026,AAA
Trey Lipscomb,WSN,702358.0,sa3020215,26.0,9568,469,441,0.297,0.331,0.5579999999999999,0.261,29,23.0,125,4.9,26.7,0.0,0.35200000000000004,0.379,0.301,42.7007299270073,79.29373996789727,19.524405506883603,48.56070087609511,80.28350515463917,32.0,114.4,105.6,90.4,46.4,10.1,6.823027718550106,0.242,0.418,16.1,0.0,0.0,0.0,12.0,5.255669999999999,0.621974,0.0013261705756929,29.47286136494121,2026,AAA
Oswaldo Cabrera,NYY,665828.0,sa916954,27.0,10035,468,418,0.285,0.34,0.44299999999999995,0.158,17,39.0,93,8.3,19.9,0.0,0.322,0.341,0.31,31.41640042598509,87.2093023255814,11.031042128603103,47.949002217294904,69.59537572254335,22.2,107.8,101.9,88.8,37.5,5.7,4.05982905982906,0.256,0.381,21.1,0.0,0.0,0.0,14.9,4.442159999999999,0.0424315,9.066559829059828e-05,23.235582704705237,2026,AAA
Juan Brito,CIN,682877.0,sa3009808,24.0,9098,465,396,0.237,0.342,0.386,0.149,11,63.0,84,13.5,18.1,0.0,0.272,0.326,0.303,27.70083102493075,84.19301164725458,10.357142857142858,44.74489795918368,68.5290763968073,22.5,107.7,100.3,86.0,26.1,2.5,1.7204301075268815,0.23600000000000002,0.317,28.2,0.0,0.0,0.0,21.6,2.32888,-0.45775200000000005,-0.0009844129032258,26.210356111519012,2026,AAA
Carlos Rodríguez,SDP,677578.0,sa3005478,25.0,9390,465,417,0.312,0.37,0.429,0.11800000000000001,6,42.0,48,9.0,10.3,0.0,0.336,0.35100000000000003,0.304,29.682365826944142,90.43624161073824,7.6518691588785055,46.670560747663544,74.59324155193994,15.1,105.8,100.7,87.3,28.8,1.9,1.5053763440860215,0.26899999999999996,0.34600000000000003,17.7,0.0,0.0,0.0,10.9,6.43121,-0.04928080000000001,-0.0001059802150537,26.572982235247704,2026,AAA
Yanquiel Fernández,NYY,692585.0,sa3015648,23.0,8635,465,424,0.252,0.308,0.45,0.198,22,35.0,102,7.5,21.9,0.0,0.27899999999999997,0.32799999999999996,0.32899999999999996,37.788944723618094,83.27922077922078,15.98199212155318,44.006752954417564,78.77237851662404,28.6,113.1,107.2,91.3,47.5,9.9,6.881720430107527,0.254,0.43799999999999994,22.6,0.0,0.0,0.0,14.6,2.86402,-1.22848,-0.0026418924731182,41.01488788255628,2026,AAA
