Name,Org,MLBAMId,MinorMasterId,Age,AgeDays,PA,AB,BA,OBP,SLG,ISO,HR,BB,K,BB%,K%,wRC+,BABIP,wOBA,xwOBA,Chase%,ZContact%,SwStr%,Zone%,ZSwing%,Whiff%,MaxEV,EV90,AvgEV,HardHit%,Barrel%BBE,Barrel%PA,xBA,xSLG,PullAir%,GB%,FB%,LD%,LA,Spd,wBsR,wBsR/PA,PSScore,Season,Level
José Devers,0,672701.0,sa3003295,25,9444,207,188,0.239,0.304,0.36200000000000004,0.0,3,15.0,35,7.2,16.9,79.0,0.278,0.294,0.301,39.5402,85.3047,13.1677,45.9627,75.4054,23.5033,110.4,101.0,85.8,30.1,2.6,1.9,0.255,0.353,16.0,36.2,36.8,27.0,17.0,6.562539999999999,-0.24819699999999997,-0.0011990193236714,22.238115140603572,2024,AAA
Max Muncy,ATH,691777.0,sa3017290,23,8456,202,172,0.273,0.371,0.488,0.0,8,18.0,50,8.9,24.8,108.0,0.336,0.37200000000000005,0.308,31.7352,81.2766,14.7436,43.8462,68.7135,30.7487,109.5,104.4,88.0,40.3,6.5,4.0,0.215,0.35200000000000004,17.6,48.4,25.8,25.8,9.0,5.06644,-0.533234,-0.0026397722772277,29.949982987182786,2024,AAA
Jack Suwinski,PIT,669261.0,sa918314,27,9942,201,180,0.239,0.303,0.444,0.0,7,16.0,59,8.0,29.4,91.0,0.308,0.32,0.302,22.0455,79.2727,12.9825,48.538000000000004,66.2651,29.8387,110.4,104.7,90.0,43.9,12.2,7.5,0.218,0.40700000000000003,12.9,39.3,41.8,18.9,16.0,6.600789999999999,0.283871,0.0014122935323383,21.2261646412037,2024,AAA
Ryan Kreidler,MIN,668952.0,sa3010587,27,10199,200,170,0.2,0.32,0.335,0.0,5,25.0,59,12.5,29.5,83.0,0.27399999999999997,0.298,0.302,26.2774,75.1908,17.7606,47.1042,71.5847,37.2973,106.8,100.5,86.1,29.1,9.1,5.0,0.204,0.337,17.4,37.7,35.8,26.4,18.0,6.7580100000000005,0.991345,0.004956725,12.818718385631001,2024,AAA
Jasson Domínguez,NYY,691176.0,sa3014696,22,8289,193,175,0.309,0.368,0.48,0.0,7,16.0,36,8.3,18.7,122.0,0.353,0.36700000000000005,0.34600000000000003,31.4286,85.7143,12.3167,43.5484,75.4209,24.3478,111.6,107.5,87.7,38.8,9.4,6.7,0.278,0.452,20.0,45.7,31.9,22.5,12.0,7.25422,2.09783,0.0108695854922279,38.438524787808646,2024,AAA
Phil Clarke,TOR,671287.0,sa3011379,27,10067,192,160,0.231,0.354,0.325,0.0,3,27.0,28,14.1,14.6,90.0,0.262,0.312,0.32,29.0909,89.5197,8.6231,46.4534,68.5629,18.1818,102.2,97.5,83.4,18.8,2.3,1.6,0.24600000000000002,0.32799999999999996,19.4,31.6,38.3,30.1,18.0,3.82836,0.145083,0.0007556406249999,14.082706404320984,2024,AAA
Wade Meckler,SFG,685133.0,sa3020119,25,9310,191,172,0.27899999999999997,0.35100000000000003,0.506,0.0,8,19.0,25,9.9,13.1,123.0,0.28800000000000003,0.368,0.335,19.1257,90.0,6.25,49.1667,64.9718,15.0,104.5,100.8,84.4,28.6,4.8,3.7,0.27399999999999997,0.41100000000000003,12.5,49.0,26.8,24.2,6.0,5.7159,-0.19214,-0.0010059685863874,24.344051408179016,2024,AAA
Jacob Melton,HOU,689200.0,sa3019988,25,9174,191,173,0.26,0.314,0.405,0.0,5,13.0,48,6.8,25.1,88.0,0.331,0.313,0.267,31.9783,84.18799999999999,12.7143,47.2857,70.6949,25.2841,113.6,105.7,88.2,41.5,7.3,4.7,0.21,0.32899999999999996,7.9,54.0,31.0,15.1,5.0,6.2757,1.94895,0.0102039267015706,26.7196662808642,2024,AAA
Miguel Vargas,CHW,678246.0,sa3006896,25,9464,191,145,0.29,0.44,0.5660000000000001,0.0,8,38.0,33,19.9,17.3,156.0,0.315,0.426,0.376,15.0485,83.6,7.7792,48.3061,64.9351,19.8718,107.8,101.6,89.7,35.3,9.5,5.8,0.247,0.447,30.2,25.0,45.5,29.5,21.0,5.49779,-1.7892,-0.0093675392670157,32.72034947273662,2024,AAA
Christian Koss,SFG,683766.0,sa3011227,27,10124,190,168,0.256,0.332,0.41700000000000004,0.0,5,14.0,45,7.4,23.7,96.0,0.317,0.327,0.282,34.8052,79.7414,15.3191,45.3901,72.5,29.5082,109.2,103.3,86.5,36.0,4.8,3.2,0.225,0.309,10.6,50.4,24.4,25.2,7.0,7.082510000000001,0.726132,0.0038217473684209993,13.655409071180555,2024,AAA
