Name,Org,MLBAMId,MinorMasterId,Age,AgeDays,PA,AB,BA,OBP,SLG,ISO,HR,BB,K,BB%,K%,wRC+,BABIP,wOBA,xwOBA,Chase%,ZContact%,SwStr%,Zone%,ZSwing%,Whiff%,MaxEV,EV90,AvgEV,HardHit%,Barrel%BBE,Barrel%PA,xBA,xSLG,PullAir%,GB%,FB%,LD%,LA,Spd,wBsR,wBsR/PA,PSScore,Season,Level
Lazaro Montes,SEA,703155.0,sa3018409,19,6935,309,256,0.0,0.0,0.0,0.21875,13,0.0,59,13.9158576,19.0938511,151.01721669568374,0.34920634899999997,0.4314833296927048,0.0,28.80844645550528,80.27027027027026,12.406948,45.61115668580804,66.54676258992805,28.468468468468465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.815533980582533,37.688442200000004,38.1909547,24.120603,0.0,3.8988673069971886,-0.46943120053038,-0.0015191948237229125,32.292075651060216,2024,A
Edward Duran,TOR,698927.0,sa3016719,21,7812,309,264,0.235,0.33299999999999996,0.28800000000000003,0.0,0,35.0,47,11.3,15.2,97.0,0.281,0.28600000000000003,0.287,29.9712,88.7195,9.464,41.876000000000005,65.6,21.0821,110.1,98.4,84.7,20.0,0.5,0.3,0.23,0.284,10.0,46.3,30.8,22.9,9.0,6.079330000000001,0.618685,0.0020022168284789,26.509498967911426,2024,A
Thomas Sosa,BAL,800449.0,sa3018566,19,6935,308,271,0.0,0.0,0.0,0.125461255,4,0.0,86,10.7142857,27.9220779,111.15603984203145,0.338797814,0.3370684443356155,0.0,25.61576354679803,79.06976744186046,12.303881,50.847457627118644,68.25396825396825,28.596802841918286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,43.6464088,34.8066298,21.5469613,0.0,7.270865412411783,-0.477469221688807,-0.00155022474574288,25.058311923313184,2024,A
Jean Carlos Sió,SFG,805117.0,sa3018648,20,7300,308,250,0.0,0.0,0.0,0.12,4,0.0,63,13.9610389,20.4545454,105.7248717988014,0.304347826,0.365071614712768,0.0,23.624595469255663,84.3501326259947,9.21273,48.75621890547264,64.1156462585034,22.95719844357977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,43.85026729999999,29.946524000000004,26.2032085,0.0,6.304626455763468,0.08443793654441832,0.0002741491446247349,29.074398885832267,2024,A
Manuel Mejias,CLE,699052.0,sa3015785,20,7300,307,266,0.0,0.0,0.0,0.060150376,1,0.0,63,11.7263843,20.521172600000003,81.42386740493987,0.273170731,0.29299108446226835,0.0,30.54331864904552,82.43243243243244,10.824742,46.420141620771034,62.711864406779654,25.14177693761815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.67579908675799,48.7437185,29.1457286,22.1105527,0.0,3.010708847852745,-0.6026552813127637,-0.001963046518934084,18.147468369914247,2024,A
Sammy Hernandez,STL,803679.0,sa3020141,21,7810,307,262,0.263,0.365,0.34,0.0,1,29.0,54,9.4,17.6,121.0,0.325,0.32,0.27399999999999997,31.0065,84.2254,10.7993,47.619,63.3929,23.2601,106.6,98.0,83.6,19.6,0.5,0.3,0.209,0.26,19.8,43.0,32.9,24.1,14.0,4.31559,-1.47351,-0.0047997068403908,20.49133420904485,2024,A
Max Clark,DET,703601.0,sa3022683,20,7605,306,256,0.285,0.389,0.43,0.0,7,46.0,55,15.0,18.0,134.0,0.33299999999999996,0.36,0.318,22.135,88.9213,8.1433,48.126999999999995,58.0372,20.6612,106.7,102.0,87.3,35.6,3.4,2.3,0.242,0.34600000000000003,13.0,48.6,27.5,23.9,7.0,7.76955,3.12649,0.0102172875816993,36.09304559954963,2024,A
Elian Rayo,SFG,692378.0,sa3015612,21,7665,305,267,0.0,0.0,0.0,0.112359551,5,0.0,99,10.4918032,32.4590163,84.2274885565063,0.36144578299999996,0.3292649220247737,0.0,32.86467486818981,69.50354609929079,19.478261,50.905953408110435,71.6949152542373,38.97180762852405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.58620689655172,39.766081799999995,40.3508771,19.883040899999997,0.0,1.555900615,-0.5409545078873634,-0.0017736213373356175,10.131693849183725,2024,A
Dereck Salom,ATH,678828.0,sa3005925,23,8395,305,246,0.0,0.0,0.0,0.056910569,2,0.0,46,16.065573699999998,15.0819672,78.54803462682042,0.256157635,0.3224288725147122,0.0,14.020270270270274,86.51685393258427,5.872483,50.0,60.13513513513514,16.743119266055047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.634146341463413,42.8571428,34.1836734,22.9591836,0.0,4.090492838763612,0.2552871177904308,0.0008370069435751829,12.317669290207428,2024,A
Bryson Ware,PHI,694310.0,sa3022597,24,9059,304,260,0.2,0.306,0.34600000000000003,0.0,9,33.0,74,10.9,24.3,88.0,0.239,0.293,0.29600000000000004,27.8232,85.6725,13.1579,46.4035,64.6503,29.2969,109.0,103.5,87.5,36.6,4.8,3.0,0.215,0.322,20.7,45.5,28.9,25.7,10.0,4.3627400000000005,-0.7969229999999999,-0.0026214572368421,7.937339088009008,2024,A
