Name,Org,MLBAMId,MinorMasterId,Age,AgeDays,PA,AB,BA,OBP,SLG,ISO,HR,BB,K,BB%,K%,BABIP,wOBA,xwOBA,Chase%,ZContact%,SwStr%,ZSwing%,Whiff%,MaxEV,EV90,AvgEV,HardHit%,Barrel%BBE,Barrel%PA,xBA,xSLG,PullAir%,LA,Spd,wBsR,wBsR/PA,PSScore,Season,Level
Ryan Ward,LAD,669899.0,sa1169792,28,10323,648,566,0.29,0.377,0.557,0.267,36,79,122,12.2,18.8,0.312,0.397,0.35100000000000003,26.815240833932425,83.92603129445236,9.133858267716537,61.18363794604004,21.6,111.4,104.7,91.5,50.2,11.3,7.716049382716049,0.258,0.45399999999999996,18.6,13.6,5.928380000000001,-1.19213,-0.0018397067901234567,34.87015056167038,2025,AAA
Yonathan Perlaza,0,666632.0,sa917302,27,10061,617,536,0.302,0.386,0.507,0.205,19,72,125,11.7,20.3,0.36,0.384,0.33799999999999997,26.910828025477706,81.32611637347767,13.745271122320304,65.80587711487088,30.4,113.7,105.6,90.7,46.1,7.3,4.8622366288492715,0.26,0.42,16.4,8.4,4.96445,-1.91724,-0.003107358184764992,34.38873591192713,2025,AAA
Samad Taylor,SDP,669392.0,sa918192,27,10180,617,535,0.282,0.37,0.45399999999999996,0.172,17,73,122,11.8,19.8,0.33399999999999996,0.358,0.299,27.55376344086021,85.43833580980683,9.342954804405618,58.77729257641922,22.7,109.7,99.9,86.4,30.0,3.6,2.431118314424636,0.22699999999999998,0.336,16.0,12.6,8.15423,2.19524,0.003557925445705024,25.398413807232533,2025,AAA
Jonathon Long,CHC,675085.0,sa3022864,24,8896,606,513,0.304,0.40299999999999997,0.478,0.17300000000000001,20,79,116,13.0,19.1,0.35700000000000004,0.384,0.354,24.404761904761905,85.3021978021978,9.06625339015885,58.85206143896525,22.2,111.6,105.9,90.9,47.1,10.1,6.6006600660066,0.254,0.44299999999999995,10.5,10.3,3.4232099999999996,-1.28336,-0.0021177557755775573,49.376012319741065,2025,AAA
Rhylan Thomas,HOU,689041.0,sa3020124,26,9541,597,538,0.32,0.374,0.40700000000000003,0.087,7,45,32,7.5,5.4,0.326,0.344,0.299,33.33333333333333,94.23368740515932,5.265848670756647,73.22222222222223,10.2,107.8,97.1,85.7,19.4,0.2,0.1675041876046901,0.27399999999999997,0.33299999999999996,11.4,10.9,5.9308,1.38564,0.0023210050251256287,25.88806105206641,2025,AAA
TJ Rumfield,COL,681198.0,sa3017330,26,9509,586,499,0.285,0.377,0.447,0.162,16,69,108,11.8,18.4,0.32899999999999996,0.36,0.327,29.363784665579118,86.84895833333334,10.628019323671495,73.0732635585157,21.5,110.7,103.5,87.8,36.9,6.3,4.266211604095563,0.244,0.39,25.6,17.0,3.6780699999999995,-1.37887,-0.0023530204778157,35.680424617230834,2025,AAA
Hao-Yu  Lee,DET,701678.0,sa3017863,23,8517,578,497,0.243,0.341,0.406,0.163,14,64,121,11.1,20.9,0.292,0.32899999999999996,0.33399999999999996,25.556471558120364,81.62729658792651,11.815437688658905,68.89692585895118,25.6,112.2,105.4,89.8,44.8,9.3,5.882352941176469,0.237,0.409,10.8,11.6,7.31003,0.8256049999999999,0.0014283823529411765,49.295471459074285,2025,AAA
Jesús Bastidas,MIA,665846.0,sa916969,27,10117,574,500,0.262,0.35100000000000003,0.44,0.17800000000000002,16,53,138,9.2,24.0,0.33,0.34600000000000003,0.303,34.33931484502447,83.28402366863905,15.072328511432572,73.7186477644493,29.4,109.2,102.4,86.9,34.4,6.1,3.8327526132404177,0.223,0.355,24.0,19.9,4.0237099999999995,-0.0383815,-6.686672473867595e-05,21.22478143609186,2025,AAA
Tanner Murray,CHW,695020.0,sa3016805,26,9762,569,520,0.24,0.299,0.4,0.16,18,39,138,6.9,24.3,0.29100000000000004,0.304,0.297,33.69663941871026,80.22922636103151,14.710180224062347,73.31932773109243,28.3,112.4,105.9,90.6,47.9,7.0,4.745166959578207,0.23399999999999999,0.38,18.3,12.1,2.95211,-1.87982,-0.003303725834797891,30.38973857986836,2025,AAA
Marco Luciano,NYY,682617.0,sa3010022,24,9026,554,462,0.214,0.33399999999999996,0.413,0.19899999999999998,23,84,170,15.2,30.7,0.276,0.32799999999999996,0.316,22.00772200772201,74.67811158798283,15.355329949238575,65.38821328344247,36.9,113.7,107.3,91.3,45.3,12.5,6.678700361010832,0.193,0.386,15.4,13.4,4.30451,-0.607387,-0.0010963664259927798,42.9296723251266,2025,AAA
Tristan Peters,CHW,671976.0,sa3017851,26,9588,550,478,0.264,0.353,0.429,0.165,15,64,102,11.6,18.5,0.304,0.342,0.308,28.769497400346626,79.76710334788937,12.541254125412538,71.04446742502584,26.1,106.8,100.5,86.5,29.6,5.0,3.4545454545454546,0.23399999999999999,0.36200000000000004,21.6,16.9,4.72535,-2.27292,-0.004132581818181818,25.639262518885086,2025,AAA
Petey Halpin,CLE,690984.0,sa3014461,24,8770,544,484,0.244,0.317,0.41100000000000003,0.16699999999999998,14,51,156,9.4,28.7,0.326,0.317,0.29100000000000004,33.573357335733576,77.74762550881955,13.186813186813188,68.68592730661696,25.9,109.9,102.0,87.7,35.2,9.0,5.514705882352941,0.218,0.36200000000000004,20.5,23.3,6.92005,0.53561,0.000984577205882353,33.11441798450686,2025,AAA
Matt Koperniak,STL,689288.0,sa3014834,28,10338,535,479,0.24600000000000002,0.316,0.382,0.136,14,47,103,8.8,19.3,0.28300000000000003,0.307,0.309,32.858499525166195,82.90076335877863,12.388503468780973,67.87564766839378,25.0,109.6,103.3,88.4,39.4,7.6,5.420560747663552,0.235,0.397,12.6,9.5,4.74909,-0.706685,-0.0013209065420560749,24.477360467857608,2025,AAA
Christian Franklin,WSN,681047.0,sa3017510,26,9676,533,445,0.272,0.39,0.42700000000000005,0.155,12,80,110,15.0,20.6,0.336,0.36200000000000004,0.345,19.1358024691358,84.47712418300654,9.881796690307329,62.38532110091744,25.2,112.9,106.3,91.0,48.9,8.2,5.065666041275797,0.248,0.4,11.8,9.0,5.43613,-0.6284689999999999,-0.0011791163227016887,43.71240372538529,2025,AAA
Jesus Rodriguez,SFG,683679.0,sa3008916,24,8803,531,460,0.32,0.40299999999999997,0.42200000000000004,0.102,7,61,72,11.5,13.6,0.364,0.365,0.33,31.013215859030836,91.5,7.684580612757407,70.09345794392523,16.1,109.9,103.0,87.9,36.7,3.1,2.2598870056497176,0.271,0.374,10.7,7.8,4.17366,0.35128400000000004,0.0006615517890772128,40.357421388737386,2025,AAA
Chad Stevens,COL,677060.0,sa3017040,27,9977,526,458,0.29,0.373,0.48,0.19,18,56,117,10.6,22.2,0.35100000000000003,0.369,0.35600000000000004,31.94706994328923,81.50375939849624,14.494949494949493,72.12581344902385,28.6,109.6,104.6,88.9,44.6,9.1,5.893536121673003,0.27399999999999997,0.45399999999999996,15.3,12.5,6.741569999999999,1.3178299999999998,0.0025053802281368824,31.510317500737425,2025,AAA
Carlos Rodríguez,SDP,677578.0,sa3005478,25,9304,526,471,0.244,0.314,0.321,0.076,8,48,68,9.1,12.9,0.26899999999999996,0.285,0.307,28.902316213494462,89.58333333333334,8.188331627430912,69.92715920915714,16.7,108.5,99.8,87.0,32.0,2.7,2.091254752851711,0.262,0.358,14.6,13.2,4.27749,-1.50527,-0.002861730038022814,31.172870325157213,2025,AAA
Rodolfo Castro,0,666801.0,sa917362,27,9870,523,454,0.233,0.32299999999999995,0.42100000000000004,0.187,19,54,119,10.3,22.8,0.27,0.324,0.298,31.89964157706093,82.92282430213464,13.473787359137681,65.83783783783784,28.5,112.8,106.0,88.0,38.2,7.3,4.588910133843212,0.21899999999999997,0.35200000000000004,21.0,15.4,5.11603,-1.11071,-0.002123728489483748,29.82927153065243,2025,AAA
Ben Cowles,CHC,701496.0,sa3016976,26,9601,522,476,0.231,0.297,0.368,0.13699999999999998,9,38,152,7.3,29.1,0.32,0.293,0.271,33.84932920536636,78.66473149492019,17.77301927194861,76.64071190211345,32.6,107.2,102.6,88.8,37.8,7.7,4.789272030651341,0.20600000000000002,0.33799999999999997,16.7,18.1,6.24569,-0.642332,-0.001230521072796935,22.29350210037497,2025,AAA
Niko Kavadas,LAA,694359.0,sa3017337,27,10074,519,429,0.231,0.35600000000000004,0.47100000000000003,0.24,27,72,161,13.9,31.0,0.294,0.359,0.32799999999999996,20.674740484429066,76.77966101694916,11.918735891647856,55.71293673276677,31.8,112.2,104.1,90.6,46.7,14.8,7.7071290944123305,0.2,0.40399999999999997,24.5,18.5,3.5619199999999998,-1.3796,-0.002658188824662813,33.17075004117139,2025,AAA
Sterlin Thompson,COL,694514.0,sa3019999,24,9100,513,439,0.29600000000000004,0.392,0.519,0.223,18,53,107,10.3,20.9,0.353,0.392,0.315,26.62779397473275,83.96946564885495,11.616161616161616,68.87486855941114,24.8,112.9,105.1,87.8,40.0,7.0,4.4834307992202715,0.22899999999999998,0.359,17.3,9.1,6.86952,-0.769894,-0.0015007680311890838,41.26622265519524,2025,AAA
Nathan Hickey,BOS,687208.0,sa3017398,26,9683,511,448,0.23399999999999999,0.321,0.408,0.174,17,56,141,11.0,27.6,0.299,0.319,0.295,25.86046511627907,80.8080808080808,11.586538461538463,59.1044776119403,27.6,111.4,105.5,90.6,45.0,6.8,4.10958904109589,0.214,0.354,17.0,13.7,2.8801900000000002,-0.632007,-0.0012368043052837572,32.97411142708279,2025,AAA
Alex Freeland,LAD,690976.0,sa3020653,24,9042,507,415,0.263,0.38299999999999995,0.451,0.188,16,82,111,16.2,21.9,0.315,0.364,0.341,19.01108269394714,83.2512315270936,9.107720758206195,61.51515151515151,23.7,109.7,104.6,91.6,47.6,7.7,4.733727810650888,0.239,0.389,16.4,12.4,4.42092,-0.612642,-0.0012083668639053255,46.38898712428843,2025,AAA
Andrew Pinckney,WSN,687605.0,sa3022670,25,9304,505,447,0.268,0.349,0.43200000000000005,0.163,20,44,148,8.7,29.3,0.35600000000000004,0.342,0.305,28.761061946902647,77.7591973244147,15.514741420976314,63.68477103301385,34.8,116.6,107.7,89.8,40.7,10.3,6.138613861386138,0.223,0.377,8.2,7.3,6.82476,3.27636,0.0064878415841584155,36.70553430845822,2025,AAA
Moisés Ballesteros,CHC,694208.0,sa3015713,22,8238,505,444,0.315,0.382,0.473,0.158,13,47,67,9.3,13.3,0.341,0.37,0.33,32.25480283114257,87.09150326797386,10.450250138966092,75.55555555555556,20.2,112.3,105.1,90.2,42.8,6.3,4.752475247524752,0.268,0.406,9.6,9.0,3.30033,-1.19277,-0.0023619207920792078,46.90819232009607,2025,AAA
Gabriel Rincones Jr.,PHI,687282.0,sa3020758,25,9217,503,412,0.24,0.366,0.43,0.18899999999999997,18,77,114,15.3,22.7,0.28300000000000003,0.35,0.35600000000000004,24.547101449275363,81.69934640522875,12.673956262425447,67.40088105726872,28.9,116.4,108.6,92.3,48.1,11.1,6.361829025844929,0.24100000000000002,0.424,16.1,12.0,5.55856,0.7017369999999999,0.0013951033797216699,48.4833249392744,2025,AAA
César Prieto,STL,693409.0,sa3018100,27,9881,498,446,0.289,0.355,0.446,0.157,9,39,69,7.8,13.9,0.32299999999999995,0.348,0.304,38.883447600391776,88.8888888888889,10.646387832699617,75.73170731707317,19.3,109.4,101.3,89.2,38.0,4.0,3.0120481927710845,0.251,0.364,13.6,11.0,5.1092900000000006,-5.17548,-0.010392530120481929,29.130426293787316,2025,AAA
Jace Jung,DET,690291.0,sa3019992,25,9366,495,412,0.252,0.37,0.447,0.19399999999999998,17,78,125,15.8,25.3,0.318,0.35700000000000004,0.342,23.10374891020052,78.42835130970722,12.26107226107226,65.03006012024048,28.8,111.7,104.7,90.5,46.8,12.8,7.2727272727272725,0.225,0.431,22.7,19.0,3.0580000000000003,-2.19825,-0.004440909090909091,42.384715965887324,2025,AAA
Eddys Leonard,MIL,678760.0,sa3005554,25,9331,493,439,0.239,0.304,0.435,0.196,20,36,95,7.3,19.3,0.255,0.318,0.321,29.947643979057588,82.94209702660406,13.921993499458287,71.71717171717171,27.8,114.5,106.0,88.4,39.9,8.2,5.882352941176469,0.249,0.418,21.2,13.9,4.8517,-1.0022,-0.0020328600405679514,37.10344577709744,2025,AAA
Spencer Packard,SEA,689070.0,sa3016803,28,10454,493,414,0.278,0.389,0.413,0.135,10,63,65,12.8,13.2,0.308,0.358,0.33799999999999997,22.595281306715066,90.79861111111113,7.171117705242335,62.60869565217392,17.6,109.8,101.7,88.5,33.1,3.7,2.636916835699797,0.258,0.374,17.7,13.2,2.6240200000000002,-0.97414,-0.001975943204868154,26.69342413444748,2025,AAA
Brice Matthews,HOU,694728.0,sa3022563,24,8840,490,411,0.253,0.36700000000000005,0.455,0.20199999999999999,17,70,138,14.3,28.2,0.336,0.359,0.33399999999999996,23.650637880274783,74.52830188679245,15.664477008590195,66.25,35.3,112.8,105.8,89.8,42.2,12.2,6.530612244897959,0.21600000000000003,0.41600000000000004,17.3,15.1,7.88152,1.43658,0.002931795918367347,45.23577167320664,2025,AAA
Grant McCray,SFG,687529.0,sa3010042,25,9304,489,426,0.235,0.319,0.408,0.174,15,55,136,11.2,27.8,0.301,0.317,0.297,26.371681415929203,78.21782178217822,15.315315315315313,72.21654749744637,32.1,113.4,105.2,90.6,45.4,8.8,5.3169734151329235,0.218,0.36,12.3,10.7,7.621339999999999,2.88983,0.005909672801635992,39.1232819284099,2025,AAA
Blaine Crim,TEX,688760.0,sa3010170,28,10569,487,427,0.281,0.363,0.494,0.213,21,51,90,10.5,18.5,0.31,0.37,0.316,24.20749279538905,83.64888123924268,10.056439199589533,63.98678414096917,23.5,111.8,105.7,89.6,42.4,7.2,4.928131416837783,0.24,0.384,17.4,14.1,3.26873,-1.6858099999999998,-0.003461622176591376,26.453921388056198,2025,AAA
Justin Crawford,PHI,702222.0,sa3020240,22,8173,487,426,0.326,0.40700000000000003,0.44799999999999995,0.122,7,58,89,11.9,18.3,0.39799999999999996,0.376,0.321,33.91812865497076,89.43089430894308,9.161894846434148,68.71508379888269,18.3,110.6,102.7,89.8,45.3,3.4,2.2587268993839835,0.263,0.354,9.3,2.6,7.35129,2.71008,0.005564845995893224,47.318104396623134,2025,AAA
Esteury Ruiz,MIA,665923.0,sa917030,27,9966,484,404,0.302,0.41200000000000003,0.512,0.21,16,64,89,13.2,18.4,0.353,0.4,0.349,26.81297709923664,83.36134453781513,10.924796747967482,64.67391304347827,24.5,109.1,102.6,85.4,28.1,7.9,5.1652892561983474,0.254,0.41100000000000003,17.8,13.7,6.785710000000001,0.170086,0.0003514173553719008,29.52784626963345,2025,AAA
Trey Lipscomb,WSN,702358.0,sa3020215,25,9477,484,447,0.248,0.302,0.391,0.14300000000000002,11,33,95,6.8,19.6,0.292,0.302,0.27399999999999997,37.32162458836443,83.62369337979094,14.319111630625365,71.75,26.8,109.7,103.6,86.7,33.9,4.0,2.8925619834710745,0.22899999999999998,0.336,14.3,9.5,4.32369,-1.2429999999999999,-0.0025681818181818184,24.286637493807998,2025,AAA
MJ Melendez,NYM,669004.0,sa3004139,27,10042,478,431,0.26,0.322,0.49,0.23,20,39,135,8.2,28.2,0.327,0.34600000000000003,0.317,33.047210300429185,75.42242703533027,17.611777535441657,72.1729490022173,33.7,112.0,106.1,93.3,55.7,11.1,6.903765690376567,0.23199999999999998,0.426,28.5,18.2,6.50455,-0.499234,-0.0010444225941422594,30.972807541021126,2025,AAA
Austin Gauthier,LAD,702789.0,sa3017121,27,9884,478,378,0.259,0.40399999999999997,0.354,0.095,4,93,92,19.5,19.2,0.32799999999999996,0.34700000000000003,0.344,18.331716779825413,84.69750889679715,7.810107197549771,60.56034482758621,20.4,109.1,102.6,89.4,44.9,3.1,1.882845188284519,0.24600000000000002,0.35600000000000004,8.6,2.8,4.4202699999999995,-0.7665609999999999,-0.0016036841004184099,35.71901364873119,2025,AAA
Rafael Lantigua,TOR,672463.0,sa3003219,28,10258,477,388,0.22699999999999998,0.35600000000000004,0.33,0.10300000000000001,7,77,73,16.1,15.3,0.257,0.314,0.313,19.223107569721112,86.95652173913044,8.252947481243304,64.03712296983758,20.7,105.5,99.4,87.2,27.6,3.5,2.3060796645702304,0.22,0.327,10.3,14.3,5.99187,-1.07292,-0.002249308176100629,24.90124364583725,2025,AAA
Luis Campusano,SDP,669134.0,sa3004041,27,10102,475,393,0.336,0.441,0.595,0.26,25,72,82,15.2,17.3,0.37,0.441,0.389,22.6530612244898,83.8475499092559,8.907301916105645,57.93901156677181,22.3,114.0,108.0,93.4,53.4,12.8,8.421052631578947,0.281,0.501,21.7,10.5,3.20902,-0.7741399999999999,-0.0016297684210526318,40.388299870750224,2025,AAA
Osleivis Basabe,SFG,678545.0,sa3006594,25,9388,473,430,0.249,0.309,0.41200000000000003,0.163,14,33,84,7.0,17.8,0.278,0.314,0.28300000000000003,37.246049661399546,87.61904761904762,10.401891252955082,65.136476426799,20.6,112.1,103.9,88.5,39.0,4.0,2.9598308668076108,0.237,0.33799999999999997,15.9,8.4,5.22538,0.08963380000000001,0.00018950063424947144,33.329885447128504,2025,AAA
A.J. Vukovich,ARI,691021.0,sa3014525,24,9076,468,422,0.284,0.353,0.498,0.213,22,43,128,9.2,27.4,0.359,0.366,0.304,28.52760736196319,75.99364069952306,15.991356023770932,72.0504009163803,32.6,109.8,104.6,90.5,44.5,8.9,5.5555555555555545,0.231,0.386,10.8,8.9,3.8304099999999996,-1.96262,-0.004193632478632478,34.144788713737896,2025,AAA
Shay Whitcomb,HOU,694376.0,sa3014948,27,10103,468,405,0.267,0.359,0.509,0.242,25,51,120,10.9,25.6,0.316,0.373,0.324,27.57575757575757,84.06072106261858,12.55387931034483,60.854503464203226,29.1,110.8,105.0,89.1,45.1,11.4,6.6239316239316235,0.222,0.41200000000000003,29.5,17.8,4.7054,1.2673,0.0027079059829059828,30.593737274080038,2025,AAA
Jacob Berry,MIA,694351.0,sa3019825,25,9155,466,406,0.261,0.345,0.39399999999999996,0.133,8,47,87,10.1,18.7,0.31,0.326,0.311,29.59183673469388,89.42486085343229,9.89319842608207,67.45932415519398,21.2,109.5,103.0,88.7,36.4,5.6,3.862660944206009,0.239,0.364,19.7,17.5,5.52878,0.6808310000000001,0.0014610107296137338,37.04203535227672,2025,AAA
Raynel Delgado,TBR,669384.0,sa3007288,26,9551,465,408,0.27699999999999997,0.359,0.375,0.098,5,47,95,10.1,20.4,0.34700000000000003,0.327,0.28800000000000003,29.29184549356223,86.7601246105919,10.744264129826524,75.08771929824562,21.0,109.4,101.5,84.3,30.7,3.5,2.3655913978494625,0.226,0.321,16.4,9.9,6.779910000000001,3.12857,0.00672810752688172,27.67502622344609,2025,AAA
Maximo Acosta,MIA,691185.0,sa3014711,23,8612,465,410,0.22399999999999998,0.314,0.366,0.141,13,50,123,10.8,26.5,0.287,0.302,0.27699999999999997,27.504725897920608,84.38133874239351,11.03591879229568,57.12630359212051,27.0,108.2,102.2,87.4,36.2,5.9,3.6559139784946235,0.20199999999999999,0.318,13.9,10.3,6.85998,1.49078,0.003205978494623656,32.3699657332444,2025,AAA
Riley Tirotta,TOR,694661.0,sa3017078,27,10140,462,403,0.268,0.35700000000000004,0.41700000000000004,0.149,12,52,137,11.3,29.7,0.375,0.341,0.298,22.75862068965517,74.5,15.323854660347552,67.87330316742081,35.0,112.6,104.0,87.0,37.5,8.2,4.761904761904762,0.218,0.348,18.7,13.3,5.276009999999999,0.118692,0.0002569090909090909,25.40309706790741,2025,AAA
Ryan Vilade,TBR,668723.0,sa3004256,27,9963,460,397,0.29,0.37799999999999995,0.511,0.222,17,50,89,10.9,19.3,0.332,0.382,0.369,27.349524815205907,86.43478260869564,9.352517985611511,66.86046511627907,20.3,113.4,106.5,90.4,45.5,9.6,6.521739130434782,0.275,0.47600000000000003,18.5,11.1,7.4088,0.0939459,0.00020423021739130438,39.90549631650988,2025,AAA
Oliver Dunn,TBR,686554.0,sa3010595,28,10493,459,395,0.20800000000000002,0.317,0.33899999999999997,0.132,8,54,146,11.8,31.8,0.307,0.29600000000000004,0.28300000000000003,20.841683366733466,75.72156196943973,13.657770800627944,64.51259583789704,32.7,109.6,105.3,90.2,42.1,6.9,3.7037037037037033,0.196,0.312,17.3,8.2,7.56195,1.73859,0.003787777777777778,22.745939956288808,2025,AAA
Harry Ford,WSN,695670.0,sa3017627,23,8500,457,373,0.284,0.409,0.461,0.177,16,74,87,16.2,19.0,0.33,0.38299999999999995,0.35200000000000004,17.46810598626104,82.87671232876713,9.247648902821316,65.25139664804469,23.2,109.3,103.4,88.8,41.9,8.7,5.4704595185995615,0.244,0.41100000000000003,14.2,9.8,3.17915,-1.81477,-0.003971050328227571,46.584650070822775,2025,AAA
Jorbit Vivas,WSN,678391.0,sa3005511,25,9212,455,372,0.272,0.389,0.366,0.094,4,63,44,13.8,9.7,0.29600000000000004,0.342,0.341,23.015873015873016,91.68173598553342,7.253564786112832,75.6497948016416,15.5,109.8,101.7,85.5,30.9,3.9,2.8571428571428568,0.258,0.374,16.5,14.1,4.11028,-2.97991,-0.006549252747252747,38.252368791976565,2025,AAA
Milan Tolentino,CLE,675455.0,sa3014544,24,8959,455,392,0.212,0.31,0.434,0.222,21,54,158,11.9,34.7,0.284,0.322,0.27699999999999997,31.863727454909817,77.71639042357275,14.927685950413222,57.88912579957356,33.6,111.7,103.2,89.9,41.3,10.2,5.2747252747252755,0.18,0.331,20.2,17.0,5.97203,0.39929499999999996,0.0008775714285714286,35.552732314855874,2025,AAA
Akil Baddoo,MIL,668731.0,sa917953,27,10145,454,383,0.27899999999999997,0.38299999999999995,0.483,0.204,15,67,112,14.8,24.7,0.354,0.375,0.33299999999999996,28.22916666666667,78.70722433460075,13.193657984144961,65.2605459057072,29.2,111.5,104.4,88.1,38.8,9.9,5.7268722466960345,0.23,0.409,24.1,17.1,7.6841,2.04405,0.004502312775330396,30.880664300169016,2025,AAA
Matthew Lugo,KCR,683090.0,sa1169598,25,9152,454,419,0.26,0.317,0.444,0.184,13,31,135,6.8,29.7,0.354,0.32899999999999996,0.293,35.623678646934465,78.88707037643208,16.104039845047033,70.96399535423926,30.7,110.9,104.7,87.8,41.8,9.6,5.9471365638766525,0.23199999999999998,0.375,16.4,9.6,6.16256,-2.1787799999999997,-0.004799074889867842,30.842471983724593,2025,AAA
Justin Foscue,TEX,679822.0,sa3014527,27,9948,452,399,0.261,0.341,0.474,0.213,19,45,63,10.0,13.9,0.266,0.35100000000000003,0.299,29.26565874730021,89.76660682226212,8.192090395480225,65.99526066350711,17.5,108.1,102.9,88.2,36.1,8.0,5.9734513274336285,0.222,0.366,20.3,17.0,4.293,0.5997899999999999,0.0013269690265486727,28.762469610686523,2025,AAA
Carson Williams,TBR,700246.0,sa3017795,22,8371,449,388,0.214,0.318,0.44799999999999995,0.235,23,56,154,12.5,34.3,0.28300000000000003,0.33299999999999996,0.309,31.168831168831172,76.79245283018868,18.232662192393736,67.34434561626429,38.7,111.7,106.9,88.9,38.5,11.5,6.013363028953228,0.2,0.392,22.8,15.9,8.06052,0.7823760000000001,0.0017424855233853006,39.15557174671632,2025,AAA
Collin Price,HOU,805672.0,sa3019935,26,9691,448,392,0.235,0.321,0.434,0.19899999999999998,18,44,136,9.8,30.4,0.306,0.32799999999999996,0.285,27.689030883919067,78.06563039723662,14.96106785317019,67.40395809080326,32.1,110.6,105.7,86.2,37.5,9.8,5.580357142857144,0.195,0.35,21.5,21.7,4.82028,-0.310366,-0.0006927812499999999,25.981063512527413,2025,AAA
Jonathan Ornelas,NYY,680716.0,sa3006909,26,9500,446,387,0.19399999999999998,0.29100000000000004,0.302,0.109,10,49,115,11.0,25.8,0.244,0.27,0.27399999999999997,21.673819742489272,79.26565874730021,11.211267605633802,54.92289442467378,29.9,112.1,105.7,89.4,44.2,5.5,3.3632286995515686,0.198,0.301,8.2,2.8,5.0298300000000005,-1.7315099999999999,-0.0038823094170403593,34.30138165184528,2025,AAA
James Triantos,CHC,701649.0,sa3017295,23,8522,443,406,0.256,0.314,0.36700000000000005,0.111,7,31,67,7.0,15.1,0.29,0.3,0.278,34.26248548199768,87.71929824561403,8.980582524271846,65.18424396442185,18.3,109.2,102.7,86.3,34.9,3.3,2.4830699774266365,0.23600000000000002,0.326,13.5,5.7,6.81273,0.0838113,0.00018919029345372461,33.137507908240444,2025,AAA
Deyvison De Los Santos,MIA,691277.0,sa3015168,22,8375,443,399,0.24100000000000002,0.309,0.363,0.12300000000000001,12,35,99,7.9,22.3,0.289,0.298,0.28300000000000003,35.224839400428266,79.81481481481481,15.876777251184835,71.61803713527851,30.8,118.5,107.9,90.5,43.9,5.9,4.063205417607223,0.222,0.342,13.6,6.1,5.02614,-0.502214,-0.001133665914221219,39.03383869818642,2025,AAA
Dominic Fletcher,PIT,666150.0,sa1115778,28,10493,442,401,0.254,0.312,0.449,0.195,17,29,87,6.6,19.7,0.281,0.327,0.29600000000000004,35.2542372881356,88.12709030100334,11.899179366940212,72.83800243605359,22.3,110.5,102.0,86.3,35.0,4.4,3.1674208144796383,0.243,0.36,22.6,17.8,5.27824,-1.28526,-0.002907828054298643,20.102191708386368,2025,AAA
Darell Hernaiz,ATH,687231.0,sa3011309,24,9062,440,386,0.306,0.384,0.425,0.11900000000000001,4,46,51,10.5,11.6,0.341,0.35600000000000004,0.306,27.426636568848764,86.98752228163994,9.068776628119293,74.10832232496698,18.5,109.8,101.8,87.3,31.6,2.1,1.5909090909090908,0.252,0.336,12.0,11.0,6.31239,1.3978700000000002,0.003176977272727273,36.450486592794654,2025,AAA
Nick Yorke,PIT,694377.0,sa3014546,24,8823,439,401,0.287,0.34600000000000003,0.406,0.12,7,35,97,8.0,22.1,0.36200000000000004,0.33,0.284,30.99352051835853,82.26600985221675,12.646894236149972,70.73170731707317,25.2,112.9,104.2,87.5,36.5,3.9,2.733485193621868,0.23800000000000002,0.335,12.5,4.6,5.68422,-0.378346,-0.0008618359908883827,34.89110536580988,2025,AAA
Bob Seymour,0,676044.0,sa3017852,27,10094,439,403,0.263,0.321,0.5529999999999999,0.29,30,34,114,7.7,26.0,0.292,0.37,0.309,39.801543550165384,76.92307692307693,19.395465994962212,82.08516886930984,33.5,117.9,107.1,90.1,44.9,11.5,7.517084282460137,0.22,0.43700000000000006,19.7,13.6,4.0505,-0.53594,-0.0012208200455580864,27.995631160424658,2025,AAA
Trevor Hauver,TEX,669386.0,sa3014448,27,10051,438,363,0.275,0.38799999999999996,0.446,0.171,12,65,106,14.8,24.2,0.35200000000000004,0.366,0.332,17.363344051446948,85.02879078694818,9.788654060066742,60.23121387283236,25.8,109.7,103.6,90.5,42.4,6.9,4.10958904109589,0.23399999999999999,0.384,16.4,12.6,4.4402,-0.9272450000000001,-0.0021169977168949768,33.348522329267624,2025,AAA
Carson McCusker,0,0.0,sa3037528,28,10234,438,390,0.24600000000000002,0.316,0.479,0.233,22,36,148,8.2,33.8,0.332,0.341,0.322,28.338430173292554,76.25482625482627,15.082872928176794,62.48492159227985,34.3,115.2,108.9,92.4,54.0,16.5,9.360730593607306,0.221,0.45,15.9,12.2,0.0,0.0,0.0,27.660154694288646,2025,AAA
Jorge Barrosa,ARI,678489.0,sa3005524,25,9234,437,380,0.295,0.38,0.429,0.134,6,53,95,12.1,21.7,0.376,0.355,0.303,32.804757185332015,84.17849898580124,10.975609756097562,62.01257861635221,24.0,110.2,101.5,88.7,32.9,3.1,2.059496567505721,0.239,0.331,22.0,10.8,5.016769999999999,-1.05771,-0.0024203890160183067,33.65859671968571,2025,AAA
