Name,Org,MLBAMId,MinorMasterId,Age,AgeDays,PA,AB,BA,OBP,SLG,ISO,HR,BB,K,BB%,K%,BABIP,wOBA,xwOBA,Chase%,ZContact%,SwStr%,ZSwing%,Whiff%,MaxEV,EV90,AvgEV,HardHit%,Barrel%BBE,Barrel%PA,xBA,xSLG,PullAir%,LA,Spd,wBsR,wBsR/PA,PSScore,Season,Level
Luke Keaschall,MIN,807712.0,sa3022614,23,8686,118,95,0.263,0.373,0.337,0.07400000000000001,1,17,17,14.4,14.4,0.29600000000000004,0.321,0.363,20.32520325203252,90.0,7.534246575342466,62.5,19.4,106.9,101.6,87.7,34.2,6.3,4.23728813559322,0.26899999999999996,0.418,20.7,14.1,7.281339999999999,0.946191,0.008018567796610171,43.447224236181015,2025,AAA
Darius Hill,0,675628.0,sa3010395,28,10509,114,99,0.212,0.307,0.32299999999999995,0.111,1,12,25,10.5,21.9,0.27,0.284,0.272,32.19696969696969,80.12820512820514,14.64968152866242,75.36231884057972,28.6,104.4,98.9,87.4,24.3,2.7,1.7543859649122806,0.21,0.29,12.0,10.5,5.94276,-0.028395,-0.00024907894736842103,14.059713078860565,2025,AAA
Ethan Murray,MIL,696140.0,sa3017051,26,9513,114,101,0.198,0.272,0.248,0.05,1,10,32,8.8,28.1,0.271,0.23800000000000002,0.242,28.13852813852814,81.3793103448276,15.384615384615385,68.72037914691943,32.4,106.7,102.7,89.7,41.4,2.9,1.7543859649122806,0.19399999999999998,0.259,7.0,3.4,5.1079,0.105423,0.0009247631578947367,22.991287911400498,2025,AAA
Josh Kasevich,TOR,688460.0,sa3020203,25,9264,114,98,0.17300000000000001,0.272,0.184,0.01,0,13,20,11.4,17.5,0.212,0.22,0.27899999999999997,20.276497695852534,88.28125,6.561085972850679,56.88888888888889,16.9,109.5,99.9,89.6,43.8,1.2,0.8771929824561403,0.217,0.307,7.9,14.1,1.5629,-1.1692200000000001,-0.010256315789473685,35.962564765284554,2025,AAA
Heston Kjerstad,BAL,677008.0,sa3014439,27,9969,112,101,0.149,0.225,0.248,0.099,2,10,30,8.9,26.8,0.188,0.215,0.289,34.52380952380953,84.44444444444444,12.666666666666668,68.18181818181817,25.7,108.6,101.1,88.5,40.0,5.7,3.571428571428571,0.231,0.349,5.6,5.3,3.28229,-0.626905,-0.005597366071428572,23.024022678637532,2025,AAA
Micah Pries,0,687588.0,sa3014830,28,10319,112,100,0.14,0.23199999999999998,0.31,0.17,4,10,27,8.9,24.1,0.145,0.242,0.298,31.674208144796378,87.9194630872483,13.583138173302107,72.33009708737866,26.5,108.5,103.5,90.3,43.1,6.9,4.464285714285714,0.21100000000000002,0.381,28.0,13.8,7.14328,-0.6761689999999999,-0.006037223214285715,25.18236349658223,2025,AAA
Konner Piotto,0,702920.0,sa3016810,28,10374,112,94,0.223,0.348,0.266,0.043,1,16,33,14.3,29.5,0.33299999999999996,0.29100000000000004,0.248,30.0,82.5,11.835748792270529,65.21739130434783,25.9,104.2,98.8,81.6,21.7,3.3,1.7857142857142856,0.161,0.21,11.1,13.0,2.95077,-0.394343,-0.003520919642857143,12.492117067501786,2025,AAA
David McCabe,ATL,678173.0,sa3019964,26,9561,112,98,0.235,0.321,0.39799999999999996,0.163,4,13,32,11.6,28.6,0.302,0.316,0.34700000000000003,22.891566265060238,80.83832335329342,13.402061855670107,70.76271186440678,29.0,109.7,104.2,91.4,52.2,13.4,8.035714285714286,0.249,0.46799999999999997,10.4,10.7,2.2126900000000003,-0.0368541,-0.00032905446428571427,37.053293421764025,2025,AAA
Eguy Rosario,0,666703.0,sa917140,26,9771,110,98,0.19399999999999998,0.264,0.245,0.051,1,10,26,9.1,23.6,0.247,0.23199999999999998,0.254,28.57142857142857,70.71428571428572,17.824074074074076,72.16494845360825,37.0,109.9,103.5,85.6,29.7,1.4,0.9090909090909092,0.214,0.27699999999999997,20.3,12.7,4.58715,-0.22971399999999997,-0.002088309090909091,18.667865284975235,2025,AAA
José Devers,0,672701.0,sa3003295,26,9669,110,98,0.28600000000000003,0.345,0.39799999999999996,0.11199999999999999,2,9,15,8.2,13.6,0.313,0.326,0.304,31.168831168831172,71.91011235955057,15.086206896551724,76.39484978540773,28.0,107.4,101.6,87.4,32.9,3.5,2.727272727272727,0.24600000000000002,0.36200000000000004,17.6,19.1,2.08612,-0.5199550000000001,-0.004726863636363636,22.531693537559136,2025,AAA
