Season,League,Avg_Age,Std_Age,Avg_PPG,Avg_PPPA,Std_PPG,Std_PPPA
2011,International League,23.12,1.02,2.74,0.66,1.62,0.44
2011,Mexican League,21.81,1.72,1.82,0.67,1.47,0.39
2011,Midwest League,21.65,1.44,2.39,0.6,1.38,0.33
2011,Pacific Coast League,23.1,1.06,3.14,0.75,2.22,0.54
2011,Pioneer League,21.15,1.52,3.59,0.86,1.65,0.35
2011,South Atlantic League,21.51,1.62,2.81,0.69,1.43,0.33
2011,Southern League,22.75,1.22,2.33,0.56,1.91,0.57
2011,Texas League,22.89,1.11,2.46,0.6,1.83,0.49
2011,Venezuelan Summer League,18.35,1.28,2.66,0.7,1.59,0.36
2012,Appalachian League,20.36,1.64,2.7,0.7,1.49,0.35
2012,Arizona League,19.74,1.79,3.17,0.79,2.21,0.52
2012,California League,22.39,1.34,3.26,0.78,1.83,0.42
2012,Carolina League,22.33,1.44,2.62,0.66,1.55,0.38
2012,Dominican Summer League,18.47,1.23,2.22,0.59,1.42,0.35
2012,Eastern League,22.8,1.21,2.37,0.58,1.55,0.44
2012,Florida State League,22.53,1.31,2.57,0.64,1.47,0.35
2012,Gulf Coast League,20.02,1.85,2.02,0.55,1.73,0.44
2012,International League,23.01,1.12,2.5,0.62,1.65,0.41
2012,Mexican League,21.54,1.76,1.34,0.49,1.33,0.45
2012,Midwest League,21.66,1.45,2.64,0.64,1.54,0.36
2012,Pacific Coast League,23.29,0.95,2.69,0.63,2.18,0.56
2012,Pioneer League,20.93,1.55,3.58,0.85,1.91,0.4
2012,South Atlantic League,21.74,1.52,2.67,0.65,1.65,0.38
2012,Southern League,22.78,1.14,1.98,0.48,1.77,0.52
2012,Texas League,22.75,1.26,2.18,0.54,1.69,0.48
2012,Venezuelan Summer League,18.06,1.28,2.93,0.78,1.4,0.32
2013,Appalachian League,20.61,1.57,2.28,0.58,1.53,0.36
2013,Arizona League,19.88,1.9,2.49,0.64,1.81,0.45
2013,California League,22.49,1.28,3.03,0.72,1.78,0.4
2013,Carolina League,22.44,1.31,2.6,0.64,1.51,0.36
2013,Dominican Summer League,18.38,1.31,2.1,0.55,1.47,0.37
2013,Eastern League,22.83,1.19,2.52,0.61,1.55,0.41
2013,Florida State League,22.39,1.27,2.76,0.68,1.63,0.37
2013,Gulf Coast League,19.99,1.98,2.13,0.57,1.64,0.44
2013,International League,23.16,0.98,2.77,0.65,1.59,0.4
2013,Mexican League,21.71,1.65,1.58,0.54,1.4,0.39
2013,Midwest League,21.44,1.5,2.58,0.63,1.4,0.33
2013,Pacific Coast League,23.08,1.04,2.64,0.61,2.35,0.63
2013,Pioneer League,20.77,1.54,3.48,0.83,1.83,0.42
2013,South Atlantic League,21.82,1.54,2.37,0.59,1.53,0.36
2013,Southern League,22.93,1.07,1.87,0.42,1.86,0.57
2013,Texas League,22.78,1.27,2.41,0.58,1.58,0.41
2013,Venezuelan Summer League,18.21,1.27,2.43,0.67,1.53,0.4
2014,Appalachian League,20.42,1.5,2.44,0.62,1.66,0.39
2014,Arizona League,19.87,1.85,2.55,0.66,2.1,0.52
2014,California League,22.56,1.19,3.22,0.76,1.71,0.38
2014,Carolina League,22.34,1.46,2.71,0.67,1.8,0.44
2014,Dominican Summer League,18.29,1.32,2.31,0.59,1.58,0.38
2014,Eastern League,22.86,1.07,2.83,0.69,2.02,0.55
2014,Florida State League,22.38,1.33,2.6,0.64,1.59,0.35
2014,Gulf Coast League,19.92,1.8,2.48,0.67,1.78,0.45
2014,International League,23.1,0.93,2.83,0.67,1.58,0.4
2014,Mexican League,21.73,1.68,1.77,0.64,1.37,0.37
2014,Midwest League,21.56,1.45,2.5,0.61,1.4,0.34
2014,Pacific Coast League,23.08,1.05,2.76,0.65,2.13,0.6
2014,Pioneer League,20.65,1.66,3.48,0.86,1.56,0.35
2014,South Atlantic League,21.54,1.61,2.71,0.67,1.56,0.38
2014,Southern League,22.94,1.11,2.13,0.52,1.83,0.53
