PlayerId,Name,Team,Level,Age,current_age_z,age_z_slope,has_slope,career_pa_eq,p_grad_knn,n_neighbors,level_base_p_grad,p_grad_vs_baseline,pppa_disc,cond_pppa_z_ageonly,cond_pppa_z,level_base_expected,expected_pppa_z,implied_mult_2tier,age_mult_pgvb,current_mult,Combined_Rank,Combined_Score,ABILITY_Score,TOOLS_Score
695652,Eddie King Jr.,PIT,A+,23.0,0.45,,False,106.0,0.1,50,0.1665,0.601,0.029900000000000003,0.1276,-0.1224,0.0325,-0.0122,0.393,0.601,0.9976,251,61.48,52.45,75.08
702239,Colin Tuft,BAL,AA,23.0,-0.2,-0.309,True,190.2,0.34,50,0.2872,1.184,0.06145613496932516,0.2255,0.0007,0.0561,0.0002,1.367,1.184,1.0011,252,61.46,58.7,62.44
800208,Axiel Plaz,PIT,A+,20.0,-1.25,0.284,True,280.0,0.36,50,0.1665,2.162,0.13194899387576553,0.3838,0.215,0.0325,0.0774,4.251,2.162,1.0068,253,61.45,54.15,72.76
692169,Jonny McGill,LAA,A+,24.0,0.9,-0.71,True,85.0,0.12,50,0.1665,0.721,0.07767558139534883,0.0597,-0.1522,0.0325,-0.0183,0.22,0.721,0.9951,254,61.44,60.56,64.64
821075,Merphy Hernandez,MIN,A,19.0,-1.21,-0.386,True,80.1,0.16,50,0.1155,1.385,0.2156658436213992,0.3778,0.2755,0.0226,0.0441,2.675,1.385,1.0065,254,61.44,67.3,57.67
830406,Alan Angulo,KC,R,18.0,0.4,,False,34.1,0.0,50,0.0471,0.0,0.10748387096774194,0.1351,-0.0532,0.0092,-0.0,0.0,0.2,0.9978,256,61.42,59.05,66.75
805127,Devin Taylor,OAK,AAA,22.0,-1.38,-0.551,True,307.8,0.36,50,0.4699,0.766,0.21439293785310734,0.4034,0.3001,0.0918,0.108,1.582,0.766,1.0075,256,61.42,59.56,65.01
808264,Kleiver Chauran,TB,R,20.0,0.02,,False,80.6,0.02,50,0.0471,0.425,0.06478535980148883,0.1924,-0.0298,0.0092,-0.0006,0.418,0.425,0.9999,258,61.4,64.47,61.13
801523,Chris Suero,NYM,AA,22.0,-0.85,-0.238,True,654.2,0.5,50,0.2872,1.741,0.13412865064695012,0.3235,0.1564,0.0561,0.0782,2.883,1.741,1.0046,259,61.39,61.01,55.6
802599,Jack Penney,DET,R,23.0,1.58,,False,0.0,0.0,50,0.0471,0.0,0.13505245901639346,-0.0428,-0.2091,0.0092,-0.0,-0.0,0.2,0.9915,259,61.39,56.36,62.95
800393,Yeremy Cabrera,WSH,A+,20.0,-1.25,0.013,True,340.1,0.5,50,0.1665,3.003,0.13402681291895188,0.3838,0.2166,0.0325,0.1083,5.905,3.003,1.0068,261,61.38,68.21,55.84
829986,Jose Riera,CLE,R,18.0,0.4,,False,39.7,0.0,50,0.0471,0.0,0.10287909319899245,0.1351,-0.0568,0.0092,-0.0,0.0,0.2,0.9978,261,61.38,64.08,59.87
800281,Roynier Hernandez,COL,AA,21.0,-1.49,-0.225,True,282.0,0.66,50,0.2872,2.298,0.05288734265734265,0.42,0.1883,0.0561,0.1243,4.941,2.298,1.008,263,61.37,57.23,68.72
837836,Juan Cespedes,LAA,R,17.0,-0.71,,False,21.1,0.0,50,0.0471,0.0,0.26,0.3024,0.2353,0.0092,0.0,0.0,0.2,1.0038,264,61.3,66.61,56.29
821143,Frandy Lafond,MIL,R,19.0,1.51,,False,48.9,0.02,50,0.0471,0.425,0.09185071574642127,-0.0322,-0.2329,0.0092,-0.0047,-0.07,0.425,0.9918,265,61.28,64.38,59.94
683884,Rafael Escalante,MIN,R,23.0,0.58,,False,45.9,0.0,50,0.0471,0.0,0.0485359477124183,0.108,-0.1272,0.0092,-0.0,0.0,0.2,0.9969,266,61.26,60.56,64.68
800356,Franyer Noria,BOS,R,20.0,0.1,,False,44.4,0.04,50,0.0471,0.849,0.03920720720720721,0.1803,-0.0622,0.0092,-0.0025,0.784,0.849,0.9995,267,61.22,60.62,64.11
823759,Eric Genther,NYY,A+,24.0,1.02,-0.19,True,179.9,0.02,50,0.1665,0.12,0.09145875912408759,0.0416,-0.1594,0.0325,-0.0032,0.026,0.2,0.9945,268,61.18,57.36,68.93
823719,Ramiro Dominguez,MIN,A+,19.0,-1.98,-0.233,True,126.5,0.62,50,0.1665,3.724,0.10232472527472528,0.5622,0.3698,0.0325,0.2293,10.725,3.724,1.1029,269,61.17,63.28,63.26
695372,Jake Gelof,LAD,AA,24.0,0.31,0.03,True,590.6,0.36,50,0.2872,1.253,0.2731571428571429,0.1487,0.092,0.0561,0.0331,0.954,1.253,0.9983,270,61.13,62.22,62.18
703861,Victor Ortega,MIA,A+,22.0,-0.06,-0.546,True,141.6,0.32,50,0.1665,1.922,0.059579599999999996,0.2044,-0.0219,0.0325,-0.007,2.013,1.922,1.0003,270,61.13,57.68,67.65
815896,Emil Morales,LAD,A+,19.0,-1.98,-0.512,True,246.2,0.6,50,0.1665,3.604,0.21280456896551728,0.5622,0.4576,0.0325,0.2746,10.379,3.604,1.1029,272,61.1,57.52,66.57
834685,Angel Abreu,CLE,A,17.0,-2.16,,False,42.1,0.52,50,0.1155,4.502,0.08980047505938242,0.615,0.4126,0.0226,0.2146,14.15,4.0,1.1384,273,61.03,58.56,65.72
808029,Luis De Leon,SD,R,20.0,-0.14,,False,69.7,0.08,50,0.0471,1.699,0.014546628407460543,0.2165,-0.0456,0.0092,-0.0036,1.883,1.699,1.0008,274,61.02,59.34,66.12
