Season,League,Age,Avg_PPG,Avg_PPPA,Std_PPG,Std_PPPA
2006,South Atlantic League,21.0,2.29,0.58,1.49,0.35
2006,South Atlantic League,22.0,2.41,0.61,1.55,0.37
2006,South Atlantic League,23.0,2.41,0.61,1.52,0.38
2006,South Atlantic League,24.0,2.69,0.67,1.83,0.4
2006,Southern League,20.0,0.96,0.15,2.24,0.76
2006,Southern League,21.0,2.45,0.56,2.07,0.46
2006,Southern League,22.0,1.92,0.47,1.74,0.45
2006,Southern League,23.0,1.71,0.42,1.66,0.56
2006,Southern League,24.0,1.35,0.33,1.65,0.54
2006,Texas League,20.0,2.79,0.62,3.51,0.77
2006,Texas League,21.0,3.54,0.79,1.68,0.4
2006,Texas League,22.0,3.3,0.81,1.63,0.34
2006,Texas League,23.0,2.76,0.58,1.78,0.66
2006,Texas League,24.0,3.03,0.76,1.17,0.27
2006,Venezuelan Summer League,16.0,2.24,0.58,0.72,0.13
2006,Venezuelan Summer League,17.0,1.99,0.54,1.45,0.36
2006,Venezuelan Summer League,18.0,2.3,0.65,1.22,0.28
2006,Venezuelan Summer League,19.0,2.62,0.73,1.26,0.29
2006,Venezuelan Summer League,20.0,3.1,0.81,1.06,0.23
2006,Venezuelan Summer League,21.0,2.39,0.71,0.82,0.23
2006,Venezuelan Summer League,22.0,4.94,1.18,,
2007,Appalachian League,17.0,3.46,0.86,,
2007,Appalachian League,18.0,1.68,0.43,1.81,0.44
2007,Appalachian League,19.0,2.32,0.6,1.45,0.36
2007,Appalachian League,20.0,2.64,0.66,1.62,0.37
2007,Appalachian League,21.0,2.4,0.63,1.64,0.38
2007,Appalachian League,22.0,3.13,0.8,1.55,0.35
2007,Appalachian League,23.0,2.58,0.68,1.27,0.35
2007,Appalachian League,24.0,5.7,1.27,,
2007,Arizona League,16.0,3.32,0.78,1.31,0.28
2007,Arizona League,17.0,1.67,0.43,1.47,0.34
2007,Arizona League,18.0,2.57,0.64,1.7,0.39
2007,Arizona League,19.0,2.51,0.64,1.55,0.38
2007,Arizona League,20.0,2.72,0.68,1.53,0.35
2007,Arizona League,21.0,3.13,0.81,1.68,0.38
2007,Arizona League,22.0,3.51,0.85,2.47,0.53
2007,Arizona League,23.0,2.81,0.72,2.26,0.58
2007,Arizona League,24.0,7.93,1.62,6.88,1.02
2007,California League,17.0,3.36,0.75,,
2007,California League,18.0,2.0,0.47,1.85,0.43
2007,California League,19.0,5.7,1.21,0.13,0.02
2007,California League,20.0,3.22,0.75,1.38,0.28
2007,California League,21.0,2.74,0.63,2.11,0.53
2007,California League,22.0,3.04,0.71,2.06,0.48
2007,California League,23.0,3.23,0.77,1.7,0.36
2007,California League,24.0,3.32,0.8,1.81,0.39
2007,Carolina League,18.0,3.4,0.8,,
2007,Carolina League,19.0,1.67,0.24,5.66,1.38
2007,Carolina League,20.0,2.42,0.54,2.33,0.57
2007,Carolina League,21.0,2.65,0.65,1.64,0.39
2007,Carolina League,22.0,3.06,0.75,1.21,0.25
2007,Carolina League,23.0,2.92,0.74,1.2,0.27
2007,Carolina League,24.0,2.87,0.74,1.83,0.42
2007,Dominican Summer League,16.0,1.2,0.34,1.5,0.4
2007,Dominican Summer League,17.0,1.66,0.44,1.45,0.38
2007,Dominican Summer League,18.0,1.72,0.46,1.43,0.38
2007,Dominican Summer League,19.0,2.2,0.57,1.57,0.41
2007,Dominican Summer League,20.0,2.33,0.63,1.66,0.4
2007,Dominican Summer League,21.0,2.4,0.65,1.53,0.34
2007,Dominican Summer League,22.0,2.84,0.82,1.17,0.28
2007,Dominican Summer League,23.0,4.86,1.21,1.99,0.41
2007,Eastern League,18.0,2.81,0.65,,
2007,Eastern League,20.0,3.89,0.86,4.3,1.05
2007,Eastern League,21.0,3.01,0.69,2.09,0.73
2007,Eastern League,22.0,2.42,0.47,3.45,0.92
2007,Eastern League,23.0,3.0,0.73,1.87,0.43
2007,Eastern League,24.0,2.67,0.68,1.94,0.48
