Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2024,Carter Jensen,KCR,AA,20,41,150,170,35,17,7,3,8,20,28,15,0,45,1,4,0,1,1,1,0.233333333,29478
2025,Carter Jensen,KCR,AA,21,68,274,308,80,61,9,4,6,40,37,30,0,70,1,3,0,4,7,1,0.291970802,29478
2023,Jackson Merrill,SDP,AA,20,46,187,211,51,31,13,2,5,26,31,18,0,25,2,3,1,2,5,1,0.272727272,29490
2023,Ryan Bliss,ARI,AA,23,68,293,324,105,64,25,4,12,67,47,24,0,55,5,2,0,2,30,8,0.358361774,29547
2023,Adrian Del Castillo,ARI,AA,23,63,220,265,60,34,13,1,12,36,45,40,0,67,2,2,1,7,2,2,0.272727272,29554
2022,Tim Tawa,ARI,AA,23,60,218,246,43,31,7,0,5,26,23,25,0,57,2,1,0,3,3,2,0.197247706,29571
2023,Tim Tawa,ARI,AA,24,116,434,497,111,67,21,1,22,76,75,55,0,121,2,6,0,7,11,7,0.255760368,29571
2023,Chad Stevens,HOU,AA,24,122,418,495,92,53,19,5,15,53,60,61,0,176,12,4,0,6,23,7,0.220095693,29614
2023,Joey Loperfido,HOU,AA,24,84,314,365,93,53,20,1,19,60,57,47,3,81,3,1,0,7,20,3,0.296178343,29630
2022,Will Wagner,HOU,AA,23,72,251,298,63,43,12,2,6,40,28,35,0,57,9,1,2,4,5,1,0.250996015,29634
2023,Will Wagner,HOU,AA,24,53,207,234,64,39,16,2,7,36,32,26,0,47,0,1,0,2,3,2,0.309178743,29634
2010,Tommy Pham,STL,AA,22,38,121,140,41,24,13,1,3,19,18,18,0,28,1,0,0,1,4,2,0.338842975,2967
2011,Tommy Pham,STL,AA,23,40,143,166,42,23,11,3,5,31,16,18,0,40,1,2,2,6,3,3,0.293706293,2967
2012,Tommy Pham,STL,AA,24,12,39,43,6,3,2,0,1,3,3,4,0,19,0,0,0,1,0,0,0.153846153,2967
2022,Zack Gelof,OAK,AA,22,87,354,402,96,65,16,2,13,54,61,47,0,110,0,1,0,10,9,2,0.27118644,29766
2023,Max Muncy,OAK,AA,20,51,202,233,61,40,17,0,4,40,31,21,0,54,7,0,3,4,4,0,0.301980198,29779
2022,Brett Harris,OAK,AA,24,84,315,360,90,63,15,2,10,51,45,31,0,62,7,2,5,14,11,5,0.285714285,29788
2023,Jack Winkler,OAK,AA,24,46,172,200,40,26,9,1,4,28,32,21,0,39,5,2,0,5,3,2,0.232558139,29830
2023,Liam Hicks,TEX,AA,24,77,253,316,68,50,14,1,3,30,40,49,0,52,12,2,0,6,4,0,0.268774703,29844
2023,Denzel Clarke,OAK,AA,23,64,234,286,61,34,11,4,12,54,43,37,0,85,11,4,0,1,11,1,0.26068376,29858
2024,Denzel Clarke,OAK,AA,24,116,431,478,116,74,21,8,13,74,53,39,0,143,7,1,0,6,36,9,0.269141531,29858
2024,Harry Ford,SEA,AA,21,116,430,523,107,72,26,2,7,72,45,74,0,115,16,2,1,10,35,9,0.248837209,29958
2022,Jordan Lawlar,ARI,AA,19,20,85,97,18,14,0,0,4,18,11,10,1,28,1,1,0,4,2,1,0.211764705,29976
2023,Jordan Lawlar,ARI,AA,20,89,350,410,92,51,23,3,15,77,48,47,0,89,11,2,0,2,33,4,0.262857142,29976
2022,Christian Encarnacion-Strand,MIN,AA,22,13,54,60,18,10,2,1,5,11,17,4,0,14,2,0,0,0,1,1,0.333333333,30011
2009,Mitch Moreland,TEX,AA,23,73,301,327,98,68,19,3,8,51,59,23,1,42,1,2,0,17,1,1,0.325581395,3086
