Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2013,Joel Capote,LAA,A+,23,98,319,360,75,58,11,5,1,51,33,28,0,57,8,2,3,6,11,8,0.235109717,sa658665
2017,Wes Rogers,COL,A+,23,123,461,521,147,94,37,7,9,94,82,45,0,85,3,8,4,7,70,12,0.318872017,sa658668
2018,Wes Rogers,COL,A+,24,52,185,206,53,39,8,0,6,30,34,17,0,48,1,3,0,2,10,3,0.286486486,sa658668
2016,Wes Rogers,COL,A+,22,125,487,563,124,90,22,7,5,77,48,57,0,99,7,3,9,3,43,9,0.254620123,sa658668
2014,Toby DeMello,SEA,A+,24,10,28,32,3,2,1,0,0,2,0,4,0,8,0,0,0,2,0,0,0.107142857,sa658676
2013,John Cannon,LAD,A+,23,7,21,21,6,5,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0.285714285,sa658686
2015,Evan Van Hoosier,TEX,A+,21,61,257,281,85,57,16,10,2,40,33,18,0,58,2,4,0,3,5,3,0.330739299,sa658796
2013,M.P. Cokinos,HOU,A+,23,109,425,495,132,91,28,1,12,70,92,47,0,41,15,7,1,14,1,3,0.310588235,sa658820
2014,Jose Queliz,ARI,A+,21,42,133,138,26,22,2,0,2,12,9,3,0,34,2,0,0,5,0,1,0.195488721,sa658848
2015,Jose Queliz,ARI,A+,22,20,69,72,19,12,3,0,4,8,14,1,0,25,0,2,0,1,0,0,0.275362318,sa658848
2016,Johnny Sewald,HOU,A+,22,79,293,354,84,59,16,3,6,58,35,45,0,71,7,3,6,5,23,7,0.286689419,sa658947
2016,Mikey White,OAK,A+,22,124,469,521,116,82,25,3,6,65,50,40,0,130,7,2,3,12,4,2,0.247334754,sa658966
2017,Mikey White,OAK,A+,23,115,440,488,115,67,27,4,17,59,73,40,0,121,6,1,1,12,4,0,0.261363636,sa658966
2016,Jose Vizcaino Jr.,SFG,A+,22,83,295,333,77,51,17,2,7,35,44,29,0,69,6,3,0,9,3,5,0.261016949,sa659043
2017,Jose Vizcaino Jr.,SFG,A+,23,29,98,111,21,16,3,0,2,12,12,11,0,30,1,0,1,0,1,0,0.214285714,sa659043
2017,Gio Brusa,SFG,A+,23,113,426,467,101,54,28,2,17,58,55,33,0,124,4,4,0,5,1,2,0.237089201,sa659068
2018,Gio Brusa,SFG,A+,24,107,408,451,97,50,23,5,19,62,70,35,0,149,2,5,1,4,8,0,0.237745098,sa659068
2014,Breland Almadova,ARI,A+,23,42,173,195,51,40,8,2,1,36,18,12,0,36,2,2,6,3,9,4,0.294797687,sa659072
2015,Breland Almadova,ARI,A+,24,105,381,434,104,76,21,3,4,60,43,40,1,80,5,2,6,9,25,10,0.272965879,sa659072
2016,Marcus Greene Jr.,SDP,A+,21,18,63,71,9,7,1,0,1,5,4,6,0,22,2,0,0,1,0,0,0.142857142,sa659282
2018,Marcus Greene Jr.,SDP,A+,23,51,168,186,43,34,7,0,2,21,21,17,0,45,1,0,0,4,0,0,0.25595238,sa659282
2013,Chance Ross,LAA,A+,23,19,54,60,14,9,4,0,1,5,6,4,0,14,1,0,1,1,1,0,0.259259259,sa659713
2014,Chance Ross,LAA,A+,24,29,106,111,26,21,3,1,1,10,9,2,0,30,1,1,1,2,2,2,0.245283018,sa659713
2016,Mike Ahmed,LAD,A+,24,111,385,450,107,65,19,4,19,81,52,55,2,110,7,3,0,4,9,8,0.277922077,sa705802
2015,Chase McDonald,HOU,A+,23,105,390,444,109,48,30,1,30,66,80,45,0,117,5,4,0,10,2,1,0.279487179,sa706987
