Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2014,Justin Higley,OAK,A,21,48,175,189,42,30,8,2,2,18,12,12,0,59,1,1,0,1,6,1,0.24,sa738305
2015,Justin Higley,OAK,A,22,75,262,300,52,32,8,2,10,42,42,35,1,87,1,2,0,3,21,5,0.198473282,sa738305
2016,Justin Higley,OAK,A,23,115,396,444,94,64,17,7,6,49,25,42,3,148,3,3,0,3,18,5,0.237373737,sa738305
2016,Tyler Alamo,CHC,A,21,85,309,334,75,58,12,0,5,28,50,16,1,71,3,4,2,15,0,0,0.242718446,sa738319
2014,Zach Esquerra,ARI,A,23,59,201,231,41,25,12,0,4,32,25,22,0,74,5,0,0,1,5,1,0.203980099,sa738331
2014,Mark Shannon,LAA,A,23,26,95,104,27,15,9,0,3,12,16,7,0,12,0,2,0,1,3,1,0.284210526,sa738337
2015,Cory Thompson,CIN,A,20,51,194,215,38,27,6,1,4,23,14,9,0,47,9,2,1,4,0,1,0.195876288,sa738349
2016,Cory Thompson,CIN,A,21,8,27,29,4,3,1,0,0,4,1,2,0,10,0,0,0,0,0,0,0.148148148,sa738349
2014,Jake Stone,STL,A,23,34,103,126,14,9,5,0,0,11,8,21,1,24,2,0,0,3,1,2,0.13592233,sa738381
2018,Owen Spiwak,TOR,A,23,14,40,45,6,3,3,0,0,4,6,2,0,13,2,0,1,1,0,0,0.15,sa738385
2014,Ryan Huck,OAK,A,23,35,120,139,25,19,2,1,3,16,13,19,2,36,0,0,0,4,1,0,0.208333333,sa738386
2017,Nick Zammarelli III,SEA,A,22,109,401,446,113,78,26,3,6,48,44,36,1,111,6,3,0,5,6,4,0.281795511,sa738401
2013,Zach Shank,SEA,A,22,8,21,25,6,5,0,0,1,4,4,1,0,3,2,1,0,0,1,0,0.285714285,sa738403
2014,Zach Shank,SEA,A,23,69,235,271,71,47,17,1,6,49,30,21,0,39,9,2,4,3,7,3,0.302127659,sa738403
2014,Justin Ringo,STL,A,23,78,289,324,85,61,15,0,9,46,46,27,1,47,6,1,0,6,4,1,0.294117647,sa738411
2015,Justin Ringo,STL,A,24,38,129,157,32,25,4,2,1,15,21,23,0,30,2,3,0,2,2,0,0.248062015,sa738411
2015,Joe Bennie,OAK,A,24,131,470,543,128,79,35,3,11,63,56,66,0,137,3,4,0,4,14,5,0.272340425,sa738417
2016,Stephen Wrenn,HOU,A,21,35,140,150,33,20,7,3,3,16,12,7,0,38,1,0,2,1,7,2,0.235714285,sa738419
2017,Stephen Wrenn,HOU,A,22,42,160,182,46,31,10,2,3,29,11,18,0,46,1,0,3,0,8,2,0.2875,sa738419
2014,George Roberts,ARI,A,24,44,166,184,39,29,6,2,2,21,21,12,0,42,4,2,0,6,8,1,0.234939759,sa738426
2014,Tanner Vavra,MIN,A,24,81,279,327,72,56,14,1,1,39,22,26,0,69,11,0,11,8,7,3,0.258064516,sa738431
2015,Luis Aviles Jr.,MIL,A,20,57,185,190,36,24,7,3,2,10,15,3,0,66,0,0,2,1,1,5,0.194594594,sa738445
2016,Luis Aviles Jr.,MIL,A,21,120,456,493,109,72,22,6,9,54,47,28,0,130,4,1,4,6,21,6,0.239035087,sa738445
2015,Ryan Scott,LAD,A,20,7,19,24,1,1,0,0,0,1,1,5,0,7,0,0,0,1,2,0,0.052631578,sa738447
2017,Ryan Scott,SEA,A,22,19,62,70,12,7,5,0,0,9,7,6,0,11,1,0,1,1,1,1,0.193548387,sa738447
