Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2024,Blayberg Diaz,MIL,A,21,74,229,258,57,43,13,0,1,28,21,19,0,52,8,2,0,4,3,1,0.248908296,sa3015352
2025,Blayberg Diaz,MIL,A,22,12,42,46,13,12,1,0,0,11,7,4,0,3,0,0,0,1,0,1,0.309523809,sa3015352
2022,Jheremy Vargas,MIL,A,19,87,257,314,46,35,8,0,3,47,29,49,0,80,7,1,0,5,9,4,0.178988326,sa3015353
2023,Jheremy Vargas,MIL,A,20,49,157,187,37,26,11,0,0,27,17,28,0,33,2,0,0,5,10,3,0.235668789,sa3015353
2022,Brayan Hernandez,BAL,A,20,37,113,121,20,13,4,0,3,8,8,6,0,45,2,0,0,2,0,0,0.17699115,sa3015354
2023,Brayan Hernandez,BAL,A,21,37,118,134,23,9,6,2,6,17,11,12,0,41,3,0,0,1,0,0,0.194915254,sa3015354
2024,Brayan Hernandez,BAL,A,22,29,70,77,8,6,2,0,0,1,5,5,0,27,1,0,1,0,1,0,0.114285714,sa3015354
2024,Diego Guzman,KCR,A,20,36,121,128,15,8,4,1,2,8,4,6,0,42,0,0,1,4,3,0,0.123966942,sa3015365
2022,Jesus Garcia,MIL,A,19,11,31,36,3,3,0,0,0,4,0,3,0,9,2,0,0,0,1,0,0.096774193,sa3015406
2023,Rolphy Cruz,BAL,A,20,23,79,84,11,7,3,0,1,6,8,5,0,31,0,0,0,0,2,2,0.139240506,sa3015521
2023,Lyonell James,BOS,A,20,92,315,354,75,59,12,1,3,35,45,27,0,44,8,4,0,8,2,4,0.238095238,sa3015524
2023,Ronald Rosario,BOS,A,20,17,56,72,14,7,5,1,1,10,11,12,0,22,2,2,0,0,0,0,0.25,sa3015525
2023,Maick Collado,CLE,A,20,68,244,297,68,54,12,1,1,34,40,41,0,43,0,12,0,8,11,0,0.278688524,sa3015534
2024,Esteban Gonzalez,CLE,A,21,69,265,299,76,47,17,6,6,54,39,18,0,61,10,6,0,2,37,9,0.286792452,sa3015535
2022,Lexer Saduy,CLE,A,19,9,36,41,8,7,1,0,0,7,1,5,0,12,0,0,0,0,0,0,0.222222222,sa3015536
2023,Lexer Saduy,CLE,A,20,80,263,309,58,39,14,2,3,31,35,34,0,90,9,3,0,4,14,5,0.220532319,sa3015536
2024,Lexer Saduy,CLE,A,21,39,113,131,25,21,2,0,2,16,13,12,0,22,4,2,0,2,7,5,0.221238938,sa3015536
2024,Kevin Rivas,CLE,A,21,24,76,89,11,7,3,1,0,10,5,13,0,42,0,0,0,0,1,2,0.144736842,sa3015539
2024,Fernando Caldera,HOU,A,21,24,66,79,9,9,0,0,0,5,6,11,0,26,2,0,0,4,0,1,0.136363636,sa3015547
2023,Luis Encarnacion,HOU,A,20,97,366,402,89,64,15,0,10,40,44,31,0,82,1,4,0,9,7,6,0.243169398,sa3015548
2023,Luis Perez,HOU,A,20,12,41,44,2,2,0,0,0,1,1,2,0,17,1,0,0,0,0,0,0.048780487,sa3015551
2024,Aldrin Lucas,KCR,A,21,21,56,72,8,7,1,0,0,6,7,10,0,22,6,0,0,0,2,1,0.142857142,sa3015554
2025,Aldrin Lucas,KCR,A,22,12,29,36,3,2,0,1,0,2,1,7,0,8,0,0,0,1,0,0,0.103448275,sa3015554
2024,Miguel Briceno,MIL,A,20,94,310,337,86,66,16,1,3,42,45,21,0,43,1,5,0,5,16,7,0.277419354,sa3015566
2023,Alexander Perez,MIL,A,20,21,53,59,8,6,2,0,0,2,5,4,0,17,1,1,0,4,1,0,0.150943396,sa3015572
2023,Victor Gonzalez,BAL,A,20,12,32,36,7,7,0,0,0,2,2,0,0,12,4,0,0,0,0,2,0.21875,sa3015576
2023,Andres Mesa,TEX,A,20,45,136,151,26,17,5,0,4,17,15,13,0,60,1,1,0,0,6,4,0.19117647,sa3015598
